Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-06-26,35.2,24.1,44.1,0,0
Alcúdia,2026-06-26,34.6,22.2,63.1,15.1,0
Algaida,2026-06-26,35.1,23.7,51.2,28.8,0
Andratx,2026-06-26,34.1,23.5,55.7,16.2,0
Ariany,2026-06-26,NaN,NaN,NaN,NaN,NaN
Artà,2026-06-26,33.6,20.4,63.4,19.5,0
Banyalbufar,2026-06-26,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-06-26,37.7,20.7,58,10.5,0
Búger,2026-06-26,38.9,20.2,53.9,24,0
Bunyola,2026-06-26,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-06-26,NaN,NaN,NaN,NaN,NaN
Calvià,2026-06-26,NaN,NaN,NaN,NaN,NaN
Campanet,2026-06-26,NaN,NaN,NaN,NaN,NaN
Campos,2026-06-26,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-06-26,32.5,24,62.5,19.5,0
Consell,2026-06-26,36.8,21.2,59.8,19.5,0
Costitx,2026-06-26,38.8,21.7,54.9,15.1,0
Deià,2026-06-26,32.7,23.9,64.8,13.3,0
Escorca,2026-06-26,30.8,16.9,57.5,16.9,0
Esporles,2026-06-26,32.2,20.7,68.5,13.4,0
Estellencs,2026-06-26,33.6,21.7,64.3,13,0
Felanitx,2026-06-26,34.9,23.4,53.5,22.2,0
Fornalutx,2026-06-26,34.6,22.1,60.8,0,0
Inca,2026-06-26,37.3,24.6,50.3,13.7,0
Lloret de Vistalegre,2026-06-26,35.3,21.7,57.2,6.4,0
Lloseta,2026-06-26,35.7,21.5,54.8,40,0.2
Llubí,2026-06-26,26.7,22.8,64.3,2.2,0
Llucmajor,2026-06-26,,,,23,0
Manacor,2026-06-26,34.1,21.2,64.5,17.3,0
Mancor,2026-06-26,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-06-26,34.5,23.1,54.1,30.2,0
Marratxí,2026-06-26,36.2,23,60.7,20.4,0
Montuïri,2026-06-26,35.4,19.6,59.3,16.3,0
Muro,2026-06-26,NaN,NaN,NaN,NaN,NaN
Palma,2026-06-26,35.3,24.9,65.5,11.9,0
Petra,2026-06-26,36.6,22.4,50.7,15,0
Pollença,2026-06-26,32.1,23.7,47.2,25.7,0
Porreres,2026-06-26,NaN,NaN,NaN,NaN,NaN
Sa Pobla,2026-06-26,37.3,23.1,53.6,12.2,0
Puigpunyent,2026-06-26,32.8,22.6,50.4,17.2,0
Ses Salines,2026-06-26,33.9,21.2,63.9,7.2,0
Sant Joan,2026-06-26,34.1,23.1,52.3,15,0
Sant Llorenç des Cardassar,2026-06-26,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-06-26,37.8,22.1,57.3,16.6,0
Santa Eugènia,2026-06-26,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-06-26,36.2,23.8,51.9,18.7,0
Santa María del Camí,2026-06-26,36.1,21.8,57.8,26.3,0
Santanyí,2026-06-26,,,,4,0
Selva,2026-06-26,35.8,23.1,45.8,8.9,0
Sineu,2026-06-26,NaN,NaN,NaN,NaN,NaN
Sóller,2026-06-26,32.9,23.3,67.1,27.7,0
Son Servera,2026-06-26,31.2,23.2,60.5,17.6,0
Valldemossa,2026-06-26,32.7,23,58.9,10.8,0
Vilafranca de Bonany,2026-06-26,34.2,22.9,55.6,21.6,0
