Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-01-12,15.3,5.7,73,0,0
Alcúdia,2026-01-12,16.6,4.2,82,19.1,0
Algaida,2026-01-12,15.7,7.6,86.8,23,0
Andratx,2026-01-12,16.4,7.8,82.8,13,0
Ariany,2026-01-12,NaN,NaN,NaN,NaN,NaN
Artà,2026-01-12,16.6,6,89.1,19.5,0
Banyalbufar,2026-01-12,,,,15.4,0
Binissalem,2026-01-12,16.8,1.8,89,10.1,0
Búger,2026-01-12,17,3,86.2,22.5,0
Bunyola,2026-01-12,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-01-12,NaN,NaN,NaN,NaN,NaN
Calvià,2026-01-12,17.5,7,87.2,16.4,0
Campanet,2026-01-12,NaN,NaN,NaN,NaN,NaN
Campos,2026-01-12,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-01-12,15.9,10.1,81,24.5,0
Consell,2026-01-12,16.1,2,90.8,16.3,0
Costitx,2026-01-12,16.3,5.6,93.6,10.5,0
Deià,2026-01-12,16.2,9.5,56.3,18,0
Escorca,2026-01-12,10.2,-1.2,91.3,0,0
Esporles,2026-01-12,15.3,4.4,91.4,20.9,0
Estellencs,2026-01-12,15.9,8.9,66.8,32,0
Felanitx,2026-01-12,15.9,9.2,85.5,19,0
Fornalutx,2026-01-12,15.8,7.3,70,12.2,0
Inca,2026-01-12,16.1,6.3,81.6,12.6,0
Lloret de Vistalegre,2026-01-12,16.5,6.7,89.5,6.1,0
Lloseta,2026-01-12,15.3,3.8,83.6,34.2,0
Llubí,2026-01-12,16.3,3.2,87,12.2,0
Llucmajor,2026-01-12,15.3,6,89.8,16.6,0
Manacor,2026-01-12,16.6,4.5,85.2,19.8,0
Mancor,2026-01-12,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-01-12,15.6,6.4,88.4,18.7,0
Marratxí,2026-01-12,17,8.3,82.4,15.8,0
Montuïri,2026-01-12,16.2,1.5,94.1,24.5,0
Muro,2026-01-12,NaN,NaN,NaN,NaN,NaN
Palma,2026-01-12,16.1,7.9,84.1,9,0
Petra,2026-01-12,16.9,5.2,84.9,14.6,0
Pollença,2026-01-12,15.2,5.6,58.1,30.6,0
Porreres,2026-01-12,16.2,6.2,82.8,21.2,0
Sa Pobla,2026-01-12,17,4.3,82.3,20.6,0
Puigpunyent,2026-01-12,12.5,8.1,91.7,12.9,0
Ses Salines,2026-01-12,17.5,5.3,86.5,6.8,0
Sant Joan,2026-01-12,15.7,6.1,62.8,14.3,0
Sant Llorenç des Cardassar,2026-01-12,15,2.9,89.1,0,22.35
Sencelles,2026-01-12,16.8,4,89.7,14.8,0
Santa Eugènia,2026-01-12,17.2,0.8,91.8,17.7,0
Santa Margalida,2026-01-12,16.8,6.3,84.4,15.1,0
Santa María del Camí,2026-01-12,14.9,4.1,84.7,19.8,0
Santanyí,2026-01-12,18.9,4.7,89,0,0
Selva,2026-01-12,16.5,7.2,74.9,9.7,0
Sineu,2026-01-12,16.8,4.8,95.3,10.8,0
Sóller,2026-01-12,16.4,5.4,71.4,27.4,0
Son Servera,2026-01-12,17.1,8.5,76.4,15.5,0
Valldemossa,2026-01-12,12.5,8.4,79.1,32,0
Vilafranca de Bonany,2026-01-12,15.8,7.7,87.3,25.6,0
