Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-05-28,28.3,14.4,74,34,0,0
Alcúdia,2025-05-28,28,14.7,91,45,15.5,0
Algaida,2025-05-28,27.2,15.4,89,34,19.8,0
Andratx,2025-05-28,28.4,15.4,82,34,10.1,0
Ariany,2025-05-28,-,-,-,-,-,-
Artà,2025-05-28,28,12.1,99,46,18.5,0
Banyalbufar,2025-05-28,27.3,15.5,86,51,10.1,0
Binissalem,2025-05-28,30.7,12.1,95,32,7.2,0
Búger,2025-05-28,31.9,12.4,95,28,17.2,0
Bunyola,2025-05-28,29.6,13.4,92,32,13.7,0
Calvià,2025-05-28,27.4,14.4,90,39,17.5,0
Campanet,2025-05-28,-,-,-,-,-,-
Campos,2025-05-28,-,-,-,-,-,-
Capdepera,2025-05-28,26.4,17,86,40,15.4,0
Consell,2025-05-28,17.2,17.2,51,51,3.9,0
Costitx,2025-05-28,29.9,13.8,99,35,9.3,0
Deià,2025-05-28,29.2,17.3,77,33,9.7,0
Escorca,2025-05-28,25.6,7.9,90,39,9.4,0
Esporles,2025-05-28,29.8,13.6,91,47,18.7,0
Estellencs,2025-05-28,-,-,-,-,-,-
Felanitx,2025-05-28,24.9,13.7,76,76,16.7,0
Fornalutx,2025-05-28,26.4,15.6,77,38,14.3,0
Inca,2025-05-28,31.8,16.2,86,35,19.5,0
Lloret,2025-05-28,30.3,14.3,94,34,6.4,0
Lloseta,2025-05-28,28.4,13.4,93,35,26.6,0
Llubí,2025-05-28,31.1,13.6,92,31,13.7,0
Llucmajor,2025-05-28,28.2,14.2,92,35,17.3,0
Manacor,2025-05-28,28.6,13.4,97,35,15.8,0
Mancor,2025-05-28,-,-,-,-,-,-
Maria,2025-05-28,30.5,15.1,94,34,18.4,0
Marratxí,2025-05-28,27.8,15.4,93,33,16.1,0
Montuïri,2025-05-28,30.2,10.4,99,36,19.8,0
Muro,2025-05-28,29.3,15.5,93,40,0,0
Palma,2025-05-28,25.9,16.8,86,61,16.9,0
Petra,2025-05-28,31.2,13.7,95,29,18.7,0
Pollença,2025-05-28,26.7,15.7,69,35,24.1,0
Porreres,2025-05-28,28.6,14.4,88,34,21.2,0
Sa Pobla,2025-05-28,32.6,15.7,88,29,14.6,0
Puigpunyent,2025-05-28,29.3,11.7,87,40,20.9,0
Ses   Salines,2025-05-28,24.6,14.7,93,51,27.8,0
Sant   Joan,2025-05-28,28.8,15.1,69,33,18.7,0
Sant   Llorenç,2025-05-28,29.5,14,93,39,7.2,0
Sencelles,2025-05-28,27.3,14.9,91,39,24.1,0
Santa   Eugènia,2025-05-28,29.7,10.7,99,33,19.5,0
Santa   Margalida,2025-05-28,30.2,15.9,89,34,19.4,0
Santa   Maria,2025-05-28,-,-,-,-,-,-
Santanyi,2025-05-28,29.1,13.7,97,47,5,0
Selva,2025-05-28,-,-,-,-,-,-
Sineu,2025-05-28,30.4,13.8,99,40,10.5,0
Sóller,2025-05-28,27.2,15.2,88,42,18.5,0
Son   Servera,2025-05-28,26.1,16.9,87,38,14.3,0
Valldemossa,2025-05-28,26.1,14,83,35,20.9,0
Villafranca,2025-05-28,,,,,18.3,0
