Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-04-08,27.1,14.2,37,0,0
Alcúdia,2026-04-08,24.8,10.7,74.3,14.4,0
Algaida,2026-04-08,27.6,13.3,41,20.5,0
Andratx,2026-04-08,28.1,14.5,40.1,14.4,0
Ariany,2026-04-08,NaN,NaN,NaN,NaN,NaN
Artà,2026-04-08,25.5,9.9,63.6,16.9,0
Banyalbufar,2026-04-08,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-04-08,29.4,8.7,60.7,10.1,0
Búger,2026-04-08,27.2,8.6,68.1,14.6,0
Bunyola,2026-04-08,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-04-08,NaN,NaN,NaN,NaN,NaN
Calvià,2026-04-08,NaN,NaN,NaN,NaN,NaN
Campanet,2026-04-08,NaN,NaN,NaN,NaN,NaN
Campos,2026-04-08,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-04-08,23.7,13.3,64.4,16.6,0
Consell,2026-04-08,28.3,9.2,58.5,17.7,0
Costitx,2026-04-08,28.9,12,56.7,9.3,0
Deià,2026-04-08,24.1,14.5,54.4,7.9,0
Escorca,2026-04-08,21.7,5.7,55.3,12.6,0
Esporles,2026-04-08,27.9,9.9,59.7,17.7,0
Estellencs,2026-04-08,26.2,11.4,70.1,10.8,0
Felanitx,2026-04-08,29.4,12.6,44.7,14.6,0
Fornalutx,2026-04-08,27.3,16.1,40,18.3,0
Inca,2026-04-08,29.9,13.4,47.7,14.8,0
Lloret de Vistalegre,2026-04-08,28.5,12.9,56,6.4,0
Lloseta,2026-04-08,27.8,10.9,50.7,29.2,0
Llubí,2026-04-08,30,9.6,57.6,11.2,0
Llucmajor,2026-04-08,NaN,NaN,NaN,NaN,NaN
Manacor,2026-04-08,26.5,10.6,67.8,14.4,0
Mancor,2026-04-08,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-04-08,28.1,13.1,55.4,14.8,0
Marratxí,2026-04-08,28.3,14.1,44.7,20.8,0
Montuïri,2026-04-08,28.4,6.7,69.8,13.7,0
Muro,2026-04-08,NaN,NaN,NaN,NaN,NaN
Palma,2026-04-08,26,14.1,60.3,15.1,0
Petra,2026-04-08,30.1,9.8,59.2,13.7,0
Pollença,2026-04-08,23.7,12.6,48.3,14.5,0
Porreres,2026-04-08,28.8,12.3,47.8,14,0
Sa Pobla,2026-04-08,26.6,10.3,65.3,11.9,0
Puigpunyent,2026-04-08,26.1,16.1,32.6,15.4,0
Ses Salines,2026-04-08,28.8,12,60.1,6.5,0
Sant Joan,2026-04-08,27.6,13,53.8,13,0
Sant Llorenç des Cardassar,2026-04-08,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-04-08,28.9,11,57.6,14.3,0
Santa Eugènia,2026-04-08,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-04-08,29,13.5,58.1,10.8,0
Santa María del Camí,2026-04-08,28.6,11.4,47.6,18,0
Santanyí,2026-04-08,,,,3.5,0
Selva,2026-04-08,NaN,NaN,NaN,NaN,NaN
Sineu,2026-04-08,NaN,NaN,NaN,NaN,NaN
Sóller,2026-04-08,28.8,11.2,64.2,22,0
Son Servera,2026-04-08,23.8,13,63,12.2,0
Valldemossa,2026-04-08,26.7,16,37.1,12.2,0
Vilafranca de Bonany,2026-04-08,27.8,13.5,52.6,20.2,0
