Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-07-06,-,-,-,-,-,-
Alcúdia,2025-07-06,33.5,24,82,52,21.2,0
Algaida,2025-07-06,34.2,24,81,38,23.4,0
Andratx,2025-07-06,35,24.7,75,36,11.2,0
Ariany,2025-07-06,-,-,-,-,-,-
Artà,2025-07-06,33.6,21.3,92,55,24.1,0
Banyalbufar,2025-07-06,31.4,23.3,87,47,10.5,0.3
Binissalem,2025-07-06,37.8,21.1,81,31,9.3,0
Búger,2025-07-06,38.2,21.7,85,33,32,0
Bunyola,2025-07-06,36.5,22.9,81,31,16.9,0
Calvià,2025-07-06,32.9,23.3,79,40,18.3,0
Campanet,2025-07-06,-,-,-,-,-,-
Campos,2025-07-06,34.8,24.1,86,49,33.8,0
Capdepera,2025-07-06,31.7,24.9,85,58,23,0
Consell,2025-07-06,-,-,-,-,-,-
Costitx,2025-07-06,36.8,22.4,88,37,10.8,0
Deià,2025-07-06,33,24.5,82,38,15.1,0
Escorca,2025-07-06,31,15.3,91,44,10.4,0
Esporles,2025-07-06,32.9,22.2,87,53,19.5,0
Estellencs,2025-07-06,-,-,-,-,-,-
Felanitx,2025-07-06,33.1,24.3,83,45,29.6,0
Fornalutx,2025-07-06,31.8,23.5,85,48,14.3,0
Inca,2025-07-06,37.5,24.8,75,36,15.1,0
Lloret,2025-07-06,35.9,22.5,88,39,6.9,0
Lloseta,2025-07-06,35,21.8,77,34,29.5,0.1
Llubí,2025-07-06,36.5,22.7,81,33,13.7,0
Llucmajor,2025-07-06,34.4,23.4,89,43,18.7,0
Manacor,2025-07-06,33.4,23.1,94,51,23.4,0
Mancor,2025-07-06,-,-,-,-,-,-
Maria,2025-07-06,35.9,23.5,91,37,20.9,0
Marratxí,2025-07-06,34.7,24.2,86,36,16.9,0
Montuïri,2025-07-06,36.2,21,90,41,17.2,0
Muro,2025-07-06,36.1,22.8,88,40,0,0
Palma,2025-07-06,33.1,25.6,82,54,11.9,0
Petra,2025-07-06,36.6,23.2,91,32,16.9,0
Pollença,2025-07-06,32.9,23.8,65,31,27.8,0
Porreres,2025-07-06,34.6,23.8,83,38,19.4,0
Sa Pobla,2025-07-06,38.1,24.7,79,33,13.7,0
Puigpunyent,2025-07-06,34.6,21.4,79,41,22.5,0
Ses   Salines,2025-07-06,32.4,24.8,90,50,25.9,0
Sant   Joan,2025-07-06,35.1,23.8,68,39,14.6,0
Sant   Llorenç,2025-07-06,36,24.1,89,46,9,0
Sencelles,2025-07-06,34.2,23.1,81,34,25.9,0
Santa   Eugènia,2025-07-06,37.7,20.5,85,34,17.9,0
Santa   Margalida,2025-07-06,36.6,24.4,87,36,19.4,0
Santa   Maria,2025-07-06,-,-,-,-,-,-
Santanyi,2025-07-06,35.3,23.9,94,59,2.1,0
Selva,2025-07-06,35.8,23.7,78,29,8.9,0
Sineu,2025-07-06,37,22,96,41,18.3,0
Sóller,2025-07-06,32.1,23.2,82,53,20.4,0
Son   Servera,2025-07-06,,,,,,
Valldemossa,2025-07-06,30.8,22.4,86,44,24.1,0
Villafranca,2025-07-06,,,,,16.9,0
