Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-12-13,16.4,12.1,90,65,0,1.27
Alcúdia,2025-12-13,17,11.4,94,67,16.6,0.99
Algaida,2025-12-13,15.7,9.5,98,76,22.3,5.41
Andratx,2025-12-13,19.9,12.6,86,50,12.2,1.3
Ariany,2025-12-13,-,-,-,-,-,-
Artà,2025-12-13,-,-,-,-,-,-
Banyalbufar,2025-12-13,15.8,11.2,99,75,13,0
Binissalem,2025-12-13,17.2,10.4,96,72,12.2,1.27
Búger,2025-12-13,16.8,9.8,95,77,15.4,2.29
Bunyola,2025-12-13,19.6,9.4,94,52,16.6,0
Calvià,2025-12-13,19.6,10.1,91,52,22.2,0.25
Campanet,2025-12-13,-,-,-,-,-,-
Campos,2025-12-13,-,-,-,-,-,-
Capdepera,2025-12-13,16.1,13.9,91,76,9.7,0
Consell,2025-12-13,-,-,-,-,-,-
Costitx,2025-12-13,16.3,9.7,99,82,14.8,0.99
Deià,2025-12-13,17.2,12.3,92,62,12.6,4.6
Escorca,2025-12-13,10.6,6.7,95,78,12.6,4.6
Esporles,2025-12-13,18.3,8.1,98,63,14.3,1.27
Estellencs,2025-12-13,-,-,-,-,-,-
Felanitx,2025-12-13,-,-,-,-,-,-
Fornalutx,2025-12-13,16.6,10.8,95,52,28.8,2.79
Inca,2025-12-13,18.6,12.2,98,71,6.1,1.3
Lloret,2025-12-13,15.2,13.6,98,88,4.7,0
Lloseta,2025-12-13,16.2,12.2,97,74,33.1,2.49
Llubí,2025-12-13,16.9,10.3,97,74,11.2,1.5
Llucmajor,2025-12-13,16.6,11.3,99,78,23,5.11
Manacor,2025-12-13,17.3,10.2,97,74,11.9,4.6
Mancor,2025-12-13,-,-,-,-,-,-
Maria,2025-12-13,15.7,11.5,99,82,23,0
Marratxí,2025-12-13,18.1,11.6,93,63,19,0
Montuïri,2025-12-13,15.9,5.9,99,86,16.9,2.59
Muro,2025-12-13,16.7,11.2,99,79,0.3,0
Palma,2025-12-13,17.7,12.6,94,68,23.4,1.19
Petra,2025-12-13,16.6,8.8,97,77,14.6,0.76
Pollença,2025-12-13,15.1,12.2,71,60,22.5,0.76
Porreres,2025-12-13,17,10,97,72,21.6,6.6
Sa Pobla,2025-12-13,-,-,-,-,-,-
Puigpunyent,2025-12-13,-,-,-,-,-,-
Ses   Salines,2025-12-13,-,-,-,-,-,-
Sant   Joan,2025-12-13,15.9,12,71,19,19,0.76
Sant   Llorenç,2025-12-13,17.5,9.4,98,73,4.7,0.25
Sencelles,2025-12-13,-,-,-,-,-,-
Santa   Eugènia,2025-12-13,18.5,4,99,70,239.8,0
Santa   Margalida,2025-12-13,15.9,11.6,95,76,19.4,0.99
Santa   Maria,2025-12-13,-,-,-,-,-,-
Santanyi,2025-12-13,17.5,13.3,99,78,0,13.21
Selva,2025-12-13,15.1,13.6,93,82,7.4,7.87
Sineu,2025-12-13,16.4,8.3,99,88,10.5,0.51
Sóller,2025-12-13,-,-,-,-,-,-
Son   Servera,2025-12-13,-,-,-,-,-,-
Valldemossa,2025-12-13,-,-,-,-,-,-
Villafranca,2025-12-13,,,,,0,1.8
