Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-05-26,30.3,18.3,40.6,0,0
Alcúdia,2026-05-26,28.2,15.8,73.5,11.9,0
Algaida,2026-05-26,30.8,18.6,49.4,21.2,0
Andratx,2026-05-26,30.3,17.8,46.6,16.9,0
Ariany,2026-05-26,NaN,NaN,NaN,NaN,NaN
Artà,2026-05-26,30.4,14.3,60.7,16.6,0
Banyalbufar,2026-05-26,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-05-26,32.1,13.8,62.9,14,0
Búger,2026-05-26,30.3,14.1,60.8,18.7,0
Bunyola,2026-05-26,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-05-26,NaN,NaN,NaN,NaN,NaN
Calvià,2026-05-26,NaN,NaN,NaN,NaN,NaN
Campanet,2026-05-26,NaN,NaN,NaN,NaN,NaN
Campos,2026-05-26,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-05-26,29.8,18.7,59.5,11.9,0
Consell,2026-05-26,NaN,NaN,NaN,NaN,NaN
Costitx,2026-05-26,33.3,15.5,59.1,10.1,0
Deià,2026-05-26,27.6,19.9,56.3,9.7,0
Escorca,2026-05-26,25.8,8.1,67.7,13,0
Esporles,2026-05-26,29.1,16.4,63.5,19.5,0
Estellencs,2026-05-26,27.8,17.3,60.3,11.2,0
Felanitx,2026-05-26,29.4,17.3,52.2,24.8,0
Fornalutx,2026-05-26,27.4,18,57.4,15.1,0
Inca,2026-05-26,33.3,19.3,51,11.9,0
Lloret de Vistalegre,2026-05-26,30.8,15.8,61.1,7.2,0
Lloseta,2026-05-26,30.5,16.1,54.5,22,0.2
Llubí,2026-05-26,31.7,14.3,57.7,13.3,0
Llucmajor,2026-05-26,,,,19.8,0
Manacor,2026-05-26,31.4,15.8,60.5,16.2,0
Mancor,2026-05-26,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-05-26,29,18.5,61.7,19.8,0
Marratxí,2026-05-26,30.5,18.5,48.7,15.4,0
Montuïri,2026-05-26,30.3,11.6,64,27.7,0
Muro,2026-05-26,NaN,NaN,NaN,NaN,NaN
Palma,2026-05-26,28.8,19,60.2,11.2,0
Petra,2026-05-26,32.1,14.6,56.9,15.4,0
Pollença,2026-05-26,27.1,18.5,46.5,20.9,0
Porreres,2026-05-26,32.1,16.7,48.9,14.4,0
Sa Pobla,2026-05-26,29.8,15.8,61.1,15.4,0
Puigpunyent,2026-05-26,NaN,NaN,NaN,NaN,NaN
Ses Salines,2026-05-26,31,16,51.8,11.2,0
Sant Joan,2026-05-26,29.4,17.4,54.2,15.6,0
Sant Llorenç des Cardassar,2026-05-26,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-05-26,33,15.8,55.9,14.3,0
Santa Eugènia,2026-05-26,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-05-26,29.6,17.6,61.9,21.2,0
Santa María del Camí,2026-05-26,30.9,16.4,50.5,18,0
Santanyí,2026-05-26,,,,3.5,0
Selva,2026-05-26,NaN,NaN,NaN,NaN,NaN
Sineu,2026-05-26,NaN,NaN,NaN,NaN,NaN
Sóller,2026-05-26,27.2,16.2,65.2,20.9,0
Son Servera,2026-05-26,27.3,17.6,56.7,15.1,0
Valldemossa,2026-05-26,26.4,18.5,50.7,7.6,0
Vilafranca de Bonany,2026-05-26,30.5,17.8,53.7,19.4,0
