Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-05-11,24.6,14.2,56.4,0,0
Alcúdia,2026-05-11,26.5,16.6,65.7,32,0
Algaida,2026-05-11,23.5,15.9,69.1,25.2,0
Andratx,2026-05-11,23.9,16,69.1,16.2,0
Ariany,2026-05-11,NaN,NaN,NaN,NaN,NaN
Artà,2026-05-11,26.7,15.4,69.6,24.5,0
Banyalbufar,2026-05-11,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-05-11,25.8,13.6,65.7,9,0
Búger,2026-05-11,27,15.7,61.9,23,0
Bunyola,2026-05-11,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-05-11,NaN,NaN,NaN,NaN,NaN
Calvià,2026-05-11,NaN,NaN,NaN,NaN,NaN
Campanet,2026-05-11,NaN,NaN,NaN,NaN,NaN
Campos,2026-05-11,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-05-11,25.4,16.9,71.5,20.6,0
Consell,2026-05-11,NaN,NaN,NaN,NaN,NaN
Costitx,2026-05-11,25.7,15.2,75.6,17.2,0
Deià,2026-05-11,23.5,17.3,57.8,16.2,0
Escorca,2026-05-11,17.2,11.3,69.1,11.2,0
Esporles,2026-05-11,23.6,13.3,73.9,22.4,0
Estellencs,2026-05-11,21.9,16.8,64.7,18,0
Felanitx,2026-05-11,25.6,16.5,66.2,23.7,0
Fornalutx,2026-05-11,22,14.4,65.6,14.8,0.2
Inca,2026-05-11,26,15.3,65.4,20.1,0
Lloret de Vistalegre,2026-05-11,25.4,15.5,73.2,7.9,0
Lloseta,2026-05-11,23.7,14.6,64.6,43.6,0
Llubí,2026-05-11,25.7,15.7,64.4,21.2,0
Llucmajor,2026-05-11,,,,24.1,0
Manacor,2026-05-11,25.8,15.7,63.3,24.1,0
Mancor,2026-05-11,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-05-11,25.6,15.6,68.8,19.1,0
Marratxí,2026-05-11,25.5,15.6,67,17.5,0
Montuïri,2026-05-11,24.6,15.8,74.5,37,0
Muro,2026-05-11,NaN,NaN,NaN,NaN,NaN
Palma,2026-05-11,25.9,17.4,68.5,16.2,0
Petra,2026-05-11,26.3,15.6,63.9,21.6,0
Pollença,2026-05-11,23.2,14.4,46.2,22.5,0
Porreres,2026-05-11,24.9,15.8,65.7,18.7,0
Sa Pobla,2026-05-11,27.3,16.3,62.9,20.6,0
Puigpunyent,2026-05-11,NaN,NaN,NaN,NaN,NaN
Ses Salines,2026-05-11,24.5,16,74.7,10.4,0
Sant Joan,2026-05-11,23.7,16.1,53.6,19.2,0
Sant Llorenç des Cardassar,2026-05-11,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-05-11,25.6,15.5,71,20.9,0
Santa Eugènia,2026-05-11,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-05-11,26,16.1,65.2,19.8,0
Santa María del Camí,2026-05-11,23.5,14.4,66.2,30.6,0
Santanyí,2026-05-11,,,,4,0
Selva,2026-05-11,NaN,NaN,NaN,NaN,NaN
Sineu,2026-05-11,NaN,NaN,NaN,NaN,NaN
Sóller,2026-05-11,23.2,16.1,60.7,27.7,0
Son Servera,2026-05-11,26.3,16.6,65.3,22.3,0
Valldemossa,2026-05-11,19.9,14.5,69.8,21.2,0
Vilafranca de Bonany,2026-05-11,24.9,15.6,69.4,29.5,0
