Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-12-25,13,8.7,88,0,0.25
Alcúdia,2025-12-25,13.6,8.3,88.6,14.8,6.1
Algaida,2025-12-25,12.6,8,96.2,17.6,5.11
Andratx,2025-12-25,14.5,9.5,81.3,18,2.69
Ariany,2025-12-25,NaN,NaN,NaN,NaN,NaN
Artà,2025-12-25,13.5,7.4,95.9,13.7,0.71
Banyalbufar,2025-12-25,12.7,8.8,96.2,11.1,31.29
Binissalem,2025-12-25,13.4,6.6,94.1,9.3,9.91
Búger,2025-12-25,13.9,7.7,94.6,13.7,0.76
Bunyola,2025-12-25,15.9,7.7,90,17.2,0
Cabrera,2025-12-25,NaN,NaN,NaN,NaN,NaN
Calvià,2025-12-25,13.9,9.1,87,19.3,1.27
Campanet,2025-12-25,NaN,NaN,NaN,NaN,NaN
Campos,2025-12-25,NaN,NaN,NaN,NaN,NaN
Capdepera,2025-12-25,13.6,9.8,88.9,21.6,0.51
Consell,2025-12-25,13.5,7.1,96.7,18.7,1.52
Costitx,2025-12-25,12.3,8.1,98.8,11.1,5.31
Deià,2025-12-25,12.5,9,86.2,10.8,0
Escorca,2025-12-25,6.9,4.8,98,9.7,2.01
Esporles,2025-12-25,13.2,7.9,94.2,10.5,0.51
Estellencs,2025-12-25,15.5,9.1,83.5,10.4,5.11
Felanitx,2025-12-25,14.2,8.7,93.8,19,6.35
Fornalutx,2025-12-25,12.6,7.9,94.2,13.7,0.3
Inca,2025-12-25,15.2,9.2,95.6,4,3.3
Lloret de Vistalegre,2025-12-25,12.8,8.2,97.4,4.3,0.2
Lloseta,2025-12-25,12.3,8.2,93.5,26.6,1.8
Llubí,2025-12-25,13.1,7.8,97.2,7.9,4.8
Llucmajor,2025-12-25,13.2,8.2,93.6,23.8,8.1
Manacor,2025-12-25,14.9,8.4,93.6,11.5,4.29
Mancor,2025-12-25,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2025-12-25,12.1,8.7,98.4,18,0
Marratxí,2025-12-25,14.1,8.9,89.5,19.3,0.76
Montuïri,2025-12-25,13,7.6,98.4,14.8,8.1
Muro,2025-12-25,12.3,9.2,98.7,5.5,2.21
Palma,2025-12-25,14.1,9.8,88.8,22.3,2.49
Petra,2025-12-25,13.9,8,94.4,16.4,21.84
Pollença,2025-12-25,11.2,9.1,73.6,16.1,2.29
Porreres,2025-12-25,13.8,8.4,93.2,16.2,6.4
Sa Pobla,2025-12-25,13.3,8.3,93.5,13.7,0.71
Puigpunyent,2025-12-25,12.3,7.9,92.5,15.8,1.78
Ses Salines,2025-12-25,15,8.5,92.3,7.2,6.91
Sant Joan,2025-12-25,12.9,9.3,34,15.4,4.57
Sant Llorenç des Cardassar,2025-12-25,14.4,7.5,92.1,199.7,6.86
Sencelles,2025-12-25,13.8,8.7,96.8,11.6,3.05
Santa Eugènia,2025-12-25,15.1,7.5,96.8,12.9,2.29
Santa Margalida,2025-12-25,12.9,9,94.7,17.6,3.1
Santa María del Camí,2025-12-25,13.3,7.9,90.9,21.2,0.3
Santanyí,2025-12-25,14.1,9.2,95,0,12.19
Selva,2025-12-25,13.5,8.4,91.9,8.2,13.46
Sineu,2025-12-25,11.7,7.6,99,7.9,0.51
Sóller,2025-12-25,14.3,8.7,92.9,9.7,0
Son Servera,2025-12-25,14.3,9.9,88.7,14.4,3.51
Valldemossa,2025-12-25,10.7,7.6,91.4,11.5,0
Vilafranca de Bonany,2025-12-25,13,8.8,93.8,22.3,5.89
