Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-03-17,19.4,7.6,55.9,0,0
Alcúdia,2026-03-17,19.8,5.4,72.2,13.7,0
Algaida,2026-03-17,19.6,7.4,63.2,15.8,0
Andratx,2026-03-17,19.9,8.2,67.4,8.6,0
Ariany,2026-03-17,NaN,NaN,NaN,NaN,NaN
Artà,2026-03-17,21.1,4.8,73,13.7,0
Banyalbufar,2026-03-17,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-03-17,21.9,3.3,71.9,5.8,0
Búger,2026-03-17,21.7,3,71.9,22.5,0
Bunyola,2026-03-17,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-03-17,NaN,NaN,NaN,NaN,NaN
Calvià,2026-03-17,NaN,NaN,NaN,NaN,NaN
Campanet,2026-03-17,NaN,NaN,NaN,NaN,NaN
Campos,2026-03-17,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-03-17,18.2,9,70.1,12.2,0
Consell,2026-03-17,20.3,3.3,72.3,14.8,0
Costitx,2026-03-17,20.8,5.4,73,8.2,0
Deià,2026-03-17,18.9,10,58.6,8.3,0
Escorca,2026-03-17,16.8,1.6,68.5,0,0
Esporles,2026-03-17,19.5,7.4,83.6,13.7,0
Estellencs,2026-03-17,18.6,9.1,66.6,9.4,0
Felanitx,2026-03-17,20.5,7.3,69.7,15,0
Fornalutx,2026-03-17,18.9,8.3,66.9,13,0
Inca,2026-03-17,23.5,8.2,60.7,11.6,0
Lloret de Vistalegre,2026-03-17,22.3,6.5,70.2,5.8,0
Lloseta,2026-03-17,20.3,5.6,65.7,20.2,0
Llubí,2026-03-17,22.9,3.9,66,9.4,0
Llucmajor,2026-03-17,,,,15.1,0
Manacor,2026-03-17,21.1,5.4,72.1,12.6,0
Mancor,2026-03-17,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-03-17,20.7,7.8,67.4,18.4,0
Marratxí,2026-03-17,20,9,65.1,15,0
Montuïri,2026-03-17,21,2.9,76.3,20.9,0
Muro,2026-03-17,NaN,NaN,NaN,NaN,NaN
Palma,2026-03-17,18.4,9.8,69.4,16.6,0
Petra,2026-03-17,22.8,5.8,65.8,12.2,0
Pollença,2026-03-17,17.9,7.6,48.1,16.1,0
Porreres,2026-03-17,21.9,6.5,61.3,11.2,0
Sa Pobla,2026-03-17,21.1,5.3,67.3,13.7,0
Puigpunyent,2026-03-17,20.4,8.8,53.6,13.2,0
Ses Salines,2026-03-17,19.3,5,80.8,7.6,0
Sant Joan,2026-03-17,20.3,7,64.3,12.1,0
Sant Llorenç des Cardassar,2026-03-17,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-03-17,21.8,5.3,70.7,12.6,0
Santa Eugènia,2026-03-17,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-03-17,20.7,7.4,64,14.4,0
Santa María del Camí,2026-03-17,19.3,5.5,68.6,18,0
Santanyí,2026-03-17,21.2,6.1,82.6,2.6,0
Selva,2026-03-17,NaN,NaN,NaN,NaN,NaN
Sineu,2026-03-17,NaN,NaN,NaN,NaN,NaN
Sóller,2026-03-17,19.7,6.1,78.5,15.8,0
Son Servera,2026-03-17,17.9,8.1,67.9,12.2,0
Valldemossa,2026-03-17,17.8,8.4,62.1,6.1,0
Vilafranca de Bonany,2026-03-17,21.3,7.2,68.7,17.3,0
