Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-10-12,22.6,18,87,72,0,3.3
Alcúdia,2025-10-12,25,18,96,70,14.4,9.09
Algaida,2025-10-12,21.5,16.3,98,79,30.2,3.1
Andratx,2025-10-12,26.7,17.4,90,48,23,13.69
Ariany,2025-10-12,-,-,-,-,-,-
Artà,2025-10-12,24.2,18.1,99,76,25.9,15.39
Banyalbufar,2025-10-12,24,16.5,99,69,21.2,5.59
Binissalem,2025-10-12,23.2,17.2,93,73,10.5,5.08
Búger,2025-10-12,26.3,17.6,96,68,15.4,25.15
Bunyola,2025-10-12,24.6,16.6,94,60,19.8,8.13
Calvià,2025-10-12,25.8,17.2,90,48,23.7,0.25
Campanet,2025-10-12,-,-,-,-,-,-
Campos,2025-10-12,24.6,18.7,94,72,51.8,14.81
Capdepera,2025-10-12,24,18.7,94,76,18.3,12.7
Consell,2025-10-12,-,-,-,-,-,-
Costitx,2025-10-12,23.5,16.3,99,83,10.1,16.51
Deià,2025-10-12,23.9,16.7,90,63,32.8,8.61
Escorca,2025-10-12,18.5,12.4,98,85,16.9,3
Esporles,2025-10-12,23.2,16.4,97,74,14.8,0
Estellencs,2025-10-12,-,-,-,-,-,-
Felanitx,2025-10-12,24.5,17.5,94,72,38.9,1043.61
Fornalutx,2025-10-12,22.2,16.3,94,65,23,16.21
Inca,2025-10-12,24.3,17.5,98,73,9,15.8
Lloret,2025-10-12,23,16.4,99,82,15.1,0
Lloseta,2025-10-12,21.7,17.3,95,71,22,1.8
Llubí,2025-10-12,22.9,17.5,97,71,13.7,20.8
Llucmajor,2025-10-12,22.6,17.1,97,80,24.8,1.5
Manacor,2025-10-12,24.8,18.1,98,66,14.8,9.4
Mancor,2025-10-12,-,-,-,-,-,-
Maria,2025-10-12,22.9,16.6,99,81,16.9,19.99
Marratxí,2025-10-12,22.9,16.8,94,78,25.1,18.29
Montuïri,2025-10-12,23.5,17,99,83,19.5,11
Muro,2025-10-12,22.8,17.6,99,84,0,22.61
Palma,2025-10-12,22.7,16.8,96,77,24.1,33.81
Petra,2025-10-12,24.3,17.3,97,72,20.1,19.81
Pollença,2025-10-12,21.1,17.1,83,65,35.2,59.21
Porreres,2025-10-12,24.3,16.9,95,73,23.8,13.69
Sa Pobla,2025-10-12,25,18.6,96,75,8.5,7.87
Puigpunyent,2025-10-12,23.8,17,87,70,25.9,15.01
Ses   Salines,2025-10-12,24,18.9,96,73,31.5,0
Sant   Joan,2025-10-12,22.3,17.3,67,24,26.9,6.1
Sant   Llorenç,2025-10-12,29.9,17.8,98,61,2.7,0
Sencelles,2025-10-12,21.7,16.9,95,77,27.8,13
Santa   Eugènia,2025-10-12,24.2,17.1,99,71,13.4,13.21
Santa   Margalida,2025-10-12,23.2,17.7,95,78,19.1,22.4
Santa   Maria,2025-10-12,-,-,-,-,-,-
Santanyi,2025-10-12,24.4,20.2,97,76,13.4,0
Selva,2025-10-12,23.1,17.9,93,72,5.6,18.29
Sineu,2025-10-12,22,16.9,99,88,17.2,27.41
Sóller,2025-10-12,25.3,17.9,90,57,50.1,1.52
Son   Servera,2025-10-12,,,,,,
Valldemossa,2025-10-12,21.8,15.3,91,69,43.5,8.41
Villafranca,2025-10-12,,,,,0,10.21
