Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-04-21,27.7,12.9,43.7,0,0
Alcúdia,2026-04-21,24.5,11.9,66.6,15.5,0
Algaida,2026-04-21,27.9,14.2,49.8,18.7,0
Andratx,2026-04-21,25.2,13.7,52.7,11.2,0
Ariany,2026-04-21,NaN,NaN,NaN,NaN,NaN
Artà,2026-04-21,25.3,10.1,64.6,17.2,0
Banyalbufar,2026-04-21,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-04-21,30.2,10.2,59,6.9,0
Búger,2026-04-21,29,10,62.5,19.8,0
Bunyola,2026-04-21,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-04-21,NaN,NaN,NaN,NaN,NaN
Calvià,2026-04-21,NaN,NaN,NaN,NaN,NaN
Campanet,2026-04-21,NaN,NaN,NaN,NaN,NaN
Campos,2026-04-21,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-04-21,23.2,14.5,59.6,14.3,0
Consell,2026-04-21,28.7,10,58.3,16.9,0
Costitx,2026-04-21,29.8,10.9,63.7,8.7,0
Deià,2026-04-21,23.7,16.1,57.8,7.2,0
Escorca,2026-04-21,22.9,6.9,66.3,11.2,0
Esporles,2026-04-21,27.7,11.6,58.9,17.7,0
Estellencs,2026-04-21,23,12.8,65.7,9.7,0
Felanitx,2026-04-21,27.2,14.5,47.2,17.9,0
Fornalutx,2026-04-21,23.7,15,60.4,12.2,0
Inca,2026-04-21,31.1,14.4,50.8,16.9,0
Lloret de Vistalegre,2026-04-21,28.1,12.6,60.1,5.5,0
Lloseta,2026-04-21,29.1,12.2,55.2,25.2,0
Llubí,2026-04-21,30.6,10.9,55.8,11.2,0
Llucmajor,2026-04-21,,,,15.8,0
Manacor,2026-04-21,25.9,11.2,64.9,15.1,0
Mancor,2026-04-21,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-04-21,27,13.5,57,18.7,0
Marratxí,2026-04-21,26.5,14.5,53.6,24.8,0
Montuïri,2026-04-21,27.9,8.4,69.6,14.8,0
Muro,2026-04-21,NaN,NaN,NaN,NaN,NaN
Palma,2026-04-21,23.7,14.6,62.5,9.7,0
Petra,2026-04-21,28.7,11.9,56.9,14,0
Pollença,2026-04-21,23.4,13.9,47.9,14.5,0
Porreres,2026-04-21,27.5,13,51.4,15.1,0
Sa Pobla,2026-04-21,27.6,11.6,60.1,13.7,0
Puigpunyent,2026-04-21,25.7,13.8,43.1,12.6,0
Ses Salines,2026-04-21,25.5,12.2,65.2,6.1,0
Sant Joan,2026-04-21,26.9,13.2,55.9,12.4,0
Sant Llorenç des Cardassar,2026-04-21,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-04-21,29.7,11.6,60.5,13,0
Santa Eugènia,2026-04-21,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-04-21,28.4,13.2,55.1,14.8,0
Santa María del Camí,2026-04-21,26.3,11.7,55.3,16.2,0
Santanyí,2026-04-21,,,,2.1,0
Selva,2026-04-21,NaN,NaN,NaN,NaN,NaN
Sineu,2026-04-21,NaN,NaN,NaN,NaN,NaN
Sóller,2026-04-21,23.4,12.9,69.5,21.2,0
Son Servera,2026-04-21,23,13.6,60.9,14.8,0
Valldemossa,2026-04-21,23.7,14.6,45.8,15.5,0
Vilafranca de Bonany,2026-04-21,27.3,14.5,57,16.9,0
