Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-09-01,30.3,21.4,78,29,0,0
Alcúdia,2025-09-01,28.8,21.7,92,62,31,0
Algaida,2025-09-01,30.8,20.5,92,33,30.2,0
Andratx,2025-09-01,29.8,22.2,82,46,20.5,0
Ariany,2025-09-01,-,-,-,-,-,-
Artà,2025-09-01,30.1,20,99,65,33.8,0
Banyalbufar,2025-09-01,28.6,19.8,91,39,28,0
Binissalem,2025-09-01,33.1,19.2,93,29,13.7,0
Búger,2025-09-01,34.9,19.7,93,27,25.1,0
Bunyola,2025-09-01,30.4,19.7,91,36,35.6,0
Calvià,2025-09-01,28.2,20.9,92,53,24,0
Campanet,2025-09-01,-,-,-,-,-,-
Campos,2025-09-01,33.8,21.9,95,31,37,0
Capdepera,2025-09-01,29.5,22.3,93,62,22.4,0
Consell,2025-09-01,-,-,-,-,-,-
Costitx,2025-09-01,23.5,21.7,99,82,2.9,0
Deià,2025-09-01,28.7,21.6,86,33,27.4,0
Escorca,2025-09-01,24.5,16.6,86,41,18,0
Esporles,2025-09-01,26.3,19.4,95,79,21.6,0
Estellencs,2025-09-01,-,-,-,-,-,-
Felanitx,2025-09-01,32.5,21.9,91,38,35.4,0
Fornalutx,2025-09-01,28.6,20.4,81,34,19.2,0
Inca,2025-09-01,32.8,22.4,90,31,18,0
Lloret,2025-09-01,33.2,19.5,95,31,6.9,0
Lloseta,2025-09-01,30.5,19.8,91,29,33.8,0
Llubí,2025-09-01,32,21.2,92,34,16.9,0
Llucmajor,2025-09-01,31.4,20.6,95,36,24.8,0
Manacor,2025-09-01,31.5,20.4,93,45,15.5,0
Mancor,2025-09-01,-,-,-,-,-,-
Maria,2025-09-01,-,-,-,-,-,-
Marratxí,2025-09-01,32.4,21.2,93,27,19.8,0
Montuïri,2025-09-01,31.8,19,99,37,28,0
Muro,2025-09-01,32,21.9,96,49,0,0
Palma,2025-09-01,30.2,23.8,87,43,31,0
Petra,2025-09-01,32.3,20.4,95,36,21.9,0
Pollença,2025-09-01,27.9,21.4,66,40,38.9,0
Porreres,2025-09-01,32.1,20.4,92,30,18,0
Sa Pobla,2025-09-01,33.9,21.8,90,43,16.1,0
Puigpunyent,2025-09-01,28.2,19.1,89,48,50.1,0
Ses   Salines,2025-09-01,30.6,22.4,92,45,40.7,0
Sant   Joan,2025-09-01,30.2,22.2,69,28,23,0
Sant   Llorenç,2025-09-01,32.5,21.4,95,55,12.9,0
Sencelles,2025-09-01,31.2,21.2,92,32,25.9,0
Santa   Eugènia,2025-09-01,33.9,19.4,97,26,16.3,0
Santa   Margalida,2025-09-01,32.6,22.1,94,41,27.4,0
Santa   Maria,2025-09-01,-,-,-,-,-,-
Santanyi,2025-09-01,33.8,22.1,95,39,6.4,0
Selva,2025-09-01,-,-,-,-,-,-
Sineu,2025-09-01,32.4,19.1,99,42,14.8,0
Sóller,2025-09-01,29.2,20,78,32,46.7,0
Son   Servera,2025-09-01,,,,,,
Valldemossa,2025-09-01,21.5,21,51,48,16.7,0
Villafranca,2025-09-01,,,,,0,0
