Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-12-10,18.2,8.5,89,76,0,0
Alcúdia,2025-12-10,18.8,7.5,97,77,10.1,0.2
Algaida,2025-12-10,19.1,10.9,97,72,12.2,0.51
Andratx,2025-12-10,19,11.3,92,70,6.8,0
Ariany,2025-12-10,-,-,-,-,-,-
Artà,2025-12-10,-,-,-,-,-,-
Banyalbufar,2025-12-10,13.2,10.1,96,76,3.2,0
Binissalem,2025-12-10,19.6,8.3,97,74,5,0.25
Búger,2025-12-10,18.9,6.2,98,68,10.3,0.25
Bunyola,2025-12-10,19.4,9.3,97,73,7.9,0
Calvià,2025-12-10,19.1,10.5,94,71,11.7,0
Campanet,2025-12-10,-,-,-,-,-,-
Campos,2025-12-10,-,-,-,-,-,-
Capdepera,2025-12-10,19.2,11.8,96,72,11.1,0
Consell,2025-12-10,-,-,-,-,-,-
Costitx,2025-12-10,19.9,8.5,99,76,5.5,0.2
Deià,2025-12-10,18.5,13,80,48,5.4,0
Escorca,2025-12-10,14.2,1.7,91,42,4,0
Esporles,2025-12-10,18.4,7.6,99,75,9.3,0.25
Estellencs,2025-12-10,-,-,-,-,-,-
Felanitx,2025-12-10,-,-,-,-,-,-
Fornalutx,2025-12-10,17.3,11.9,84,44,8.7,0
Inca,2025-12-10,21.9,9.7,95,60,7.6,0
Lloret,2025-12-10,19.7,9.1,99,76,0,0
Lloseta,2025-12-10,20,9.1,97,69,22,0
Llubí,2025-12-10,20.8,8.5,99,66,5,0.3
Llucmajor,2025-12-10,19.1,10.7,99,75,7.2,0.3
Manacor,2025-12-10,19,9.7,97,74,7.2,0.2
Mancor,2025-12-10,-,-,-,-,-,-
Maria,2025-12-10,17.8,12.1,99,79,6.1,0
Marratxí,2025-12-10,21.1,11.8,95,66,13.7,0
Montuïri,2025-12-10,20.1,5.6,99,77,6.9,0.3
Muro,2025-12-10,20.2,10,99,73,0,0.3
Palma,2025-12-10,18,12.5,93,79,9.4,0
Petra,2025-12-10,20.5,9.2,97,64,8.9,0.25
Pollença,2025-12-10,17.3,8.3,71,53,6.4,0
Porreres,2025-12-10,21.1,8.9,97,63,7.9,0.2
Sa Pobla,2025-12-10,-,-,-,-,-,-
Puigpunyent,2025-12-10,-,-,-,-,-,-
Ses   Salines,2025-12-10,-,-,-,-,-,-
Sant   Joan,2025-12-10,20.1,8.4,71,14,8.2,0.51
Sant   Llorenç,2025-12-10,16.5,9.2,97,1,0,0
Sencelles,2025-12-10,-,-,-,-,-,-
Santa   Eugènia,2025-12-10,20.3,6.2,99,68,9,0
Santa   Margalida,2025-12-10,19.5,9.8,98,69,9,0.61
Santa   Maria,2025-12-10,-,-,-,-,-,-
Santanyi,2025-12-10,20.9,9.8,99,76,0,0.2
Selva,2025-12-10,-,-,-,-,-,-
Sineu,2025-12-10,20.4,9.4,99,81,4,0
Sóller,2025-12-10,-,-,-,-,-,-
Son   Servera,2025-12-10,-,-,-,-,-,-
Valldemossa,2025-12-10,-,-,-,-,-,-
Villafranca,2025-12-10,,,,,0,0.3
