Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-10-08,20.9,18.7,75,67,0,0
Alcúdia,2025-10-08,26.8,14.9,93,50,11.2,0
Algaida,2025-10-08,24.9,16.5,91,47,18.4,0
Andratx,2025-10-08,25.8,16.6,86,55,11.2,0
Ariany,2025-10-08,-,-,-,-,-,-
Artà,2025-10-08,27.6,13.6,99,46,29.6,0
Banyalbufar,2025-10-08,23.8,17,92,71,9.7,0
Binissalem,2025-10-08,27.5,12.2,96,50,9.7,0
Búger,2025-10-08,28.4,13.5,93,40,14.6,0
Bunyola,2025-10-08,26.7,14.8,93,48,14,0
Calvià,2025-10-08,26.1,15.5,92,52,15,0
Campanet,2025-10-08,-,-,-,-,-,-
Campos,2025-10-08,25.5,13.8,97,57,33.8,0
Capdepera,2025-10-08,26.6,19.1,83,53,16.6,0
Consell,2025-10-08,-,-,-,-,-,-
Costitx,2025-10-08,27.1,14.5,99,45,10.5,0
Deià,2025-10-08,25.3,17.8,80,52,11.5,0
Escorca,2025-10-08,21.4,8.9,98,68,10.1,0
Esporles,2025-10-08,26.4,14.2,97,60,15.8,0
Estellencs,2025-10-08,-,-,-,-,-,-
Felanitx,2025-10-08,25.7,15.7,92,57,27.8,0
Fornalutx,2025-10-08,24.5,16.3,88,58,16.9,0
Inca,2025-10-08,26.9,16.2,85,49,13,0
Lloret,2025-10-08,27.2,15.6,95,45,7.9,0
Lloseta,2025-10-08,25,14.3,92,52,28.1,0
Llubí,2025-10-08,28.1,14,95,37,9.4,0
Llucmajor,2025-10-08,25.3,15.8,94,52,18.7,0
Manacor,2025-10-08,26.7,14.7,96,48,15.5,0
Mancor,2025-10-08,-,-,-,-,-,-
Maria,2025-10-08,27.5,17.2,92,42,17.3,0
Marratxí,2025-10-08,25.8,16.1,89,54,19,0
Montuïri,2025-10-08,26.5,11.8,99,52,23.8,0
Muro,2025-10-08,27.2,16.4,94,38,0,0
Palma,2025-10-08,25.7,18.1,86,61,9.7,0
Petra,2025-10-08,28.4,15,93,38,15,0
Pollença,2025-10-08,24.3,16.4,68,45,20.9,0
Porreres,2025-10-08,26.6,15.8,90,47,16.2,0
Sa Pobla,2025-10-08,29.1,15.8,90,43,10.8,0
Puigpunyent,2025-10-08,25.2,13.5,91,60,19.3,0
Ses   Salines,2025-10-08,23.8,15.4,92,68,25.9,0
Sant   Joan,2025-10-08,25.4,15.7,70,33,14,0
Sant   Llorenç,2025-10-08,30.2,14,96,44,6,0
Sencelles,2025-10-08,25,15.2,92,52,25.9,0
Santa   Eugènia,2025-10-08,27.5,11.9,99,50,19,0
Santa   Margalida,2025-10-08,28.6,16.2,91,38,16.6,0
Santa   Maria,2025-10-08,-,-,-,-,-,-
Santanyi,2025-10-08,28.4,15.3,97,55,3.2,0
Selva,2025-10-08,27.1,16.2,86,43,8.2,0
Sineu,2025-10-08,27.8,13.4,99,48,11.9,0
Sóller,2025-10-08,24.6,16.5,88,55,18.5,0
Son   Servera,2025-10-08,,,,,,
Valldemossa,2025-10-08,21.7,15.1,91,64,19.3,0
Villafranca,2025-10-08,,,,,0,0
