Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-09-24,22.8,14.3,87,39,0,0
Alcúdia,2025-09-24,23.2,14.6,95,42,34.2,0.3
Algaida,2025-09-24,22.6,13.8,91,46,23.4,0
Andratx,2025-09-24,23.2,15.8,78,46,17.6,0
Ariany,2025-09-24,-,-,-,-,-,-
Artà,2025-09-24,24.8,12.8,99,50,22.5,0.2
Banyalbufar,2025-09-24,21.5,14.9,87,59,10.5,0
Binissalem,2025-09-24,24.4,12.8,94,39,11.1,0
Búger,2025-09-24,26.6,13.8,93,28,20.1,0
Bunyola,2025-09-24,23.8,13.8,87,37,24.5,0
Calvià,2025-09-24,23.3,14.3,92,45,21.9,0.51
Campanet,2025-09-24,-,-,-,-,-,-
Campos,2025-09-24,25.2,12.6,95,47,33.8,7.01
Capdepera,2025-09-24,23.2,15.7,88,50,16.9,0
Consell,2025-09-24,-,-,-,-,-,-
Costitx,2025-09-24,-,-,-,-,-,-
Deià,2025-09-24,23.1,16,70,45,11.9,0
Escorca,2025-09-24,16.4,7.9,98,58,16.9,2.49
Esporles,2025-09-24,20.6,13.7,97,62,15.1,0
Estellencs,2025-09-24,-,-,-,-,-,-
Felanitx,2025-09-24,24.9,14.8,86,42,29.6,0
Fornalutx,2025-09-24,21,13.4,93,46,12.6,3.4
Inca,2025-09-24,25,15.4,85,29,13.7,2.01
Lloret,2025-09-24,24.5,13.4,95,45,6.4,0
Lloseta,2025-09-24,22.9,13.6,90,29,33.1,0
Llubí,2025-09-24,24.7,13.3,92,35,14.4,0
Llucmajor,2025-09-24,23.9,14.7,87,47,21.6,0
Manacor,2025-09-24,25.7,12.7,95,37,18.4,0
Mancor,2025-09-24,-,-,-,-,-,-
Maria,2025-09-24,25.9,14.5,91,40,17.3,0
Marratxí,2025-09-24,24.7,14.6,86,37,23.3,0
Montuïri,2025-09-24,23.6,11.2,99,48,32.8,0
Muro,2025-09-24,24.2,15,94,40,0,0.3
Palma,2025-09-24,25.2,17.4,84,41,23.4,0
Petra,2025-09-24,25,13,92,38,15.4,0
Pollença,2025-09-24,21.4,14.3,73,32,32.2,0
Porreres,2025-09-24,23.7,14,88,41,22,0
Sa Pobla,2025-09-24,27,14.7,90,32,17.5,0
Puigpunyent,2025-09-24,20.7,13,89,53,29.6,0.2
Ses   Salines,2025-09-24,23.3,14.6,89,52,29.6,0
Sant   Joan,2025-09-24,23.1,14.7,69,37,17.1,0
Sant   Llorenç,2025-09-24,27.2,13.6,90,41,7.4,0
Sencelles,2025-09-24,23.1,14,89,41,27.8,0
Santa   Eugènia,2025-09-24,25.2,11.9,99,38,15.3,0.51
Santa   Margalida,2025-09-24,24.9,15,86,40,15.8,0
Santa   Maria,2025-09-24,-,-,-,-,-,-
Santanyi,2025-09-24,27.2,13.9,96,46,9.3,0
Selva,2025-09-24,24.4,14.2,87,28,13.2,9.14
Sineu,2025-09-24,25.2,11.9,99,47,17.2,0
Sóller,2025-09-24,21.5,14.3,95,47,22.2,0.25
Son   Servera,2025-09-24,,,,,,
Valldemossa,2025-09-24,18.7,13.2,89,58,31.5,0.2
Villafranca,2025-09-24,,,,,0,0
