Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-01-06,9.9,4.3,53.5,0,0
Alcúdia,2026-01-06,11.4,4.2,51.3,28.1,0
Algaida,2026-01-06,9.9,4.4,60.6,28.1,0
Andratx,2026-01-06,11.9,5.8,65,18.7,2.31
Ariany,2026-01-06,NaN,NaN,NaN,NaN,NaN
Artà,2026-01-06,10.5,5,60.3,31.4,0
Banyalbufar,2026-01-06,,,,14.8,0.51
Binissalem,2026-01-06,11.8,1.1,70.1,13,0
Búger,2026-01-06,11.2,3.2,59.5,24.5,0
Bunyola,2026-01-06,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-01-06,NaN,NaN,NaN,NaN,NaN
Calvià,2026-01-06,11.2,5,67.3,31.5,1.78
Campanet,2026-01-06,NaN,NaN,NaN,NaN,NaN
Campos,2026-01-06,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-01-06,10.5,7.8,52.7,32.8,0
Consell,2026-01-06,11.5,1.8,68.5,13,0
Costitx,2026-01-06,10.8,2.7,70.1,14.8,0
Deià,2026-01-06,11.3,6.5,58.1,13,0
Escorca,2026-01-06,3.3,-0.6,73.6,23.4,2.01
Esporles,2026-01-06,10.6,4.5,70.3,27.7,1.52
Estellencs,2026-01-06,12.1,5.3,64.8,19.8,0.99
Felanitx,2026-01-06,10.6,5,62.9,25.4,0
Fornalutx,2026-01-06,9.7,4.5,65.6,21.2,0
Inca,2026-01-06,12.6,5.7,60,12.2,0
Lloret de Vistalegre,2026-01-06,11,4.3,65.9,7.2,0
Lloseta,2026-01-06,10.9,4.1,60.1,41,0.2
Llubí,2026-01-06,11,3.5,59.3,20.2,0
Llucmajor,2026-01-06,10.3,3.9,64.4,30.2,0
Manacor,2026-01-06,10.7,3.6,58,21.6,0
Mancor,2026-01-06,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-01-06,9.7,5.5,61.5,40.3,0
Marratxí,2026-01-06,13.1,4.8,61.3,14,0
Montuïri,2026-01-06,10.1,0.4,73.6,39.3,0
Muro,2026-01-06,NaN,NaN,NaN,NaN,NaN
Palma,2026-01-06,11.8,6.6,61.5,32.8,0.99
Petra,2026-01-06,10.6,4.6,60.2,23,2.29
Pollença,2026-01-06,9.6,6.8,38.1,30.6,0
Porreres,2026-01-06,10.3,4.5,61.2,27.7,0
Sa Pobla,2026-01-06,11.1,3.6,56.4,24.5,0
Puigpunyent,2026-01-06,9.4,4.2,71.4,20.8,0.76
Ses Salines,2026-01-06,11.6,2,73.5,4.7,0
Sant Joan,2026-01-06,10.2,5.2,60.3,21.4,0
Sant Llorenç des Cardassar,2026-01-06,10.6,3.3,54.7,12.1,0
Sencelles,2026-01-06,11.3,3.5,65.5,16.9,0
Santa Eugènia,2026-01-06,13.7,0.6,74.2,7.7,0
Santa Margalida,2026-01-06,10.3,4.8,56.8,26.3,0
Santa María del Camí,2026-01-06,11,2.8,61.9,24.8,0
Santanyí,2026-01-06,10.7,2.3,73,21.2,0
Selva,2026-01-06,11,4.8,58.9,18.3,1.02
Sineu,2026-01-06,11.3,3.2,72.5,11.9,0
Sóller,2026-01-06,11.3,4.5,59.8,35.6,0
Son Servera,2026-01-06,10.6,6.9,50.2,33.1,0
Valldemossa,2026-01-06,NaN,NaN,NaN,NaN,NaN
Vilafranca de Bonany,2026-01-06,10.1,5.1,61.5,34.2,0
