Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-11-08,15.9,11.6,92,60,0,19.3
Alcúdia,2025-11-08,18.2,11,96,58,33.8,16
Algaida,2025-11-08,14.4,10.9,98,74,18.7,9.91
Andratx,2025-11-08,16.5,13.4,93,68,18.4,37.39
Ariany,2025-11-08,-,-,-,-,-,-
Artà,2025-11-08,15.8,9.1,99,77,48.3,20.6
Banyalbufar,2025-11-08,16,12.4,99,80,15.1,45.01
Binissalem,2025-11-08,15.6,9.1,97,75,11.1,5.33
Búger,2025-11-08,17.3,9.2,96,67,15.4,10.16
Bunyola,2025-11-08,15.4,11.4,97,70,31.4,21.59
Calvià,2025-11-08,15.5,12.8,95,71,25.9,45.97
Campanet,2025-11-08,-,-,-,-,-,-
Campos,2025-11-08,-,-,-,-,-,-
Capdepera,2025-11-08,17.8,12.2,94,67,30.9,10.69
Consell,2025-11-08,-,-,-,-,-,-
Costitx,2025-11-08,14.2,9.8,99,85,7.6,9.09
Deià,2025-11-08,16.9,12.6,93,56,13,32.69
Escorca,2025-11-08,10.9,7.6,97,85,23.8,51.79
Esporles,2025-11-08,15.6,11.9,99,83,30.9,16.51
Estellencs,2025-11-08,-,-,-,-,-,-
Felanitx,2025-11-08,-,-,-,-,-,-
Fornalutx,2025-11-08,14.4,11.5,98,73,25.6,32.99
Inca,2025-11-08,14.9,11.5,98,77,9.3,11.4
Lloret,2025-11-08,14.8,10.4,98,81,5,0
Lloseta,2025-11-08,15.4,10.4,97,71,35.3,12.19
Llubí,2025-11-08,17.3,10.2,98,69,14.8,12.19
Llucmajor,2025-11-08,15.1,11.1,99,78,25.6,9.91
Manacor,2025-11-08,16.6,10.6,97,66,20.5,13.41
Mancor,2025-11-08,-,-,-,-,-,-
Maria,2025-11-08,15.4,10.5,99,74,28.4,0
Marratxí,2025-11-08,16.9,11.4,95,72,14.3,12.19
Montuïri,2025-11-08,14.4,9.3,99,83,17.2,10.9
Muro,2025-11-08,16.8,11.2,99,70,2.6,10.9
Palma,2025-11-08,16.2,12.8,95,76,28.4,24.31
Petra,2025-11-08,15.9,10.7,96,68,22.2,6.6
Pollença,2025-11-08,16.6,13.5,68,52,41.8,20.32
Porreres,2025-11-08,15.2,11.1,96,74,19.4,9.7
Sa Pobla,2025-11-08,17.8,11.4,95,66,15,11.94
Puigpunyent,2025-11-08,15.1,11,90,78,29.6,51
Ses   Salines,2025-11-08,15.2,11.8,90,79,27.8,7.62
Sant   Joan,2025-11-08,15.8,11.4,72,16,14.2,6.6
Sant   Llorenç,2025-11-08,15,10,99,0,6,13.72
Sencelles,2025-11-08,12.8,10.7,96,83,9.7,6.1
Santa   Eugènia,2025-11-08,16.1,9,99,91,5.5,13.97
Santa   Margalida,2025-11-08,16.6,11.6,94,66,23,11
Santa   Maria,2025-11-08,-,-,-,-,-,-
Santanyi,2025-11-08,15.3,12.1,99,88,9.7,10.9
Selva,2025-11-08,-,-,-,-,-,-
Sineu,2025-11-08,15.5,9.7,99,84,9.3,11.91
Sóller,2025-11-08,16.6,12.7,94,72,37,24.41
Son   Servera,2025-11-08,,,,,,
Valldemossa,2025-11-08,14.3,11.1,95,70,29.6,25.6
Villafranca,2025-11-08,,,,,0,6.4
