Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-10-05,19.9,15.5,81,59,0,0
Alcúdia,2025-10-05,21.8,19.2,88,53,19.1,0
Algaida,2025-10-05,20.2,15.5,93,57,28.8,0
Andratx,2025-10-05,22.4,16.8,88,54,24.5,0
Ariany,2025-10-05,-,-,-,-,-,-
Artà,2025-10-05,20.2,17.2,94,59,42.6,0
Banyalbufar,2025-10-05,21.9,15.8,92,60,15.8,0
Binissalem,2025-10-05,20.4,13.8,91,60,19.5,0
Búger,2025-10-05,21.1,15.5,93,55,18.3,0
Bunyola,2025-10-05,20.4,14.4,86,58,32.8,0
Calvià,2025-10-05,20.9,15.9,92,58,30.9,0
Campanet,2025-10-05,-,-,-,-,-,-
Campos,2025-10-05,22.1,16.4,94,57,45.1,0
Capdepera,2025-10-05,21.5,19.1,87,54,16.6,0
Consell,2025-10-05,-,-,-,-,-,-
Costitx,2025-10-05,19.9,13.2,99,65,15.4,0
Deià,2025-10-05,24.2,16.9,79,39,10.4,0
Escorca,2025-10-05,17,10.3,94,78,6.8,0
Esporles,2025-10-05,19.8,14.1,95,67,21.6,0
Estellencs,2025-10-05,-,-,-,-,-,-
Felanitx,2025-10-05,21.7,17.1,92,58,40.7,0
Fornalutx,2025-10-05,21.8,15.5,74,43,15.8,0
Inca,2025-10-05,21.3,16.7,89,58,10.1,0
Lloret,2025-10-05,20,14.6,95,64,7.6,0
Lloseta,2025-10-05,20.8,15.5,91,62,34.6,0
Llubí,2025-10-05,20.6,15.1,92,54,16.9,0
Llucmajor,2025-10-05,20.7,16.2,95,61,32.8,0
Manacor,2025-10-05,20.7,16.3,95,55,10.8,0
Mancor,2025-10-05,-,-,-,-,-,-
Maria,2025-10-05,20.5,16.5,96,62,25.6,0
Marratxí,2025-10-05,21.5,15.8,90,55,26.6,0
Montuïri,2025-10-05,20.8,12.7,99,66,18.7,0
Muro,2025-10-05,21,16.9,97,63,0.3,0
Palma,2025-10-05,21.6,18.1,88,58,32,0
Petra,2025-10-05,20.8,14.8,94,53,17.5,0
Pollença,2025-10-05,20.5,17.6,69,44,32.2,0
Porreres,2025-10-05,21.2,15.7,92,56,24.8,0
Sa Pobla,2025-10-05,22.4,17.7,90,53,12.6,0
Puigpunyent,2025-10-05,20.5,13.5,88,63,24.1,0
Ses   Salines,2025-10-05,22.3,16.6,93,61,40.7,0
Sant   Joan,2025-10-05,21.2,16,72,35,22.7,0
Sant   Llorenç,2025-10-05,21.9,15.7,95,57,9.5,0
Sencelles,2025-10-05,20.1,16.1,92,61,37,0
Santa   Eugènia,2025-10-05,22.2,13.2,97,54,8.9,0
Santa   Margalida,2025-10-05,20.5,17.1,90,57,26.3,0
Santa   Maria,2025-10-05,-,-,-,-,-,-
Santanyi,2025-10-05,22.9,17.4,99,59,16.9,0
Selva,2025-10-05,21,16.7,89,60,10.8,0
Sineu,2025-10-05,20.4,14.2,99,67,13,0
Sóller,2025-10-05,22.6,15.9,78,45,50.1,0
Son   Servera,2025-10-05,,,,,,
Valldemossa,2025-10-05,20.9,13.7,87,54,27.8,0
Villafranca,2025-10-05,,,,,0,0
