Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-10-04,26.2,17.3,86,57,0,0
Alcúdia,2025-10-04,28,17.2,95,57,16.9,0
Algaida,2025-10-04,25.9,18.9,95,55,20.2,0
Andratx,2025-10-04,26.8,19.2,92,60,11.9,0
Ariany,2025-10-04,-,-,-,-,-,-
Artà,2025-10-04,30.1,15.8,100,52,31.5,0
Banyalbufar,2025-10-04,27.3,18.2,96,42,11.1,0
Binissalem,2025-10-04,27.7,15.6,97,57,6.1,0
Búger,2025-10-04,29.2,16.1,94,52,17.9,0
Bunyola,2025-10-04,27.7,16.8,95,55,14.3,0
Calvià,2025-10-04,27.2,18.5,94,55,17.9,0
Campanet,2025-10-04,-,-,-,-,-,-
Campos,2025-10-04,26.8,17.2,97,59,38.9,0
Capdepera,2025-10-04,28.6,20.1,91,52,19.5,0
Consell,2025-10-04,-,-,-,-,-,-
Costitx,2025-10-04,28.2,17.9,99,55,10.8,0
Deià,2025-10-04,27.4,19.6,83,33,14,0
Escorca,2025-10-04,28.6,12.1,96,55,7.9,0
Esporles,2025-10-04,28.4,16.4,98,58,12.2,0
Estellencs,2025-10-04,-,-,-,-,-,-
Felanitx,2025-10-04,27.2,18.5,93,58,37,0
Fornalutx,2025-10-04,27.7,18.7,90,44,14.3,0
Inca,2025-10-04,27.7,18.1,88,58,14,0
Lloret,2025-10-04,27.8,18.6,97,54,7.2,0
Lloseta,2025-10-04,26.2,16,94,62,36,0
Llubí,2025-10-04,28.3,17.1,97,50,14.4,0.2
Llucmajor,2025-10-04,26.8,18.8,97,58,19.8,0
Manacor,2025-10-04,27.6,17.7,97,52,18.7,0
Mancor,2025-10-04,-,-,-,-,-,-
Maria,2025-10-04,28.6,18.5,98,52,17.6,0
Marratxí,2025-10-04,26.6,19,93,57,18.3,0
Montuïri,2025-10-04,27.6,16.6,99,57,25.6,0
Muro,2025-10-04,28.2,18.1,98,58,0,0
Palma,2025-10-04,26.6,20,91,64,9,0
Petra,2025-10-04,28.8,18.1,96,46,15.8,2.29
Pollença,2025-10-04,26.3,17.9,69,47,22.5,0
Porreres,2025-10-04,27.3,18.5,94,52,19.1,0
Sa Pobla,2025-10-04,29.1,17.6,93,53,15.4,0
Puigpunyent,2025-10-04,26.7,16.8,90,63,20.9,0.2
Ses   Salines,2025-10-04,25.2,18.5,94,69,33.8,0
Sant   Joan,2025-10-04,26.9,19.2,69,17,14.5,0
Sant   Llorenç,2025-10-04,30.5,16.7,97,51,5.6,0
Sencelles,2025-10-04,25.8,18.3,94,62,33.8,0
Santa   Eugènia,2025-10-04,28.1,16.5,99,54,19.8,0
Santa   Margalida,2025-10-04,28.7,18.3,94,49,14.4,0
Santa   Maria,2025-10-04,-,-,-,-,-,-
Santanyi,2025-10-04,29,17.9,99,58,4.7,0
Selva,2025-10-04,27.6,18,89,54,9.7,21.84
Sineu,2025-10-04,28.5,17.5,99,59,14.8,0
Sóller,2025-10-04,27.3,18.3,89,48,18.5,0
Son   Servera,2025-10-04,,,,,,
Valldemossa,2025-10-04,25.3,17.4,92,59,19.3,0
Villafranca,2025-10-04,,,,,0,0
