Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-08-21,-,-,-,-,-,-
Alcúdia,2025-08-21,30.1,21.8,86,41,32,0.3
Algaida,2025-08-21,29.6,20.3,90,35,26.3,0
Andratx,2025-08-21,29.1,20.3,85,38,18.7,0.51
Ariany,2025-08-21,-,-,-,-,-,-
Artà,2025-08-21,30.2,20.2,92,45,31.5,0
Banyalbufar,2025-08-21,28.3,18.5,99,47,13,3.81
Binissalem,2025-08-21,31.9,19.8,93,33,15.1,0
Búger,2025-08-21,33.7,20.6,89,28,20.4,0
Bunyola,2025-08-21,30.2,18.4,93,35,22.7,0
Calvià,2025-08-21,27.9,19.6,89,36,33.5,0
Campanet,2025-08-21,-,-,-,-,-,-
Campos,2025-08-21,32.7,22.5,87,35,38.9,8.99
Capdepera,2025-08-21,29.6,22,85,49,23,0
Consell,2025-08-21,-,-,-,-,-,-
Costitx,2025-08-21,32.6,20,93,33,13.7,0
Deià,2025-08-21,29.8,21.6,77,37,16.2,0
Escorca,2025-08-21,24.3,15.7,89,44,20.5,0
Esporles,2025-08-21,26.8,18.8,96,55,27,3.3
Estellencs,2025-08-21,-,-,-,-,-,-
Felanitx,2025-08-21,32.8,21.5,88,39,35.2,0
Fornalutx,2025-08-21,27.8,20.5,83,42,19.2,0
Inca,2025-08-21,32.8,21.4,86,32,14.8,0.51
Lloret,2025-08-21,32.3,20.4,90,34,7.9,0
Lloseta,2025-08-21,30.4,20,91,33,40.3,0
Llubí,2025-08-21,32.9,20.9,85,28,18,0
Llucmajor,2025-08-21,31.4,21.5,89,37,20.2,0
Manacor,2025-08-21,32.9,21.1,87,33,16.2,0
Mancor,2025-08-21,-,-,-,-,-,-
Maria,2025-08-21,-,-,-,-,-,-
Marratxí,2025-08-21,31.3,20.6,91,33,17.5,0.25
Montuïri,2025-08-21,31.4,19.8,99,38,31.4,0
Muro,2025-08-21,31.8,21.1,90,35,0,0
Palma,2025-08-21,31.8,22.6,82,41,26.3,0
Petra,2025-08-21,34.2,20.9,88,27,19.8,0
Pollença,2025-08-21,27.8,19.5,72,30,38.9,2.59
Porreres,2025-08-21,32,21.2,87,33,18,0
Sa Pobla,2025-08-21,34.1,21.6,88,28,15.8,0
Puigpunyent,2025-08-21,28.2,18.5,90,42,33.8,3.4
Ses   Salines,2025-08-21,30.4,22.2,89,41,31.5,0
Sant   Joan,2025-08-21,30.8,21.4,66,33,17.5,0
Sant   Llorenç,2025-08-21,33.6,21.9,84,40,8.9,0
Sencelles,2025-08-21,31,20.9,88,35,27.8,0
Santa   Eugènia,2025-08-21,33.6,19.9,94,30,239.8,0
Santa   Margalida,2025-08-21,32.8,21.4,84,31,15.5,0
Santa   Maria,2025-08-21,-,-,-,-,-,-
Santanyi,2025-08-21,33.7,22.5,93,36,6.4,0
Selva,2025-08-21,31,20.5,87,28,17.9,0
Sineu,2025-08-21,34,19.6,95,36,16.3,0
Sóller,2025-08-21,29.1,21.6,78,40,31.5,0
Son   Servera,2025-08-21,,,,,,
Valldemossa,2025-08-21,26.4,19.7,84,41,31.5,0
Villafranca,2025-08-21,,,,,0,0
