Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-06-08,27.4,18.9,76,49,0,0
Alcúdia,2025-06-08,26.6,21.7,89,56,18,0
Algaida,2025-06-08,27,18.4,97,56,31.3,0
Andratx,2025-06-08,30.7,19.8,82,48,20.9,0
Ariany,2025-06-08,-,-,-,-,-,-
Artà,2025-06-08,27.2,16.6,100,60,35.4,0
Banyalbufar,2025-06-08,27,18.1,93,66,17.2,0
Binissalem,2025-06-08,28,18.1,95,54,18,0
Búger,2025-06-08,27.2,18.1,93,53,21.9,0
Bunyola,2025-06-08,30.8,17.3,85,43,25.6,2.03
Calvià,2025-06-08,29.1,18.2,89,46,24,0
Campanet,2025-06-08,-,-,-,-,-,-
Campos,2025-06-08,-,-,-,-,-,-
Capdepera,2025-06-08,26.5,20.5,96,62,15.4,0
Consell,2025-06-08,17.2,17.2,51,51,3.9,0
Costitx,2025-06-08,29.2,19,99,55,13,0
Deià,2025-06-08,28,19.8,87,58,13,0
Escorca,2025-06-08,24.6,11,94,64,18.4,0
Esporles,2025-06-08,30.2,16.8,89,56,17.2,0
Estellencs,2025-06-08,28.2,18.4,86,59,18.5,0
Felanitx,2025-06-08,27.6,18.7,71,71,25.9,0
Fornalutx,2025-06-08,27.8,18.6,80,54,14.3,0
Inca,2025-06-08,30.1,21.1,91,50,13,0
Lloret,2025-06-08,26.7,18.3,98,63,7.2,0
Lloseta,2025-06-08,26.7,19,95,57,31.7,0
Llubí,2025-06-08,27.9,19.9,93,51,17.6,0
Llucmajor,2025-06-08,29,19.2,97,53,27.4,0
Manacor,2025-06-08,29.4,18.9,97,48,18,0
Mancor,2025-06-08,-,-,-,-,-,-
Maria,2025-06-08,25.7,19.5,99,64,25.2,0
Marratxí,2025-06-08,29.8,20,95,48,24.8,0
Montuïri,2025-06-08,27.6,17.3,99,63,28,0
Muro,2025-06-08,25.9,20.4,99,64,0,0
Palma,2025-06-08,30.4,20.3,93,53,23.8,0
Petra,2025-06-08,28.4,19,96,51,16.4,0
Pollença,2025-06-08,24.2,19.6,71,48,32.2,0
Porreres,2025-06-08,30.2,19.5,95,45,18.4,0
Sa Pobla,2025-06-08,28.8,21,92,50,12.9,0
Puigpunyent,2025-06-08,29.7,15.9,82,52,18.5,0
Ses   Salines,2025-06-08,27.5,18.8,95,57,35.4,0
Sant   Joan,2025-06-08,26.2,20.7,70,11,21.7,0
Sant   Llorenç,2025-06-08,30,18.6,94,51,1,0
Sencelles,2025-06-08,27.1,19.5,94,58,32.2,0
Santa   Eugènia,2025-06-08,32.4,17.5,98,44,9,0
Santa   Margalida,2025-06-08,26.3,20,94,59,25.2,0
Santa   Maria,2025-06-08,-,-,-,-,-,-
Santanyi,2025-06-08,28.2,18.5,99,64,19.8,0
Selva,2025-06-08,-,-,-,-,-,-
Sineu,2025-06-08,28.3,17.7,99,62,13.4,0
Sóller,2025-06-08,27.2,18.9,90,58,22.5,0
Son   Servera,2025-06-08,26.5,20.4,93,55,21.6,0
Valldemossa,2025-06-08,25.8,17.6,91,45,22.5,0
Villafranca,2025-06-08,,,,,19.5,0
