Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-11-15,19.7,18.4,80,73,0,0
Alcúdia,2025-11-15,22.6,16.1,93,65,28.8,0
Algaida,2025-11-15,20.8,16.9,91,71,30.6,0
Andratx,2025-11-15,22.3,18.7,84,67,15.1,0
Ariany,2025-11-15,-,-,-,-,-,-
Artà,2025-11-15,-,-,-,-,-,-
Banyalbufar,2025-11-15,22,17.2,86,58,24.8,0
Binissalem,2025-11-15,22.6,14.4,96,65,6.9,0
Búger,2025-11-15,23,15,95,69,25.4,0
Bunyola,2025-11-15,23.1,15.1,95,57,17.2,0
Calvià,2025-11-15,23.8,17.5,92,60,17.2,0
Campanet,2025-11-15,-,-,-,-,-,-
Campos,2025-11-15,-,-,-,-,-,-
Capdepera,2025-11-15,23.2,18,86,65,25.6,0
Consell,2025-11-15,-,-,-,-,-,-
Costitx,2025-11-15,22,14.6,99,77,12.2,0.2
Deià,2025-11-15,23,18,74,52,30.2,0
Escorca,2025-11-15,13,13,83,83,0,0
Esporles,2025-11-15,22.4,16.8,96,63,17.2,0
Estellencs,2025-11-15,-,-,-,-,-,-
Felanitx,2025-11-15,-,-,-,-,-,-
Fornalutx,2025-11-15,22.2,15.5,84,43,28.8,0
Inca,2025-11-15,22.1,17.2,92,67,15.4,0
Lloret,2025-11-15,22,15.9,95,74,17.2,0
Lloseta,2025-11-15,21.3,16.2,94,66,36.7,0
Llubí,2025-11-15,22.3,14.8,96,68,15.1,2.31
Llucmajor,2025-11-15,21.5,15.5,97,75,29.5,0
Manacor,2025-11-15,21.9,17.8,87,61,25.6,0
Mancor,2025-11-15,-,-,-,-,-,-
Maria,2025-11-15,21.8,16,96,70,22.7,0
Marratxí,2025-11-15,22.5,16.1,91,67,24,0
Montuïri,2025-11-15,21.7,15.5,99,78,29.5,0
Muro,2025-11-15,22,16,98,73,0.3,0
Palma,2025-11-15,22.7,18.4,89,72,11.9,0
Petra,2025-11-15,22.5,16.4,92,65,15.4,0
Pollença,2025-11-15,21.8,16.8,67,49,33.8,0
Porreres,2025-11-15,21.6,17,90,69,21.2,0
Sa Pobla,2025-11-15,22.7,16.4,93,68,15,0
Puigpunyent,2025-11-15,-,-,-,-,-,-
Ses   Salines,2025-11-15,21.7,18.2,85,74,40.7,0
Sant   Joan,2025-11-15,21.3,17,71,35,19,0
Sant   Llorenç,2025-11-15,,,0,0,3.9,0
Sencelles,2025-11-15,-,-,-,-,-,-
Santa   Eugènia,2025-11-15,22.5,12.6,99,72,17.4,0
Santa   Margalida,2025-11-15,22,16.4,92,67,22.3,0
Santa   Maria,2025-11-15,-,-,-,-,-,-
Santanyi,2025-11-15,23.7,18.2,91,72,10.5,0
Selva,2025-11-15,-,-,-,-,-,-
Sineu,2025-11-15,22,15,99,82,19.5,0.51
Sóller,2025-11-15,-,-,-,-,-,-
Son   Servera,2025-11-15,,,,,,
Valldemossa,2025-11-15,-,-,-,-,-,-
Villafranca,2025-11-15,,,,,0,0
