Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-01-28,13.4,8.6,70.1,0,16
Alcúdia,2026-01-28,15.3,9.2,71.9,44.6,8.71
Algaida,2026-01-28,12.7,7.8,82.7,37.4,37.31
Andratx,2026-01-28,14,9.4,74.3,38.2,16.69
Ariany,2026-01-28,NaN,NaN,NaN,NaN,NaN
Artà,2026-01-28,13.8,8.3,81.9,45.1,11.71
Banyalbufar,2026-01-28,,,,21.9,34.8
Binissalem,2026-01-28,13.3,8.4,79.8,27,4.57
Búger,2026-01-28,14.6,9.1,77.9,32.3,10.16
Bunyola,2026-01-28,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-01-28,NaN,NaN,NaN,NaN,NaN
Calvià,2026-01-28,13.4,8.7,78.6,27.7,20.83
Campanet,2026-01-28,NaN,NaN,NaN,NaN,NaN
Campos,2026-01-28,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-01-28,14.7,9,76.6,49.7,9.19
Consell,2026-01-28,13.5,7.9,83.4,27,23.62
Costitx,2026-01-28,12.5,6.5,89.7,19.5,20.9
Deià,2026-01-28,13.4,8.2,75.8,32.4,13.69
Escorca,2026-01-28,7.5,3.3,92.1,32.4,17.3
Esporles,2026-01-28,13.1,7.9,84.5,31.4,2.79
Estellencs,2026-01-28,14,7.4,76.2,25.2,29.79
Felanitx,2026-01-28,14.2,8,83.7,28.3,20.57
Fornalutx,2026-01-28,12.1,6.6,83.8,17.2,10.69
Inca,2026-01-28,13.9,8.3,79.8,23.8,9.91
Lloret de Vistalegre,2026-01-28,13.3,7.4,86.5,5.8,0
Lloseta,2026-01-28,14,8,77,63.7,11
Llubí,2026-01-28,14,8,78.8,22.3,11.2
Llucmajor,2026-01-28,13.3,7.9,85.2,37.8,32.99
Manacor,2026-01-28,14.1,7.1,81.5,30.6,16
Mancor,2026-01-28,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-01-28,13.3,7.1,88.8,25.6,0
Marratxí,2026-01-28,13.6,8.3,80.2,30.6,23.88
Montuïri,2026-01-28,13.4,8.2,87.6,37,28.7
Muro,2026-01-28,NaN,NaN,NaN,NaN,NaN
Palma,2026-01-28,14.2,8.9,80,32.4,24.41
Petra,2026-01-28,14.2,8.5,79.4,22.2,15.49
Pollença,2026-01-28,14,8,55.8,40.2,9.4
Porreres,2026-01-28,13.7,8.4,79.9,28.1,29.21
Sa Pobla,2026-01-28,14,8.9,76.7,24.1,11.51
Puigpunyent,2026-01-28,11,6.7,85.8,25.4,21.84
Ses Salines,2026-01-28,14.6,6.6,80.4,16.6,7.9
Sant Joan,2026-01-28,14,8.6,62.1,28.3,13.72
Sant Llorenç des Cardassar,2026-01-28,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-01-28,13.8,8.4,82,24.1,19.56
Santa Eugènia,2026-01-28,13.6,8.4,82.4,21.1,22.35
Santa Margalida,2026-01-28,13.9,8.3,79.5,29.2,10.59
Santa María del Camí,2026-01-28,13.8,8.2,76,47.2,18.29
Santanyí,2026-01-28,14.8,7.7,84.8,18,6.81
Selva,2026-01-28,NaN,NaN,NaN,NaN,NaN
Sineu,2026-01-28,12.5,7.6,86.5,19.8,15.7
Sóller,2026-01-28,14.7,8.4,75.3,37.1,12.19
Son Servera,2026-01-28,14.6,7.4,76.6,35.6,12.19
Valldemossa,2026-01-28,10.9,5.9,84.8,33.5,25.91
Vilafranca de Bonany,2026-01-28,13.7,7.5,84.2,37.4,15.49
