Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-08-27,32.8,26.1,68.3,0,0
Alcúdia,2026-08-27,34.8,27,69.4,23,0
Algaida,2026-08-27,32.8,24.9,74.6,24.5,0
Andratx,2026-08-27,32.2,26.9,72.2,13.7,0
Ariany,2026-08-27,NaN,NaN,NaN,NaN,NaN
Artà,2026-08-27,,,,15.4,0
Banyalbufar,2026-08-27,36.5,26.2,59.1,39.3,0
Binissalem,2026-08-27,34.1,25.3,76.6,7.9,1.52
Búger,2026-08-27,35.9,26.7,71.7,18.7,0
Bunyola,2026-08-27,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-08-27,NaN,NaN,NaN,NaN,NaN
Calvià,2026-08-27,NaN,NaN,NaN,NaN,NaN
Campanet,2026-08-27,NaN,NaN,NaN,NaN,NaN
Campos,2026-08-27,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-08-27,34.4,26.1,72.1,20.9,0
Consell,2026-08-27,32.7,25.1,78.7,22.4,0.25
Costitx,2026-08-27,35.1,24,78.9,11.9,0.79
Deià,2026-08-27,35.4,27.4,49.5,25.6,0
Escorca,2026-08-27,32,21.6,52.7,14,0
Esporles,2026-08-27,30.1,25.7,91.8,13.7,0
Estellencs,2026-08-27,35.1,27.3,58.1,22.3,0
Felanitx,2026-08-27,33.6,25.2,77.8,19.3,0.25
Fornalutx,2026-08-27,34,25.2,57.4,13,0
Inca,2026-08-27,33.4,26.4,75.4,21.9,0
Lloret de Vistalegre,2026-08-27,34.6,24.8,76.2,9.7,0
Lloseta,2026-08-27,32.6,25.8,77,34.2,0
Llubí,2026-08-27,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-08-27,,,,0,0
Manacor,2026-08-27,33.9,25.9,71.5,20.5,0
Mancor,2026-08-27,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-08-27,34.5,24.6,73.9,20.5,0
Marratxí,2026-08-27,32.6,26,78.1,16.4,0
Montuïri,2026-08-27,33.8,24.1,82.5,15.1,1.09
Muro,2026-08-27,NaN,NaN,NaN,NaN,NaN
Palma,2026-08-27,32.8,27.7,79.3,19.4,0
Petra,2026-08-27,35.2,24.9,72.6,15.4,0.76
Pollença,2026-08-27,34.7,26.3,50.6,27.4,0
Porreres,2026-08-27,32.9,25.6,75.4,21.6,0.2
Sa Pobla,2026-08-27,35.6,26.8,69.6,14.3,0
Puigpunyent,2026-08-27,32.7,23.6,78.5,25.9,0
Ses Salines,2026-08-27,33.3,26,77.4,0,0
Sant Joan,2026-08-27,33.2,25.3,52.8,14.8,0.51
Sant Llorenç des Cardassar,2026-08-27,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-08-27,33.3,25.4,78.7,18,0
Santa Eugènia,2026-08-27,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-08-27,35.7,25.2,69.9,18,0.3
Santa María del Camí,2026-08-27,31.8,25.9,75.4,20.2,0
Santanyí,2026-08-27,NaN,NaN,NaN,NaN,NaN
Selva,2026-08-27,NaN,NaN,NaN,NaN,NaN
Sineu,2026-08-27,NaN,NaN,NaN,NaN,NaN
Sóller,2026-08-27,34.4,28,61.8,31.3,0
Son Servera,2026-08-27,33.8,25.5,70.4,20.2,0.3
Valldemossa,2026-08-27,34.7,23.7,72.1,37.1,0
Vilafranca de Bonany,2026-08-27,33,24.2,79.7,26.6,0.51
