Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-08-07,-,-,-,-,-,-
Alcúdia,2025-08-07,33.4,20.9,78,44,13,0
Algaida,2025-08-07,35.5,21.9,83,30,18,0
Andratx,2025-08-07,34.9,23.8,53,26,10.8,0
Ariany,2025-08-07,-,-,-,-,-,-
Artà,2025-08-07,33,17.8,94,46,27.8,0
Banyalbufar,2025-08-07,30.4,22.8,81,52,6.4,0
Binissalem,2025-08-07,37.7,19.4,77,29,9.7,0
Búger,2025-08-07,39.4,19,76,23,27.7,0
Bunyola,2025-08-07,36.4,21.6,62,25,14.8,0
Calvià,2025-08-07,33.1,23.1,62,24,15.8,0
Campanet,2025-08-07,-,-,-,-,-,-
Campos,2025-08-07,34.9,20.7,92,34,32.2,0
Capdepera,2025-08-07,29.9,22.6,91,56,21.9,0
Consell,2025-08-07,-,-,-,-,-,-
Costitx,2025-08-07,38.2,19.6,91,29,12.2,0
Deià,2025-08-07,31.8,24.5,65,40,11.2,0
Escorca,2025-08-07,32.5,14.3,77,31,13.7,0
Esporles,2025-08-07,32,20.2,69,38,11.9,0
Estellencs,2025-08-07,-,-,-,-,-,-
Felanitx,2025-08-07,31.9,21.1,91,37,27.8,0
Fornalutx,2025-08-07,31.4,23.2,67,34,14.8,0
Inca,2025-08-07,37.1,23,81,32,15.4,0
Lloret,2025-08-07,36,20.2,90,32,6.4,0
Lloseta,2025-08-07,36.3,21.1,73,30,33.8,0
Llubí,2025-08-07,37.7,19.5,82,26,11.9,0
Llucmajor,2025-08-07,34.3,21.9,73,35,20.2,0
Manacor,2025-08-07,32.1,19.7,94,44,18.7,0
Mancor,2025-08-07,-,-,-,-,-,-
Maria,2025-08-07,-,-,-,-,-,-
Marratxí,2025-08-07,35.4,23,73,28,17.2,0
Montuïri,2025-08-07,35.6,17.3,92,35,20.1,0
Muro,2025-08-07,36.5,22.3,87,38,0,0
Palma,2025-08-07,33.1,23.8,72,40,11.2,0
Petra,2025-08-07,35.1,19.7,92,30,15.4,0
Pollença,2025-08-07,32.6,21.5,53,25,27.8,0
Porreres,2025-08-07,34.6,20.8,84,30,19.4,0
Sa Pobla,2025-08-07,38.6,22,73,30,12.2,0
Puigpunyent,2025-08-07,-,-,-,-,-,-
Ses   Salines,2025-08-07,30.9,21.6,91,48,27.8,0
Sant   Joan,2025-08-07,34.2,21.1,69,33,13.4,0
Sant   Llorenç,2025-08-07,34.5,20,89,41,6,0
Sencelles,2025-08-07,34.8,20.4,81,34,22.2,0
Santa   Eugènia,2025-08-07,38.6,17.5,83,28,13.7,0
Santa   Margalida,2025-08-07,35.5,21.8,85,36,18,0
Santa   Maria,2025-08-07,-,-,-,-,-,-
Santanyi,2025-08-07,32.5,22.5,96,48,6.1,0
Selva,2025-08-07,36.5,22.9,65,23,7.9,0
Sineu,2025-08-07,37.6,20.7,97,33,11.9,0
Sóller,2025-08-07,32.1,22.2,71,36,18.5,0
Son   Servera,2025-08-07,,,,,,
Valldemossa,2025-08-07,32,21.8,64,30,20.9,0
Villafranca,2025-08-07,,,,,0,0
