Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-08-23,-,-,-,-,-,-
Alcúdia,2025-08-23,30.7,20.7,87,53,12.2,0
Algaida,2025-08-23,30.2,20.4,90,52,25.6,0
Andratx,2025-08-23,31,22.8,83,53,12.2,0
Ariany,2025-08-23,-,-,-,-,-,-
Artà,2025-08-23,29.6,18.4,100,66,27.8,2.39
Banyalbufar,2025-08-23,29,21.7,91,70,10.8,0
Binissalem,2025-08-23,32.8,18.9,94,47,10.8,0
Búger,2025-08-23,33.5,19.7,89,38,16.1,0
Bunyola,2025-08-23,32.3,20.6,93,48,19.8,0
Calvià,2025-08-23,29.8,21.6,90,56,16.9,0
Campanet,2025-08-23,-,-,-,-,-,-
Campos,2025-08-23,30.8,20.9,94,56,42.6,0
Capdepera,2025-08-23,28.1,21.7,94,67,19.5,0.3
Consell,2025-08-23,-,-,-,-,-,-
Costitx,2025-08-23,32.8,19.9,97,51,9.7,0
Deià,2025-08-23,29.8,22.6,79,57,14.4,0
Escorca,2025-08-23,26.6,14.5,93,56,9,0
Esporles,2025-08-23,28.9,20.8,93,66,16.9,0
Estellencs,2025-08-23,-,-,-,-,-,-
Felanitx,2025-08-23,28.9,20.8,95,60,32.2,0.51
Fornalutx,2025-08-23,29.8,21.3,83,53,14,0
Inca,2025-08-23,32.4,22.2,84,48,12.2,0
Lloret,2025-08-23,29.9,20.2,95,56,6.9,0
Lloseta,2025-08-23,30.8,19.8,93,50,30.2,0
Llubí,2025-08-23,33.2,19.8,88,42,13.7,0
Llucmajor,2025-08-23,29.7,21.4,89,57,22.3,0
Manacor,2025-08-23,29.7,20.2,95,57,25.2,0
Mancor,2025-08-23,-,-,-,-,-,-
Maria,2025-08-23,-,-,-,-,-,-
Marratxí,2025-08-23,30.9,22,87,52,17.5,0
Montuïri,2025-08-23,30.3,18.5,99,58,24.8,0
Muro,2025-08-23,30.4,21.3,91,55,0,0
Palma,2025-08-23,31.3,23.1,84,61,13,0
Petra,2025-08-23,32.9,20.3,93,40,17.2,1.52
Pollença,2025-08-23,27.9,20.7,65,47,24.1,0
Porreres,2025-08-23,30,20.5,91,50,24.5,0
Sa Pobla,2025-08-23,34,21.7,83,38,13.2,0
Puigpunyent,2025-08-23,29.7,20.3,90,62,19.3,0
Ses   Salines,2025-08-23,28.6,23.8,85,70,31.5,0
Sant   Joan,2025-08-23,29.1,20.9,68,40,16.9,0
Sant   Llorenç,2025-08-23,32.7,20,94,51,6,55.63
Sencelles,2025-08-23,30.2,20.8,87,53,27.8,0
Santa   Eugènia,2025-08-23,33.3,18.1,92,45,19,0
Santa   Margalida,2025-08-23,31.8,21.8,91,45,17.3,9.09
Santa   Maria,2025-08-23,-,-,-,-,-,-
Santanyi,2025-08-23,32.8,21.5,94,59,2.9,0
Selva,2025-08-23,32.4,20.7,85,38,11.1,0
Sineu,2025-08-23,32.4,19.2,99,51,10.5,0
Sóller,2025-08-23,29.7,21.7,83,54,20.9,0
Son   Servera,2025-08-23,,,,,,
Valldemossa,2025-08-23,26.5,19.7,87,54,20.9,0
Villafranca,2025-08-23,,,,,0,10.69
