Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-10-06,22.6,14.7,76,54,0,0
Alcúdia,2025-10-06,23.3,15.9,84,52,17.3,0
Algaida,2025-10-06,23.5,14.8,83,52,18,0
Andratx,2025-10-06,24.1,16.1,79,51,12.2,0
Ariany,2025-10-06,-,-,-,-,-,-
Artà,2025-10-06,23.4,13.4,92,56,29.6,0
Banyalbufar,2025-10-06,22.9,15.7,89,64,6.1,0
Binissalem,2025-10-06,25,12.4,92,52,13,0
Búger,2025-10-06,23.7,14.5,89,53,15.4,0
Bunyola,2025-10-06,25.1,13.5,88,47,14.8,0
Calvià,2025-10-06,24.1,14.5,86,53,11.4,0
Campanet,2025-10-06,-,-,-,-,-,-
Campos,2025-10-06,24.5,14.3,87,54,29.6,0
Capdepera,2025-10-06,22.2,17.9,76,54,19.8,0
Consell,2025-10-06,-,-,-,-,-,-
Costitx,2025-10-06,25.3,12.7,94,51,11.6,0
Deià,2025-10-06,24.1,16.5,77,52,10.4,0
Escorca,2025-10-06,17.9,10.2,95,69,13,0
Esporles,2025-10-06,23.8,13.3,92,61,10.8,0
Estellencs,2025-10-06,-,-,-,-,-,-
Felanitx,2025-10-06,24.7,16,83,51,27.8,0
Fornalutx,2025-10-06,23.2,15.2,81,50,14.3,0
Inca,2025-10-06,26.2,16.3,89,49,9.3,0.2
Lloret,2025-10-06,23.2,14.1,90,57,5,0
Lloseta,2025-10-06,23.5,14.3,87,54,23.8,0
Llubí,2025-10-06,25.1,13.9,86,47,14,0
Llucmajor,2025-10-06,23.8,15,86,54,21.2,0
Manacor,2025-10-06,23.5,14.2,87,51,13,0
Mancor,2025-10-06,-,-,-,-,-,-
Maria,2025-10-06,21.5,14.7,99,61,16.6,0.51
Marratxí,2025-10-06,27,15,85,43,16.9,0
Montuïri,2025-10-06,24.1,11.3,97,59,18,0
Muro,2025-10-06,22.5,15.5,93,62,0,0.51
Palma,2025-10-06,25,16.3,79,54,13.3,0
Petra,2025-10-06,23.6,13.8,87,49,15.4,0
Pollença,2025-10-06,20.4,15.4,67,47,27.8,0.2
Porreres,2025-10-06,24.5,14.4,86,48,15.8,0
Sa Pobla,2025-10-06,24.9,16.7,85,50,12.2,0
Puigpunyent,2025-10-06,23.1,11.9,88,62,19.3,0
Ses   Salines,2025-10-06,23.1,15.4,84,58,24.1,0
Sant   Joan,2025-10-06,21.9,15.3,71,58,14.6,0
Sant   Llorenç,2025-10-06,25.8,14.7,85,49,7.2,0
Sencelles,2025-10-06,24,14.7,87,54,22.5,0
Santa   Eugènia,2025-10-06,26.9,11.2,96,44,7.9,0
Santa   Margalida,2025-10-06,22,16.5,82,57,11.2,0.3
Santa   Maria,2025-10-06,-,-,-,-,-,-
Santanyi,2025-10-06,25.5,14.8,89,54,9.7,0
Selva,2025-10-06,16.1,15.6,83,80,3.9,0
Sineu,2025-10-06,24.7,13.5,96,59,9.3,0
Sóller,2025-10-06,23.8,15.3,84,53,16.7,0
Son   Servera,2025-10-06,,,,,,
Valldemossa,2025-10-06,20.9,13.2,87,59,20.9,0
Villafranca,2025-10-06,,,,,0,0
