Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-05-10,22.7,12.5,90,57,0,0
Alcúdia,2025-05-10,22.7,13.8,96,65,13.3,0.2
Algaida,2025-05-10,21.4,13.2,98,59,23,0
Andratx,2025-05-10,24.5,16.1,82,47,20.5,0
Ariany,2025-05-10,-,-,-,-,-,-
Artà,2025-05-10,21.1,11.7,100,77,27.8,0.2
Banyalbufar,2025-05-10,23.8,13.2,95,60,16.6,0
Binissalem,2025-05-10,23.4,12,97,57,14.8,0.25
Búger,2025-05-10,24.1,13.7,94,56,16.4,0
Bunyola,2025-05-10,24.7,11.3,97,47,23,0
Calvià,2025-05-10,23,13.9,92,50,24.5,0
Campanet,2025-05-10,-,-,-,-,-,-
Campos,2025-05-10,-,-,-,-,-,-
Capdepera,2025-05-10,20.7,15.7,96,78,16.3,0.51
Consell,2025-05-10,-,-,-,-,-,-
Costitx,2025-05-10,22.9,12.4,99,69,10.1,0
Deià,2025-05-10,23.9,14.7,86,52,15.1,0
Escorca,2025-05-10,17.6,5.3,98,61,18.7,6.4
Esporles,2025-05-10,22.9,11.7,98,62,26.2,0
Estellencs,2025-05-10,23.8,14.5,84,52,27.8,11.99
Felanitx,2025-05-10,21.1,14.1,95,72,35.4,1.4
Fornalutx,2025-05-10,23,12.8,84,46,19.8,0
Inca,2025-05-10,23.9,14.3,92,59,20.9,8.1
Lloret,2025-05-10,21.4,12.8,99,70,5.8,0
Lloseta,2025-05-10,22.2,12.6,97,61,24.8,0.71
Llubí,2025-05-10,23.4,12.8,97,57,9.7,0.79
Llucmajor,2025-05-10,21.7,14.1,97,64,27.4,0.51
Manacor,2025-05-10,20.6,13.1,98,74,17.3,0.51
Mancor,2025-05-10,-,-,-,-,-,-
Maria,2025-05-10,21.1,13.8,99,67,23.8,0
Marratxí,2025-05-10,24.8,14.4,93,50,19.3,0.25
Montuïri,2025-05-10,20.7,10.4,99,76,27.7,0.3
Muro,2025-05-10,22.4,14.3,99,68,0,0
Palma,2025-05-10,24.3,15.2,90,55,19.4,0
Petra,2025-05-10,21.6,13,98,69,21.9,85.6
Pollença,2025-05-10,20.5,13.9,75,54,32.2,0
Porreres,2025-05-10,22.8,12.8,97,57,19.4,0.71
Sa Pobla,2025-05-10,25.3,14.9,94,54,11.1,0
Puigpunyent,2025-05-10,23.6,12.2,91,59,24.1,0
Ses   Salines,2025-05-10,20.6,14.5,96,74,33.8,0
Sant   Joan,2025-05-10,20.3,13.2,70,11,17.4,0.25
Sant   Llorenç,2025-05-10,22.2,12.3,99,73,9.5,0
Sencelles,2025-05-10,22.4,13.9,93,63,25.9,0
Santa   Eugènia,2025-05-10,25.5,10.8,99,51,15.4,0.25
Santa   Margalida,2025-05-10,22.9,14.2,97,59,17.3,0
Santa   Maria,2025-05-10,-,-,-,-,-,-
Santanyi,2025-05-10,21.6,15,99,76,9.3,0
Selva,2025-05-10,24.4,13,92,52,10,13.46
Sineu,2025-05-10,23.2,12.3,99,71,8.7,0
Sóller,2025-05-10,23.4,13.6,87,52,40.7,0
Son   Servera,2025-05-10,-,-,-,-,-,-
Valldemossa,2025-05-10,20.2,11.5,92,60,55.5,0.2
Villafranca,2025-05-10,,,,,20.9,0.3
