Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-07-18,39,24.9,54.8,0,0
Alcúdia,2026-07-18,36,26.4,78.6,23.4,0
Algaida,2026-07-18,39.5,23.5,69.6,24.8,0
Andratx,2026-07-18,38.1,25.3,66,20.5,0
Ariany,2026-07-18,NaN,NaN,NaN,NaN,NaN
Artà,2026-07-18,33.6,23.4,82.7,19.8,0
Banyalbufar,2026-07-18,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-07-18,40.8,23.2,68.9,17.7,0
Búger,2026-07-18,41.7,23.8,74,18.3,0
Bunyola,2026-07-18,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-07-18,NaN,NaN,NaN,NaN,NaN
Calvià,2026-07-18,NaN,NaN,NaN,NaN,NaN
Campanet,2026-07-18,NaN,NaN,NaN,NaN,NaN
Campos,2026-07-18,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-07-18,33,25.6,85.2,22.4,0
Consell,2026-07-18,39.3,23.7,70.5,21.9,0
Costitx,2026-07-18,40.5,23.9,75.2,11.6,0
Deià,2026-07-18,40.4,25.6,72.8,17.6,0
Escorca,2026-07-18,35.4,19.6,54,15.5,0
Esporles,2026-07-18,36.6,24.9,76.3,30.9,18.54
Estellencs,2026-07-18,38.2,25,76.3,16.9,0
Felanitx,2026-07-18,37.7,25.4,71.3,24,0
Fornalutx,2026-07-18,38.6,22.3,68,15.4,0
Inca,2026-07-18,40.6,25.4,68.9,13.4,0
Lloret de Vistalegre,2026-07-18,38.7,24,76.9,6.1,0
Lloseta,2026-07-18,38.9,23.8,70.4,35.6,0
Llubí,2026-07-18,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-07-18,,,,19.4,0
Manacor,2026-07-18,34.3,24.1,79.2,20.9,0
Mancor,2026-07-18,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-07-18,35.8,23.7,79.9,23.8,0
Marratxí,2026-07-18,38.7,24.4,71.1,19.8,0
Montuïri,2026-07-18,37.5,23.3,77.9,14.8,0
Muro,2026-07-18,NaN,NaN,NaN,NaN,NaN
Palma,2026-07-18,36.1,26.1,80.7,15.5,0
Petra,2026-07-18,38.7,24.6,72,16.4,0
Pollença,2026-07-18,35.4,25.5,58.9,16.1,0
Porreres,2026-07-18,37,24.7,69.4,17.3,0
Sa Pobla,2026-07-18,38.8,25,73,0,0
Puigpunyent,2026-07-18,35.7,25.4,59.6,17.2,0
Ses Salines,2026-07-18,36.5,24.6,77.1,5,0
Sant Joan,2026-07-18,35.9,24.7,45.5,15.8,0
Sant Llorenç des Cardassar,2026-07-18,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-07-18,40.9,24.2,72.5,15.8,0
Santa Eugènia,2026-07-18,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-07-18,37.9,25.2,75,17.6,0
Santa María del Camí,2026-07-18,37.8,23.3,66.3,27.7,0
Santanyí,2026-07-18,,,,7.9,0
Selva,2026-07-18,39.5,24.7,66,12.6,0
Sineu,2026-07-18,NaN,NaN,NaN,NaN,NaN
Sóller,2026-07-18,39.1,26.5,74.7,46.4,0
Son Servera,2026-07-18,31.9,25.6,82,19.8,0
Valldemossa,2026-07-18,35,23.3,67.3,23.8,0
Vilafranca de Bonany,2026-07-18,36.4,24.1,77.9,20.5,0
