Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-06-22,34.8,21.8,48,26,0,0
Alcúdia,2025-06-22,33.4,21.5,78,36,17.3,0
Algaida,2025-06-22,34.2,21.9,73,31,21.2,0
Andratx,2025-06-22,34.3,22.7,64,30,11.5,0
Ariany,2025-06-22,-,-,-,-,-,-
Artà,2025-06-22,35.2,16.9,85,33,22.5,0
Banyalbufar,2025-06-22,30.8,22.6,83,45,6.4,0
Binissalem,2025-06-22,37.9,19.1,67,28,9.3,0
Búger,2025-06-22,38.2,19.3,73,21,15.4,0
Bunyola,2025-06-22,36.1,21.1,58,24,15.4,0
Calvià,2025-06-22,31.9,21.8,68,27,22.5,0
Campanet,2025-06-22,-,-,-,-,-,-
Campos,2025-06-22,33.9,33.9,47,47,9.3,0
Capdepera,2025-06-22,32.5,22.5,87,35,19.5,0
Consell,2025-06-22,17.2,17.2,51,51,3.9,0
Costitx,2025-06-22,37.5,20.6,82,28,8.7,0
Deià,2025-06-22,31.4,25,72,38,9.7,0
Escorca,2025-06-22,31.2,13.8,76,32,17.3,0
Esporles,2025-06-22,35.2,19.8,85,35,15.1,0
Estellencs,2025-06-22,-,-,-,-,-,-
Felanitx,2025-06-22,32.1,29,78,35,22.5,0
Fornalutx,2025-06-22,31.1,23.2,78,34,13.7,0
Inca,2025-06-22,38.5,27.8,60,29,14.8,0
Lloret,2025-06-22,37.6,21.2,83,30,6.4,0
Lloseta,2025-06-22,35,20.6,63,31,37.1,0
Llubí,2025-06-22,37.3,20.1,71,24,12.2,0
Llucmajor,2025-06-22,33.2,21.8,83,38,18.7,0
Manacor,2025-06-22,33.7,20.3,94,31,17.3,0
Mancor,2025-06-22,-,-,-,-,-,-
Maria,2025-06-22,34.8,21.1,84,30,22,0
Marratxí,2025-06-22,34.2,21.5,83,28,16.9,0
Montuïri,2025-06-22,35.9,17.1,79,35,15.1,0
Muro,2025-06-22,35.5,21.7,73,30,0,0
Palma,2025-06-22,32,23.6,73,38,13,0
Petra,2025-06-22,36.8,20.9,78,25,13.7,0
Pollença,2025-06-22,33.1,21.6,60,18,27.8,0
Porreres,2025-06-22,35.4,21.6,88,30,18.4,0
Sa Pobla,2025-06-22,38.4,22.2,73,23,12.2,0
Puigpunyent,2025-06-22,34.9,18.4,69,28,19.3,0
Ses   Salines,2025-06-22,31.5,22.3,94,46,27.8,0
Sant   Joan,2025-06-22,34.3,21.7,70,30,14.5,0
Sant   Llorenç,2025-06-22,36.3,19.7,85,33,7.9,0
Sencelles,2025-06-22,34.6,21,84,36,27.8,0
Santa   Eugènia,2025-06-22,37.2,17.5,78,31,16.6,0
Santa   Margalida,2025-06-22,36.2,21.5,79,28,21.2,0
Santa   Maria,2025-06-22,-,-,-,-,-,-
Santanyi,2025-06-22,33.8,22.1,99,55,1.4,0
Selva,2025-06-22,36,22.4,59,23,11.4,0
Sineu,2025-06-22,38.3,19.6,81,30,14.3,0
Sóller,2025-06-22,31.4,21.6,76,36,20.4,0
Son   Servera,2025-06-22,,,,,14.3,0
Valldemossa,2025-06-22,31.3,22,76,30,19.3,0
Villafranca,2025-06-22,,,,,17.2,0
