Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-09-12,28.1,18.8,57.6,0,0
Alcúdia,2026-09-12,29,17.8,66.9,15.8,0
Algaida,2026-09-12,28.3,18.8,61,16.9,0
Andratx,2026-09-12,29.4,19.9,59.1,15.1,0
Ariany,2026-09-12,NaN,NaN,NaN,NaN,NaN
Artà,2026-09-12,29.1,16.7,72.5,16.9,0
Banyalbufar,2026-09-12,27.8,19.4,77.1,8.7,0
Binissalem,2026-09-12,28.9,15.8,70.8,14.3,0
Búger,2026-09-12,30.9,17.3,68.8,23.3,0
Bunyola,2026-09-12,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-09-12,NaN,NaN,NaN,NaN,NaN
Calvià,2026-09-12,NaN,NaN,NaN,NaN,NaN
Campanet,2026-09-12,NaN,NaN,NaN,NaN,NaN
Campos,2026-09-12,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-09-12,28.2,20.8,62.6,14.3,0
Consell,2026-09-12,28.7,15.9,70.7,20.6,0
Costitx,2026-09-12,30.6,16.5,70.9,12.2,0
Deià,2026-09-12,29,20.5,63.8,9.7,0
Escorca,2026-09-12,25.1,11.6,78.2,4,0.3
Esporles,2026-09-12,27.8,18.8,71.2,16.9,0
Estellencs,2026-09-12,28.5,19.7,63.1,12.2,0
Felanitx,2026-09-12,29.2,19.6,62.3,21.9,0
Fornalutx,2026-09-12,28.3,19.1,66.9,14.8,0
Inca,2026-09-12,31,20.2,61.1,11.9,0
Lloret de Vistalegre,2026-09-12,28.3,17.4,69.6,6.4,0
Lloseta,2026-09-12,28,17.9,63.9,29.5,0
Llubí,2026-09-12,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-09-12,,,,16.9,0
Manacor,2026-09-12,30.2,16.8,65.2,7.9,0
Mancor,2026-09-12,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-09-12,27.5,19.4,66.3,20.2,0
Marratxí,2026-09-12,30.7,20.1,59.8,19.3,0
Montuïri,2026-09-12,28.1,15,77.4,14.3,0
Muro,2026-09-12,NaN,NaN,NaN,NaN,NaN
Palma,2026-09-12,30.4,20.7,64.5,10.1,0
Petra,2026-09-12,29.9,17,65.3,15.4,0
Pollença,2026-09-12,25.9,20.1,48.7,25.7,0
Porreres,2026-09-12,29.8,18,61.9,14.8,0
Sa Pobla,2026-09-12,28.3,18,66.3,13,0
Puigpunyent,2026-09-12,27.9,19.4,65.5,14,0
Ses Salines,2026-09-12,30.9,18.6,60.4,0,0
Sant Joan,2026-09-12,27.4,18.9,61.5,16.3,0
Sant Llorenç des Cardassar,2026-09-12,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-09-12,30.1,16.6,68.3,13,0
Santa Eugènia,2026-09-12,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-09-12,28.3,19.6,63.4,23,0
Santa María del Camí,2026-09-12,29.1,17.5,64.4,22.3,0
Santanyí,2026-09-12,NaN,NaN,NaN,NaN,NaN
Selva,2026-09-12,NaN,NaN,NaN,NaN,NaN
Sineu,2026-09-12,NaN,NaN,NaN,NaN,NaN
Sóller,2026-09-12,29.1,18.7,69.4,18,0
Son Servera,2026-09-12,29,19.3,59,19.4,0
Valldemossa,2026-09-12,24.7,19.2,69.2,8.6,0
Vilafranca de Bonany,2026-09-12,28.2,18.2,65.8,20.2,0
