Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-05-14,21.2,13.7,90,60,0,2.54
Alcúdia,2025-05-14,21.3,15,94,70,11.5,1.8
Algaida,2025-05-14,20,13.7,97,62,20.5,2.59
Andratx,2025-05-14,23.6,15.6,86,51,13.7,3.99
Ariany,2025-05-14,-,-,-,-,-,-
Artà,2025-05-14,19.3,12.6,100,80,25.9,6.81
Banyalbufar,2025-05-14,21.4,14.1,97,72,12.2,7.59
Binissalem,2025-05-14,21.6,13.3,97,66,22.4,3.56
Búger,2025-05-14,20.6,13.7,95,69,14.3,0.25
Bunyola,2025-05-14,23.3,12.9,97,50,20.6,0
Calvià,2025-05-14,22.5,14.7,91,48,21.9,2.79
Campanet,2025-05-14,-,-,-,-,-,-
Campos,2025-05-14,-,-,-,-,-,-
Capdepera,2025-05-14,20,15.4,97,80,16.3,11.99
Consell,2025-05-14,17.2,17.2,51,51,3.9,0
Costitx,2025-05-14,19.3,13.5,99,80,7.2,14.5
Deià,2025-05-14,21.5,15.3,86,60,18.7,5.59
Escorca,2025-05-14,16.5,6.1,97,64,11.2,3.1
Esporles,2025-05-14,21.9,13.6,98,62,18.3,1.02
Estellencs,2025-05-14,21.3,14.7,86,61,24.1,0.79
Felanitx,2025-05-14,20.3,14.8,94,73,32.2,12.4
Fornalutx,2025-05-14,21.4,13,94,52,16.9,14.81
Inca,2025-05-14,21.9,14.9,96,64,13,3.1
Lloret,2025-05-14,19.8,13.6,99,72,4.3,0
Lloseta,2025-05-14,20.5,13.4,97,67,23.4,8.51
Llubí,2025-05-14,20.3,13.7,96,72,11.2,17.3
Llucmajor,2025-05-14,20.5,14.6,98,65,20.5,9.09
Manacor,2025-05-14,20.5,14.1,98,72,22.3,7.9
Mancor,2025-05-14,-,-,-,-,-,-
Maria,2025-05-14,19.7,13.8,99,70,24.5,1.6
Marratxí,2025-05-14,23.2,14.6,94,57,20.8,5.08
Montuïri,2025-05-14,20.4,12.5,99,73,16.6,3.3
Muro,2025-05-14,20.4,14.6,99,75,0,1.3
Palma,2025-05-14,22.9,16.3,94,56,20.2,4.29
Petra,2025-05-14,21.6,13.3,97,60,13.2,4.57
Pollença,2025-05-14,19.3,14.1,73,53,25.9,0.99
Porreres,2025-05-14,22.2,14.2,95,56,19.4,2.31
Sa Pobla,2025-05-14,21.9,15.2,93,64,10.8,0.25
Puigpunyent,2025-05-14,22.8,14.1,89,58,0,0.61
Ses   Salines,2025-05-14,20.2,15.2,96,75,31.5,7.62
Sant   Joan,2025-05-14,19.9,14.4,71,16,15.4,2.03
Sant   Llorenç,2025-05-14,21.4,14,97,74,7.1,8.38
Sencelles,2025-05-14,19.5,13.7,95,75,31.5,20.83
Santa   Eugènia,2025-05-14,23.8,13.6,99,62,9.3,69.85
Santa   Margalida,2025-05-14,21,14.4,95,65,13,12.7
Santa   Maria,2025-05-14,-,-,-,-,-,-
Santanyi,2025-05-14,20.9,15,99,77,7.9,5.59
Selva,2025-05-14,-,-,-,-,-,-
Sineu,2025-05-14,20.2,12.8,99,80,5.5,22.1
Sóller,2025-05-14,23.3,13.8,92,52,31.5,0.79
Son   Servera,2025-05-14,19.7,15.5,94,80,15.4,12.95
Valldemossa,2025-05-14,20.3,11.9,96,58,25.9,1.19
Villafranca,2025-05-14,,,,,19.5,4.09
