Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-06-22,38,24.4,26.2,0,0
Alcúdia,2026-06-22,35.5,21.1,55.4,14.4,0
Algaida,2026-06-22,38.1,24,36.6,24.8,0
Andratx,2026-06-22,37.2,25.3,35.4,10.8,0
Ariany,2026-06-22,NaN,NaN,NaN,NaN,NaN
Artà,2026-06-22,35.6,20.5,46.1,17.7,0
Banyalbufar,2026-06-22,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-06-22,40.4,20.5,39.8,10.8,0
Búger,2026-06-22,41.4,21.1,42.8,16.1,0
Bunyola,2026-06-22,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-06-22,NaN,NaN,NaN,NaN,NaN
Calvià,2026-06-22,NaN,NaN,NaN,NaN,NaN
Campanet,2026-06-22,NaN,NaN,NaN,NaN,NaN
Campos,2026-06-22,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-06-22,33.8,23.6,44.6,15.1,0
Consell,2026-06-22,38.9,20.4,37.8,18.3,0
Costitx,2026-06-22,40.4,21.5,41.5,11.1,0
Deià,2026-06-22,35.7,26.5,36.5,10.1,0
Escorca,2026-06-22,33.8,15.5,50.1,12.6,0
Esporles,2026-06-22,37.9,21.9,47.3,16.6,0
Estellencs,2026-06-22,33.8,22.8,44.8,10.8,0
Felanitx,2026-06-22,37,22.6,42,20.4,0
Fornalutx,2026-06-22,33.8,25.3,37.6,0,0
Inca,2026-06-22,40.5,25.8,38.1,13.7,0
Lloret de Vistalegre,2026-06-22,37.8,22.1,43.5,6.1,0
Lloseta,2026-06-22,38.9,23.4,37.8,34.2,0
Llubí,2026-06-22,40,20.9,40.2,10.4,0
Llucmajor,2026-06-22,,,,19.8,0
Manacor,2026-06-22,35.6,21.1,48.1,21.2,0
Mancor,2026-06-22,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-06-22,36.5,24.5,41.6,22.7,0
Marratxí,2026-06-22,37.6,26.2,33.9,17.2,0
Montuïri,2026-06-22,37.6,17.8,49.2,18.3,0
Muro,2026-06-22,NaN,NaN,NaN,NaN,NaN
Palma,2026-06-22,37.1,26.2,41.3,11.5,0
Petra,2026-06-22,38.6,20.5,42.8,15.4,0
Pollença,2026-06-22,34.7,23.6,36.8,16.1,0
Porreres,2026-06-22,NaN,NaN,NaN,NaN,NaN
Sa Pobla,2026-06-22,38.8,21.9,45.3,7.9,0
Puigpunyent,2026-06-22,NaN,NaN,NaN,NaN,NaN
Ses Salines,2026-06-22,36.6,22,43.2,8.6,0
Sant Joan,2026-06-22,36.4,22.7,40.8,12.7,0
Sant Llorenç des Cardassar,2026-06-22,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-06-22,40.7,21.8,40.4,15.1,0
Santa Eugènia,2026-06-22,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-06-22,38.7,24.5,41.7,19.1,0
Santa María del Camí,2026-06-22,37.6,22.6,37.7,22,0
Santanyí,2026-06-22,,,,7.9,0
Selva,2026-06-22,38.5,25.1,33.3,11.7,0
Sineu,2026-06-22,NaN,NaN,NaN,NaN,NaN
Sóller,2026-06-22,34.1,22.9,47.8,20.5,0
Son Servera,2026-06-22,32.8,23.3,43.2,13,0
Valldemossa,2026-06-22,33.5,25.6,33.4,9.4,0
Vilafranca de Bonany,2026-06-22,36.4,23.8,41.9,19.8,0
