Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-01-19,14.2,10.1,80.6,0,34.8
Alcúdia,2026-01-19,14.1,11.4,89.6,29.9,36.8
Algaida,2026-01-19,12.5,9.4,95.7,31.7,23.09
Andratx,2026-01-19,14,9.5,85.8,31.3,46.71
Ariany,2026-01-19,NaN,NaN,NaN,NaN,NaN
Artà,2026-01-19,12.7,10.1,98.2,23.8,29.21
Banyalbufar,2026-01-19,,,,21.2,37.31
Binissalem,2026-01-19,15.2,9.1,90.6,20.6,20.07
Búger,2026-01-19,14.1,8.9,94,21.9,34.29
Bunyola,2026-01-19,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-01-19,NaN,NaN,NaN,NaN,NaN
Calvià,2026-01-19,13.6,9.6,87.2,44.9,33.53
Campanet,2026-01-19,NaN,NaN,NaN,NaN,NaN
Campos,2026-01-19,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-01-19,14,11,92.7,19.8,14.71
Consell,2026-01-19,14.8,8.7,94.5,14.8,31.5
Costitx,2026-01-19,13.1,9.4,98.8,13.4,32
Deià,2026-01-19,12.3,9.6,89.8,16.9,75.69
Escorca,2026-01-19,7.9,3.4,96.6,25.9,128.8
Esporles,2026-01-19,13.2,8.4,95,30.3,10.92
Estellencs,2026-01-19,12.7,8.9,90.3,27,45.69
Felanitx,2026-01-19,14.2,9.7,95.9,37.3,27.94
Fornalutx,2026-01-19,11.4,8.2,95.6,21.9,132.59
Inca,2026-01-19,14,10.2,94.4,9.3,32.51
Lloret de Vistalegre,2026-01-19,12.5,9.7,97,4,0
Lloseta,2026-01-19,13.3,9.7,91.2,43.9,41.1
Llubí,2026-01-19,13.7,9.2,94.5,16.6,33.3
Llucmajor,2026-01-19,12.9,10.3,94.6,42.5,21.11
Manacor,2026-01-19,13.8,10.6,92.5,19.8,25.4
Mancor,2026-01-19,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-01-19,12.4,9.9,97.9,38.2,0
Marratxí,2026-01-19,15.3,9.5,87.6,21.1,19.56
Montuïri,2026-01-19,13,8.9,98.8,30.3,20.8
Muro,2026-01-19,NaN,NaN,NaN,NaN,NaN
Palma,2026-01-19,15.2,11.3,86.1,34.6,18.11
Petra,2026-01-19,13.8,9.5,93.4,22.2,28.19
Pollença,2026-01-19,12.2,10,72.6,38.6,37.34
Porreres,2026-01-19,13.2,9.7,93.6,41.4,26.39
Sa Pobla,2026-01-19,13.7,10.5,91.1,23,36.3
Puigpunyent,2026-01-19,12.3,9.1,91.6,25.1,38.35
Ses Salines,2026-01-19,13,9.8,95.8,7.9,14.91
Sant Joan,2026-01-19,12.9,10.6,34.1,24,18.8
Sant Llorenç des Cardassar,2026-01-19,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-01-19,14.2,9.5,95.3,19.2,23.62
Santa Eugènia,2026-01-19,16.5,8.2,97.2,9.7,17.53
Santa Margalida,2026-01-19,13.2,10.5,92.9,34.6,31.29
Santa María del Camí,2026-01-19,14.3,9.1,85.7,34.9,22.1
Santanyí,2026-01-19,14.3,8.6,98.2,23.8,0.71
Selva,2026-01-19,NaN,NaN,NaN,NaN,NaN
Sineu,2026-01-19,13.3,8.6,99,10.5,46.2
Sóller,2026-01-19,13.1,8.5,94.7,39.2,75.21
Son Servera,2026-01-19,14.1,11.4,89.7,37.4,21.11
Valldemossa,2026-01-19,10.5,8.2,94.8,32,75.41
Vilafranca de Bonany,2026-01-19,13,9.8,95.8,30.2,25.4
