Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-12-17,17.4,11.3,80.8,0,0.25
Alcúdia,2025-12-17,18.4,11.1,89.9,9.7,5.79
Algaida,2025-12-17,17.3,10.9,91.9,16.2,0.99
Andratx,2025-12-17,19.5,11.2,77.5,14,0
Ariany,2025-12-17,NaN,NaN,NaN,NaN,NaN
Artà,2025-12-17,17.8,11.3,94.6,13,5.11
Banyalbufar,2025-12-17,16.6,11,90.4,10.5,0
Binissalem,2025-12-17,18.6,10.9,89.2,11.1,0
Búger,2025-12-17,20.3,10.9,92.5,14.6,0
Bunyola,2025-12-17,19.5,10,82.1,18.7,0
Cabrera,2025-12-17,NaN,NaN,NaN,NaN,NaN
Calvià,2025-12-17,19.3,11.2,82.3,15.4,0
Campanet,2025-12-17,NaN,NaN,NaN,NaN,NaN
Campos,2025-12-17,18.3,11.6,88.2,19.8,0
Capdepera,2025-12-17,18.2,12.9,89.8,10.5,1.8
Consell,2025-12-17,18.3,10.2,90.4,15.8,0
Costitx,2025-12-17,18.5,11,96.3,8.7,0.71
Deià,2025-12-17,18.2,13.1,69.3,19.8,0
Escorca,2025-12-17,11.7,3.3,91.1,10.1,0.3
Esporles,2025-12-17,18.2,9.6,90.6,13.7,0
Estellencs,2025-12-17,19.8,12.2,76.7,9.7,0
Felanitx,2025-12-17,17.3,12.1,92.1,17.5,0.76
Fornalutx,2025-12-17,17.4,11.5,73.5,12.2,0.3
Inca,2025-12-17,20.1,12.9,87.8,5.8,0
Lloret de Vistalegre,2025-12-17,17.7,10.6,94.4,5.5,0
Lloseta,2025-12-17,17.8,11.9,88.4,28.4,0
Llubí,2025-12-17,17.7,10.7,93.1,12.2,0.3
Llucmajor,2025-12-17,18.1,11.9,91.1,16.9,0
Manacor,2025-12-17,18.5,11.9,92.2,7.2,3.81
Mancor,2025-12-17,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2025-12-17,16.8,12.1,93.5,11.9,0
Marratxí,2025-12-17,19.4,12.3,84.7,21.9,0
Montuïri,2025-12-17,16.9,7.5,97.6,16.6,2.31
Muro,2025-12-17,18,11.8,95.9,0,0.2
Palma,2025-12-17,19.5,12.8,84,16.6,0
Petra,2025-12-17,18,9.1,92,10.8,2.79
Pollença,2025-12-17,16,12.4,71.3,16.1,0.76
Porreres,2025-12-17,18.9,11.3,89.5,16.9,0.2
Sa Pobla,2025-12-17,17.8,11.1,90.6,13,0.51
Puigpunyent,2025-12-17,16.8,11.2,88.6,15.4,0
Ses Salines,2025-12-17,19.5,11.9,89.2,7.9,0.2
Sant Joan,2025-12-17,16.9,12.3,45.7,13.8,2.79
Sant Llorenç des Cardassar,2025-12-17,18.9,10.4,91.4,3.2,3.81
Sencelles,2025-12-17,19.1,11.3,92.5,11.6,0
Santa Eugènia,2025-12-17,21,9.6,91.9,15.3,0
Santa Margalida,2025-12-17,19.2,12.1,91.1,18,1.8
Santa María del Camí,2025-12-17,17.9,11.4,82.6,19.4,0
Santanyí,2025-12-17,18.2,12.8,95.4,0,0
Selva,2025-12-17,19.3,11.3,88.2,8.9,0.25
Sineu,2025-12-17,NaN,NaN,NaN,NaN,NaN
Sóller,2025-12-17,18.9,10.4,77.9,15.5,0
Son Servera,2025-12-17,18.2,13.4,86.3,15.8,0.3
Valldemossa,2025-12-17,17.2,11.3,79.2,9.4,0
Vilafranca de Bonany,2025-12-17,17.8,11.9,92,14.8,6.3
