Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-03-14,16.2,5.7,79.1,0,13.97
Alcúdia,2026-03-14,17.1,7.1,85.4,33.1,5.59
Algaida,2026-03-14,15.7,5,91.2,29.2,9.4
Andratx,2026-03-14,16.2,8.5,80.6,22.7,12.5
Ariany,2026-03-14,NaN,NaN,NaN,NaN,NaN
Artà,2026-03-14,15.8,5.6,94.5,28.8,18.01
Banyalbufar,2026-03-14,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-03-14,17.8,5.3,89.7,12.6,5.08
Búger,2026-03-14,18.6,6.6,88.7,21.1,4.32
Bunyola,2026-03-14,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-03-14,NaN,NaN,NaN,NaN,NaN
Calvià,2026-03-14,NaN,NaN,NaN,NaN,NaN
Campanet,2026-03-14,NaN,NaN,NaN,NaN,NaN
Campos,2026-03-14,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-03-14,16.7,7.3,87.6,23.8,15.01
Consell,2026-03-14,16.8,5.5,90.8,24.5,6.86
Costitx,2026-03-14,16.1,5.1,97.3,14,8.61
Deià,2026-03-14,18,5.6,72.2,18.7,19.41
Escorca,2026-03-14,12.8,0.1,85.2,24.5,33.5
Esporles,2026-03-14,16.1,6.4,91.8,27.4,6.35
Estellencs,2026-03-14,18.2,7.7,71.9,26.3,13.41
Felanitx,2026-03-14,16,7.1,92.8,21.9,3.81
Fornalutx,2026-03-14,15.6,4.1,82.3,21.9,31.29
Inca,2026-03-14,17.5,6,88.3,15.4,3.81
Lloret de Vistalegre,2026-03-14,16.5,5.6,95.1,6.1,0
Lloseta,2026-03-14,16.8,5.4,88.2,38.5,6.91
Llubí,2026-03-14,17.1,6.7,89.2,15.1,6.3
Llucmajor,2026-03-14,,,,13.7,0
Manacor,2026-03-14,16.1,6.6,90.4,24.5,11.61
Mancor,2026-03-14,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-03-14,17.6,5.4,94.7,28.8,0
Marratxí,2026-03-14,16.5,6,87.9,26.2,3.81
Montuïri,2026-03-14,16.3,5.4,96.7,20.6,10.39
Muro,2026-03-14,NaN,NaN,NaN,NaN,NaN
Palma,2026-03-14,17.7,7.9,85.1,23.8,4.6
Petra,2026-03-14,16.9,6.6,89.8,18.3,7.37
Pollença,2026-03-14,15.9,5.3,64.7,37,23.88
Porreres,2026-03-14,16.7,6.1,89.2,27.7,6.91
Sa Pobla,2026-03-14,17.2,7,86.7,21.9,5.11
Puigpunyent,2026-03-14,14.1,5.1,89.3,17.5,16.26
Ses Salines,2026-03-14,16.5,6.8,91.1,7.2,4.6
Sant Joan,2026-03-14,16.2,6.8,53.9,19.3,5.33
Sant Llorenç des Cardassar,2026-03-14,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-03-14,17,5.9,92.5,16.9,8.13
Santa Eugènia,2026-03-14,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-03-14,17.5,6.5,88.1,26.3,7.29
Santa María del Camí,2026-03-14,16,5.5,85.9,23.8,3.61
Santanyí,2026-03-14,16.9,7.8,94.2,11.1,8.89
Selva,2026-03-14,NaN,NaN,NaN,NaN,NaN
Sineu,2026-03-14,NaN,NaN,NaN,NaN,NaN
Sóller,2026-03-14,18.1,5.8,76.4,41.4,22.1
Son Servera,2026-03-14,16.4,7.4,87.1,28.1,12.19
Valldemossa,2026-03-14,14.7,4.4,83.1,32.8,15.29
Vilafranca de Bonany,2026-03-14,16.6,5.8,93.7,26.6,7.39
