Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-02-18,18.7,10.1,72.6,0,0
Alcúdia,2026-02-18,20.1,10.7,82.1,23.8,0
Algaida,2026-02-18,17.1,11.9,85.8,24.5,0
Andratx,2026-02-18,18.2,11,79.8,22,0
Ariany,2026-02-18,NaN,NaN,NaN,NaN,NaN
Artà,2026-02-18,20.3,9.7,83.4,30.9,0
Banyalbufar,2026-02-18,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-02-18,19.2,7.8,87.7,15.4,0
Búger,2026-02-18,19.9,9.7,84.8,23,0
Bunyola,2026-02-18,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-02-18,NaN,NaN,NaN,NaN,NaN
Calvià,2026-02-18,1.5,1.5,15,10.8,0
Campanet,2026-02-18,NaN,NaN,NaN,NaN,NaN
Campos,2026-02-18,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-02-18,20.3,12.5,76.6,27.4,0
Consell,2026-02-18,17.7,8.3,89.8,24.5,0
Costitx,2026-02-18,18.4,10.2,92.2,11.9,0
Deià,2026-02-18,20.8,12.7,58.5,27,0
Escorca,2026-02-18,14.9,5.1,72.9,11.2,0
Esporles,2026-02-18,20.4,8.1,81.2,28.5,0
Estellencs,2026-02-18,20.6,12.2,60.1,28.1,0
Felanitx,2026-02-18,17.8,12.6,91.1,19.3,0
Fornalutx,2026-02-18,19.4,11.2,67.1,15.8,0
Inca,2026-02-18,18.6,11.5,85.3,21.2,0
Lloret de Vistalegre,2026-02-18,18.6,11.7,87.9,8.2,0
Lloseta,2026-02-18,17.8,11,85.9,40.3,0.3
Llubí,2026-02-18,19.3,10.2,84.1,16.9,0
Llucmajor,2026-02-18,17.6,9.7,89.8,22.3,0
Manacor,2026-02-18,18.4,10.7,86.8,26.3,0
Mancor,2026-02-18,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-02-18,18.5,11.1,85.4,22,0
Marratxí,2026-02-18,18.2,10.4,86.4,25.4,0
Montuïri,2026-02-18,18.4,8.6,90.7,32.8,0
Muro,2026-02-18,NaN,NaN,NaN,NaN,NaN
Palma,2026-02-18,18,11.4,84.4,11.9,0
Petra,2026-02-18,19.6,10,83.5,16.1,0
Pollença,2026-02-18,18.5,10.1,59.4,19.3,0
Porreres,2026-02-18,18.6,10.8,83.6,26.3,0
Sa Pobla,2026-02-18,20.4,10.4,81.3,23.8,0
Puigpunyent,2026-02-18,17.6,10.9,83.8,21.1,0
Ses Salines,2026-02-18,17.8,8.8,90.7,8.6,0
Sant Joan,2026-02-18,18.2,10.7,58.7,18.8,0.25
Sant Llorenç des Cardassar,2026-02-18,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-02-18,18.2,10.3,89.3,17.2,0
Santa Eugènia,2026-02-18,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-02-18,19.7,10.7,81.3,25.6,0
Santa María del Camí,2026-02-18,17.6,8.9,86.6,38.9,0
Santanyí,2026-02-18,19.6,9.6,92.9,4.3,1.8
Selva,2026-02-18,19.3,10.7,77.1,18.3,0
Sineu,2026-02-18,NaN,NaN,NaN,NaN,NaN
Sóller,2026-02-18,20.5,10.1,69.1,36,0
Son Servera,2026-02-18,19.8,12.4,79.4,25.6,0
Valldemossa,2026-02-18,17,10.5,69,32,0
Vilafranca de Bonany,2026-02-18,19,9.9,87,27.7,0
