Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-07-14,33.1,21.6,79,42,0,0
Alcúdia,2025-07-14,32,22.2,92,62,11.9,0
Algaida,2025-07-14,32.6,21.9,94,37,22.3,0
Andratx,2025-07-14,33.5,23,83,42,15.5,0
Ariany,2025-07-14,-,-,-,-,-,-
Artà,2025-07-14,32.4,19.7,99,52,22.5,0
Banyalbufar,2025-07-14,31.6,22,88,57,8.7,0
Binissalem,2025-07-14,33.7,20.2,95,45,16.3,0
Búger,2025-07-14,33,21,93,49,25.9,0
Bunyola,2025-07-14,35.3,20.6,91,37,22.4,0
Calvià,2025-07-14,31.8,20.9,92,38,18.3,0
Campanet,2025-07-14,-,-,-,-,-,-
Campos,2025-07-14,34,22.8,93,42,38.9,0
Capdepera,2025-07-14,30.9,23.2,95,61,14.3,0
Consell,2025-07-14,-,-,-,-,-,-
Costitx,2025-07-14,35.1,20.4,99,37,9,0
Deià,2025-07-14,32.6,23.5,82,49,12.2,0
Escorca,2025-07-14,29.5,13,92,39,20.2,0
Esporles,2025-07-14,34.8,20.8,94,47,19.2,0
Estellencs,2025-07-14,-,-,-,-,-,-
Felanitx,2025-07-14,30,22.7,93,52,38.9,0
Fornalutx,2025-07-14,32,21.6,87,41,14,0
Inca,2025-07-14,35.6,22.6,86,46,16.9,0
Lloret,2025-07-14,32.5,20.9,97,41,4.7,0
Lloseta,2025-07-14,33.3,20.9,94,43,26.6,0.1
Llubí,2025-07-14,35.2,21.6,92,39,12.2,0
Llucmajor,2025-07-14,32.6,21.8,94,37,20.9,0
Manacor,2025-07-14,33.8,21.2,96,42,20.5,0
Mancor,2025-07-14,-,-,-,-,-,-
Maria,2025-07-14,27.6,22,98,75,15.5,0
Marratxí,2025-07-14,35.9,22.5,90,31,17.5,0
Montuïri,2025-07-14,32.2,19.5,99,46,18.7,0
Muro,2025-07-14,32.1,22.8,94,54,0,0
Palma,2025-07-14,34.2,23.9,86,45,17.3,0
Petra,2025-07-14,34.5,20.9,96,35,15.4,0
Pollença,2025-07-14,29.3,21.7,70,47,22.5,0
Porreres,2025-07-14,34,21.6,92,36,16.2,0
Sa Pobla,2025-07-14,34.7,22.7,88,48,15,0
Puigpunyent,2025-07-14,34.4,19.8,89,41,24.1,0
Ses   Salines,2025-07-14,30.9,22.6,94,58,32.2,0
Sant   Joan,2025-07-14,31.9,21.9,68,12,16.4,0
Sant   Llorenç,2025-07-14,34.2,21.9,94,43,8.2,0
Sencelles,2025-07-14,34.1,21.5,91,39,20.9,0
Santa   Eugènia,2025-07-14,37.2,20.3,97,32,13.8,0
Santa   Margalida,2025-07-14,34.1,22.5,92,43,18.7,0
Santa   Maria,2025-07-14,-,-,-,-,-,-
Santanyi,2025-07-14,31.2,22.9,97,64,13,0
Selva,2025-07-14,33.2,21.5,89,42,10,0
Sineu,2025-07-14,34.5,20.6,99,47,9,0
Sóller,2025-07-14,32.7,21.4,84,50,29.6,0
Son   Servera,2025-07-14,,,,,,
Valldemossa,2025-07-14,30.8,20.4,86,42,25.9,0
Villafranca,2025-07-14,,,,,0,0
