Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-08-14,37.3,25.6,36.5,0,0
Alcúdia,2026-08-14,35.9,23.9,60.7,14.4,0
Algaida,2026-08-14,36.2,25.9,42.4,22,0
Andratx,2026-08-14,37,25.8,45.4,11.2,0
Ariany,2026-08-14,NaN,NaN,NaN,NaN,NaN
Artà,2026-08-14,35.6,22.3,58.7,18.7,0
Banyalbufar,2026-08-14,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-08-14,40,21.9,50.5,8.7,0
Búger,2026-08-14,41.1,22.4,49.1,17.9,0
Bunyola,2026-08-14,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-08-14,NaN,NaN,NaN,NaN,NaN
Calvià,2026-08-14,NaN,NaN,NaN,NaN,NaN
Campanet,2026-08-14,NaN,NaN,NaN,NaN,NaN
Campos,2026-08-14,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-08-14,33.8,26.1,55.2,16.6,0
Consell,2026-08-14,37.9,21.6,51.1,19.2,0
Costitx,2026-08-14,39.1,23.6,51.9,11.9,0
Deià,2026-08-14,35.1,27.1,52.9,9.4,0
Escorca,2026-08-14,33.7,18.6,56.5,12.6,0
Esporles,2026-08-14,36.2,23.3,57.8,18.3,0
Estellencs,2026-08-14,33.9,26.1,50.2,10.8,0
Felanitx,2026-08-14,37.2,27.3,42.4,19.8,0
Fornalutx,2026-08-14,34.9,25.7,49.2,15.8,0
Inca,2026-08-14,39.6,26.7,46.5,13.7,0
Lloret de Vistalegre,2026-08-14,39.3,23.6,51.8,8.2,0
Lloseta,2026-08-14,38.6,24.1,47.9,28.1,0
Llubí,2026-08-14,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-08-14,,,,17.3,0
Manacor,2026-08-14,35.3,22.5,60.4,19.1,0
Mancor,2026-08-14,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-08-14,37.9,25.6,48.8,23.4,0
Marratxí,2026-08-14,36.3,26,52.9,15.8,0
Montuïri,2026-08-14,37.9,20.8,56.6,12.6,0
Muro,2026-08-14,NaN,NaN,NaN,NaN,NaN
Palma,2026-08-14,34.4,27.3,60.5,12.2,0
Petra,2026-08-14,39.2,23.4,48.7,15.4,0
Pollença,2026-08-14,34.1,25.3,36.4,17.7,0
Porreres,2026-08-14,36.8,24.8,45.7,22,0
Sa Pobla,2026-08-14,37.8,24.6,51.7,10.8,0
Puigpunyent,2026-08-14,NaN,NaN,NaN,NaN,NaN
Ses Salines,2026-08-14,37.3,22.4,62.2,0,0
Sant Joan,2026-08-14,37.8,24.1,48.7,19.8,0
Sant Llorenç des Cardassar,2026-08-14,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-08-14,39.1,23.3,53.4,14.3,0
Santa Eugènia,2026-08-14,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-08-14,38.3,25.8,49.6,20.5,0
Santa María del Camí,2026-08-14,36,23.6,47.7,20.2,0
Santanyí,2026-08-14,NaN,NaN,NaN,NaN,NaN
Selva,2026-08-14,NaN,NaN,NaN,NaN,NaN
Sineu,2026-08-14,NaN,NaN,NaN,NaN,NaN
Sóller,2026-08-14,33.7,24.5,59.2,21.2,0
Son Servera,2026-08-14,33.6,25,54.6,17.3,0
Valldemossa,2026-08-14,32.8,26,51.8,9.4,0
Vilafranca de Bonany,2026-08-14,38.9,25.2,49.2,27,0
