Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-03-06,14.1,10.8,91.3,0,41.15
Alcúdia,2026-03-06,16.3,11.6,88.4,22.3,2.59
Algaida,2026-03-06,15,8.9,95.1,23,9.91
Andratx,2026-03-06,15.7,11.9,84.1,18,6.3
Ariany,2026-03-06,NaN,NaN,NaN,NaN,NaN
Artà,2026-03-06,14.6,9.8,97.6,23.8,5.79
Banyalbufar,2026-03-06,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-03-06,15.6,9.6,93.4,14.8,4.32
Búger,2026-03-06,17.6,9.9,91.8,16.4,1.02
Bunyola,2026-03-06,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-03-06,NaN,NaN,NaN,NaN,NaN
Calvià,2026-03-06,NaN,NaN,NaN,NaN,NaN
Campanet,2026-03-06,NaN,NaN,NaN,NaN,NaN
Campos,2026-03-06,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-03-06,14.8,10.8,92,23.8,1.5
Consell,2026-03-06,15.7,10,95.4,21.6,14.73
Costitx,2026-03-06,16.8,9.3,97.9,11.9,8.61
Deià,2026-03-06,13.5,10.7,87.6,20.5,57.2
Escorca,2026-03-06,9.4,6,96.1,6.1,27.2
Esporles,2026-03-06,12.9,10.8,96.4,23,2.03
Estellencs,2026-03-06,13.9,11.3,86.6,14,22.4
Felanitx,2026-03-06,15.8,9.9,93,29.1,4.57
Fornalutx,2026-03-06,13,9.3,89.9,21.2,35.79
Inca,2026-03-06,16.4,11.2,94.1,21.6,2.49
Lloret de Vistalegre,2026-03-06,15.7,9.1,95.9,6.1,0
Lloseta,2026-03-06,15,9.9,94.2,28.1,4.09
Llubí,2026-03-06,16.9,10.7,92.4,12.2,2.01
Llucmajor,2026-03-06,,,,23.4,6.91
Manacor,2026-03-06,14.5,9.7,95.4,28.1,5
Mancor,2026-03-06,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-03-06,14.7,10,95.9,24.1,0
Marratxí,2026-03-06,15.3,10.2,93.3,19,19.81
Montuïri,2026-03-06,15.6,8.4,97.8,15.8,10.21
Muro,2026-03-06,NaN,NaN,NaN,NaN,NaN
Palma,2026-03-06,16.4,11.7,90.4,18.7,5.59
Petra,2026-03-06,15,9.7,93.1,21.6,16.26
Pollença,2026-03-06,14.1,11.2,69.6,24.1,0.25
Porreres,2026-03-06,14.8,9.3,92.3,23.4,8.2
Sa Pobla,2026-03-06,16.9,11.3,89.9,14.8,1.3
Puigpunyent,2026-03-06,12.3,9.1,96.2,16.4,14.99
Ses Salines,2026-03-06,16.3,9,93.4,9.7,1.19
Sant Joan,2026-03-06,14.5,10.2,33.1,18.8,1.78
Sant Llorenç des Cardassar,2026-03-06,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-03-06,16.6,10.2,94.7,16.9,9.91
Santa Eugènia,2026-03-06,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-03-06,16.1,10.6,91.7,19.1,0.79
Santa María del Camí,2026-03-06,15.5,10.3,92.2,28.1,17.3
Santanyí,2026-03-06,16.4,10.4,94.2,1.4,1.5
Selva,2026-03-06,15.5,9.9,91.1,9.7,7.11
Sineu,2026-03-06,NaN,NaN,NaN,NaN,NaN
Sóller,2026-03-06,15.2,11.7,85.8,25.6,20.9
Son Servera,2026-03-06,15.2,10.4,91.9,22,3.91
Valldemossa,2026-03-06,11.7,8.7,94.4,29.5,42.39
Vilafranca de Bonany,2026-03-06,14.5,9.9,96,23.8,4.6
