Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-11-05,22.1,15,92,55,0,1.02
Alcúdia,2025-11-05,23.5,13.6,95,55,10.4,0.3
Algaida,2025-11-05,21.3,13.9,96,57,20.5,0.2
Andratx,2025-11-05,-,-,-,-,-,-
Ariany,2025-11-05,-,-,-,-,-,-
Artà,2025-11-05,22.1,11.2,100,62,22.2,0.2
Banyalbufar,2025-11-05,21.7,16,92,69,25.9,0
Binissalem,2025-11-05,22.9,13.1,96,52,12.2,0.25
Búger,2025-11-05,25.6,12.7,97,52,12.2,0
Bunyola,2025-11-05,23.8,14,97,51,19.5,1.27
Calvià,2025-11-05,22.7,15.8,94,58,17.2,0.25
Campanet,2025-11-05,-,-,-,-,-,-
Campos,2025-11-05,23.7,12.7,97,56,32.2,0
Capdepera,2025-11-05,22.7,14.8,97,58,15.1,0.3
Consell,2025-11-05,-,-,-,-,-,-
Costitx,2025-11-05,23.2,12.8,99,58,9.7,0.3
Deià,2025-11-05,23.5,16.2,90,46,19.1,0.99
Escorca,2025-11-05,16.9,11.3,98,73,11.5,4.29
Esporles,2025-11-05,22.4,13.8,99,63,20.6,0.51
Estellencs,2025-11-05,-,-,-,-,-,-
Felanitx,2025-11-05,20.6,14.2,93,60,29.6,0.2
Fornalutx,2025-11-05,22.5,15,88,45,20.6,0
Inca,2025-11-05,23.9,15.8,92,53,13.4,0
Lloret,2025-11-05,22.4,13.6,99,58,0,0
Lloseta,2025-11-05,22.9,15,94,56,18.7,0
Llubí,2025-11-05,24.3,12.7,98,47,7.2,0
Llucmajor,2025-11-05,22.3,14.8,94,56,18,0
Manacor,2025-11-05,21.9,13.6,99,59,15.5,0.71
Mancor,2025-11-05,-,-,-,-,-,-
Maria,2025-11-05,21.5,14.4,99,60,17.3,0.2
Marratxí,2025-11-05,24.4,15.8,91,53,15,0
Montuïri,2025-11-05,21.6,9.5,99,63,22.4,0
Muro,2025-11-05,23.7,14.4,98,55,0,0
Palma,2025-11-05,24,16.7,92,55,13.7,0
Petra,2025-11-05,23,12.1,97,48,12.9,0.25
Pollença,2025-11-05,20.9,14.6,72,45,20.9,0
Porreres,2025-11-05,23.6,13.5,97,51,11.5,0.3
Sa Pobla,2025-11-05,24.6,14.5,94,48,10,0
Puigpunyent,2025-11-05,22.8,13.2,91,60,18.5,0.61
Ses   Salines,2025-11-05,22,14.3,89,65,27.8,0
Sant   Joan,2025-11-05,21.8,12.6,71,13,11.7,0.25
Sant   Llorenç,2025-11-05,22.5,12.3,99,82,2.7,0.25
Sencelles,2025-11-05,22.7,13.4,93,55,19.3,0
Santa   Eugènia,2025-11-05,25.2,10.9,99,51,11.4,0
Santa   Margalida,2025-11-05,22.7,14,96,51,13.7,0.3
Santa   Maria,2025-11-05,-,-,-,-,-,-
Santanyi,2025-11-05,23.7,14.9,96,62,4,0
Selva,2025-11-05,-,-,-,-,-,-
Sineu,2025-11-05,23.4,12.7,99,64,6.9,0.2
Sóller,2025-11-05,23.2,16.1,91,52,37,0.25
Son   Servera,2025-11-05,,,,,,
Valldemossa,2025-11-05,19.6,14.9,94,62,42.6,1.4
Villafranca,2025-11-05,,,,,0,0
