Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-06-18,32,18.5,52.4,0,0
Alcúdia,2026-06-18,29.6,19.5,78.9,15.5,0
Algaida,2026-06-18,31.8,18.3,69,20.5,0
Andratx,2026-06-18,32.7,20,60.1,17.3,0
Ariany,2026-06-18,NaN,NaN,NaN,NaN,NaN
Artà,2026-06-18,28.9,17.6,79.6,19.5,0
Banyalbufar,2026-06-18,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-06-18,32.7,18.1,68.9,15.1,0
Búger,2026-06-18,31.1,17,75.4,20.1,0
Bunyola,2026-06-18,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-06-18,NaN,NaN,NaN,NaN,NaN
Calvià,2026-06-18,NaN,NaN,NaN,NaN,NaN
Campanet,2026-06-18,NaN,NaN,NaN,NaN,NaN
Campos,2026-06-18,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-06-18,28.5,20.6,80.6,11.9,0
Consell,2026-06-18,33,17.2,70.3,24.5,0
Costitx,2026-06-18,35.3,17.7,71.4,8.7,0
Deià,2026-06-18,31.6,20.2,63.6,9.7,0
Escorca,2026-06-18,27.7,10.9,52.8,10.1,0
Esporles,2026-06-18,33.8,18.2,65.8,20.9,0
Estellencs,2026-06-18,29,19.6,71.4,12.2,0
Felanitx,2026-06-18,29.2,19.4,76.4,28,0
Fornalutx,2026-06-18,30,19.1,59.3,0,0
Inca,2026-06-18,35.1,20,68.4,14.8,0
Lloret de Vistalegre,2026-06-18,31.8,17,73.8,6.1,0
Lloseta,2026-06-18,32.3,18,70.5,26.6,0.1
Llubí,2026-06-18,33.5,17.9,65.3,11.2,0
Llucmajor,2026-06-18,,,,22.3,0
Manacor,2026-06-18,30.1,18.6,75.3,19.4,0
Mancor,2026-06-18,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-06-18,31.1,17.9,76.4,19.4,0
Marratxí,2026-06-18,34.2,19.4,66.1,21.6,0
Montuïri,2026-06-18,31.1,16.9,77.7,30.3,0
Muro,2026-06-18,NaN,NaN,NaN,NaN,NaN
Palma,2026-06-18,32.8,20.7,73,13.3,0
Petra,2026-06-18,32.4,18.4,66.8,17.2,0
Pollença,2026-06-18,27.6,18.6,61,16.1,0
Porreres,2026-06-18,NaN,NaN,NaN,NaN,NaN
Sa Pobla,2026-06-18,29.8,18.4,75.3,7.6,0
Puigpunyent,2026-06-18,NaN,NaN,NaN,NaN,NaN
Ses Salines,2026-06-18,30.7,18.1,73.1,10.4,0
Sant Joan,2026-06-18,30.1,19.5,52.4,18.7,0
Sant Llorenç des Cardassar,2026-06-18,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-06-18,34.3,18.6,70.2,13.4,0
Santa Eugènia,2026-06-18,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-06-18,33.1,17.5,71.1,18.4,0
Santa María del Camí,2026-06-18,32.6,17,62.7,24.5,0
Santanyí,2026-06-18,,,,16.3,0
Selva,2026-06-18,NaN,NaN,NaN,NaN,NaN
Sineu,2026-06-18,NaN,NaN,NaN,NaN,NaN
Sóller,2026-06-18,30.1,19.6,66.4,24.5,0
Son Servera,2026-06-18,27.2,20,76.8,17.3,0
Valldemossa,2026-06-18,29.6,18.2,59.9,9.4,0
Vilafranca de Bonany,2026-06-18,30.1,19.1,75,22,0
