Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-11-29,16.7,6.1,75,57,0,0
Alcúdia,2025-11-29,17.7,4.8,91,61,15.8,0
Algaida,2025-11-29,15.9,9.6,89,64,22.7,0
Andratx,2025-11-29,16.9,8,91,67,10.4,0
Ariany,2025-11-29,-,-,-,-,-,-
Artà,2025-11-29,-,-,-,-,-,-
Banyalbufar,2025-11-29,15.4,10.1,93,78,11.1,0
Binissalem,2025-11-29,17.5,3.1,92,70,10.8,0
Búger,2025-11-29,20.4,2.5,93,46,22.5,0
Bunyola,2025-11-29,18.1,6.3,91,61,13.7,0
Calvià,2025-11-29,19.6,7.6,93,62,11.1,0
Campanet,2025-11-29,-,-,-,-,-,-
Campos,2025-11-29,-,-,-,-,-,-
Capdepera,2025-11-29,18.4,10.2,83,61,19.5,0
Consell,2025-11-29,-,-,-,-,-,-
Costitx,2025-11-29,16.6,7.3,99,76,14,0
Deià,2025-11-29,16.9,10.6,80,52,16.9,0
Escorca,2025-11-29,11.2,-0.7,97,44,3.6,0
Esporles,2025-11-29,17.5,5.7,97,69,14,0
Estellencs,2025-11-29,-,-,-,-,-,-
Felanitx,2025-11-29,-,-,-,-,-,-
Fornalutx,2025-11-29,16.8,8.8,91,51,12.2,0
Inca,2025-11-29,17.6,6.8,89,59,15.4,0
Lloret,2025-11-29,18,9.4,91,70,19.5,0
Lloseta,2025-11-29,16.5,6.1,86,61,34.2,0
Llubí,2025-11-29,17.4,5.1,93,64,14.4,0
Llucmajor,2025-11-29,16.8,9.1,92,68,19.4,0
Manacor,2025-11-29,17.2,7.1,92,60,17.6,0
Mancor,2025-11-29,-,-,-,-,-,-
Maria,2025-11-29,16.9,9.7,89,69,20.2,0
Marratxí,2025-11-29,17.6,9.5,83,66,22.5,0
Montuïri,2025-11-29,16.8,3.7,99,72,18.3,0
Muro,2025-11-29,17.3,7.8,92,73,0,0
Palma,2025-11-29,17.4,8.9,87,68,8.6,0
Petra,2025-11-29,17.6,7.6,92,61,15.4,0
Pollença,2025-11-29,17.2,8.2,69,42,11.3,0
Porreres,2025-11-29,17.7,8,87,59,19.4,0
Sa Pobla,2025-11-29,-,-,-,-,-,-
Puigpunyent,2025-11-29,-,-,-,-,-,-
Ses   Salines,2025-11-29,-,-,-,-,-,-
Sant   Joan,2025-11-29,16.8,9.4,74,55,15.8,0
Sant   Llorenç,2025-11-29,21.4,7.2,90,1,0.5,0
Sencelles,2025-11-29,-,-,-,-,-,-
Santa   Eugènia,2025-11-29,18.9,2.3,99,66,18.7,0
Santa   Margalida,2025-11-29,17.2,8.1,90,65,19.8,0
Santa   Maria,2025-11-29,-,-,-,-,-,-
Santanyi,2025-11-29,18.5,7,99,65,0,0
Selva,2025-11-29,17.6,6.9,80,46,10.8,0
Sineu,2025-11-29,17,5.4,99,79,17.2,0
Sóller,2025-11-29,-,-,-,-,-,-
Son   Servera,2025-11-29,,,,,,
Valldemossa,2025-11-29,-,-,-,-,-,-
Villafranca,2025-11-29,,,,,0,0
