Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-08-22,-,-,-,-,-,-
Alcúdia,2025-08-22,31.2,20.2,78,46,18,0
Algaida,2025-08-22,29.9,21.2,81,52,24.1,1.8
Andratx,2025-08-22,30.6,21.6,82,39,11.9,0
Ariany,2025-08-22,-,-,-,-,-,-
Artà,2025-08-22,30.4,17.4,96,57,37,27.61
Banyalbufar,2025-08-22,28.2,20,97,65,7.9,1.3
Binissalem,2025-08-22,31.9,18.4,85,47,14.8,0
Búger,2025-08-22,32.7,19.7,82,41,21.6,0
Bunyola,2025-08-22,32.8,20,83,35,19.8,0
Calvià,2025-08-22,30.6,20.1,90,37,19.8,0
Campanet,2025-08-22,-,-,-,-,-,-
Campos,2025-08-22,30.2,20,86,60,43.5,0
Capdepera,2025-08-22,27.8,20.4,93,60,23,14
Consell,2025-08-22,-,-,-,-,-,-
Costitx,2025-08-22,32.2,19.1,86,48,12.2,0
Deià,2025-08-22,29.8,22.6,68,51,12.6,0
Escorca,2025-08-22,25.5,15.2,89,58,17.3,0
Esporles,2025-08-22,28.9,19.1,91,58,22.7,0
Estellencs,2025-08-22,-,-,-,-,-,-
Felanitx,2025-08-22,29.2,20.5,91,57,33.8,17.2
Fornalutx,2025-08-22,28.4,21.3,71,46,16.3,0
Inca,2025-08-22,33,22.2,77,49,15.4,0
Lloret,2025-08-22,31.7,20,87,48,6.4,0
Lloseta,2025-08-22,30,20.1,82,50,35.6,0
Llubí,2025-08-22,31.9,19.8,76,43,14.4,0
Llucmajor,2025-08-22,30.1,21.5,83,56,22.7,0
Manacor,2025-08-22,30.3,20,88,51,19.8,0
Mancor,2025-08-22,-,-,-,-,-,-
Maria,2025-08-22,-,-,-,-,-,-
Marratxí,2025-08-22,30.4,21.2,80,48,17.5,0
Montuïri,2025-08-22,31.5,17.7,90,53,27.7,0
Muro,2025-08-22,31,21.5,82,50,0,0
Palma,2025-08-22,30.7,23.6,78,52,13.7,0
Petra,2025-08-22,30.9,19,83,45,16.9,0
Pollença,2025-08-22,28.9,22,62,29,33.8,0
Porreres,2025-08-22,30.7,20.6,82,47,19.4,0
Sa Pobla,2025-08-22,32.4,21.5,74,43,15.4,0
Puigpunyent,2025-08-22,29.5,18.4,89,45,29,1.6
Ses   Salines,2025-08-22,28.6,21.6,84,64,33.3,0
Sant   Joan,2025-08-22,29.6,20.9,69,52,17.1,0
Sant   Llorenç,2025-08-22,31.1,19.4,88,55,7.1,0
Sencelles,2025-08-22,30,20.6,79,55,27.8,0
Santa   Eugènia,2025-08-22,32.7,17.5,81,47,18.2,0
Santa   Margalida,2025-08-22,31.9,21,79,45,22,0
Santa   Maria,2025-08-22,-,-,-,-,-,-
Santanyi,2025-08-22,33.2,21.1,90,55,7.9,0
Selva,2025-08-22,32,21.3,82,32,11.7,0
Sineu,2025-08-22,32.6,18.7,89,50,14.8,0
Sóller,2025-08-22,29.1,21.6,73,56,24.1,0
Son   Servera,2025-08-22,,,,,,
Valldemossa,2025-08-22,26.1,19.6,83,57,20.9,0
Villafranca,2025-08-22,,,,,0,1.7
