Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-09-07,38.1,24,31,0,0
Alcúdia,2026-09-07,33.5,22.3,77.9,11.5,0
Algaida,2026-09-07,37.5,24.8,42.3,20.2,0
Andratx,2026-09-07,37.5,25.2,39.8,16.9,0
Ariany,2026-09-07,NaN,NaN,NaN,NaN,NaN
Artà,2026-09-07,37.6,22.6,55.1,17.7,0
Banyalbufar,2026-09-07,35.8,24.8,54.2,11.1,0
Binissalem,2026-09-07,39.8,21.2,51.1,13,0
Búger,2026-09-07,36.3,21.4,68.8,19.8,0
Bunyola,2026-09-07,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-09-07,NaN,NaN,NaN,NaN,NaN
Calvià,2026-09-07,NaN,NaN,NaN,NaN,NaN
Campanet,2026-09-07,NaN,NaN,NaN,NaN,NaN
Campos,2026-09-07,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-09-07,32.6,24.3,64.6,15.4,0
Consell,2026-09-07,38.9,20.3,48.1,16.9,0
Costitx,2026-09-07,39.2,22.1,60.3,7.9,0
Deià,2026-09-07,36.3,26.7,40.4,9,0
Escorca,2026-09-07,33.8,17.1,51.2,7.6,0
Esporles,2026-09-07,35,22.6,47.6,20.6,0
Estellencs,2026-09-07,36.5,24.2,45.9,11.9,0
Felanitx,2026-09-07,38.5,24.2,42.9,19.8,0
Fornalutx,2026-09-07,34.3,25.5,36.6,11.9,0
Inca,2026-09-07,39.1,25,56.6,8.7,0
Lloret de Vistalegre,2026-09-07,36.9,22.7,58.8,5.8,0
Lloseta,2026-09-07,36.9,23.8,57.1,19.8,0
Llubí,2026-09-07,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-09-07,,,,0,0
Manacor,2026-09-07,38.8,22.5,58.1,16.6,0
Mancor,2026-09-07,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-09-07,34.1,24.1,61.1,15.5,0
Marratxí,2026-09-07,38.7,24.5,54,16.1,0
Montuïri,2026-09-07,37.4,19.6,57.5,14.8,0
Muro,2026-09-07,NaN,NaN,NaN,NaN,NaN
Palma,2026-09-07,35,25.7,62.8,16.6,0
Petra,2026-09-07,37.9,21.9,52.3,14.6,0
Pollença,2026-09-07,32.1,24.6,50.7,16.1,0
Porreres,2026-09-07,39.6,23.9,46.8,15.5,0
Sa Pobla,2026-09-07,33.5,22.9,69.2,6.4,0
Puigpunyent,2026-09-07,36.9,26,35,13.2,0
Ses Salines,2026-09-07,38,21.9,59.6,0,0
Sant Joan,2026-09-07,35.7,24.4,48.3,14.6,0
Sant Llorenç des Cardassar,2026-09-07,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-09-07,39.2,22,59.4,11.1,0
Santa Eugènia,2026-09-07,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-09-07,34.2,23.4,64.4,14.8,0
Santa María del Camí,2026-09-07,37.8,21.8,44.9,16.2,0
Santanyí,2026-09-07,NaN,NaN,NaN,NaN,NaN
Selva,2026-09-07,36.1,23.4,55,9.7,0
Sineu,2026-09-07,NaN,NaN,NaN,NaN,NaN
Sóller,2026-09-07,35.2,23.3,49.7,19.4,0
Son Servera,2026-09-07,36.9,25.2,51.3,13.7,0
Valldemossa,2026-09-07,33.9,24.2,34.9,6.5,0
Vilafranca de Bonany,2026-09-07,37.1,25,52.3,16.9,0
