Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-11-14,21.9,16.5,74,62,0,0
Alcúdia,2025-11-14,22.7,15.4,91,64,16.9,0
Algaida,2025-11-14,21.7,17.7,84,59,37.8,0
Andratx,2025-11-14,24.5,19.3,78,35,26.3,0
Ariany,2025-11-14,-,-,-,-,-,-
Artà,2025-11-14,-,-,-,-,-,-
Banyalbufar,2025-11-14,24.6,18.3,79,38,38.9,0
Binissalem,2025-11-14,22.9,14.4,90,64,7.6,0
Búger,2025-11-14,24.4,14.6,94,63,22.5,0
Bunyola,2025-11-14,22.2,15.7,88,54,16.6,0
Calvià,2025-11-14,22.4,18.6,85,47,20.4,0
Campanet,2025-11-14,-,-,-,-,-,-
Campos,2025-11-14,-,-,-,-,-,-
Capdepera,2025-11-14,22.7,18.3,85,50,28.5,0
Consell,2025-11-14,-,-,-,-,-,-
Costitx,2025-11-14,21.4,14.9,99,65,15.1,0
Deià,2025-11-14,23.5,18.4,70,38,35.3,0
Escorca,2025-11-14,18.1,13.1,82,52,20.5,0
Esporles,2025-11-14,22.8,14.8,94,50,27,0
Estellencs,2025-11-14,-,-,-,-,-,-
Felanitx,2025-11-14,-,-,-,-,-,-
Fornalutx,2025-11-14,23.7,17.2,75,29,30.6,0
Inca,2025-11-14,22.7,17.2,85,64,14.3,0
Lloret,2025-11-14,21.6,17.1,89,67,7.9,0
Lloseta,2025-11-14,21.9,16.9,87,60,33.5,0
Llubí,2025-11-14,21.8,13.4,97,60,11.9,0
Llucmajor,2025-11-14,21.7,17.6,87,72,19.4,0
Manacor,2025-11-14,22.7,17.8,96,49,23.4,0
Mancor,2025-11-14,-,-,-,-,-,-
Maria,2025-11-14,21.4,17.3,95,67,21.6,0
Marratxí,2025-11-14,22.3,18.4,84,63,21.9,0
Montuïri,2025-11-14,21.5,17.2,95,76,16.9,0
Muro,2025-11-14,22.2,16.4,98,68,0,0
Palma,2025-11-14,22.3,17.8,87,68,13,0
Petra,2025-11-14,21.9,16.9,95,65,16.4,0.25
Pollença,2025-11-14,22.2,17.1,61,45,38.6,0
Porreres,2025-11-14,21.5,18.1,83,64,20.5,0
Sa Pobla,2025-11-14,24,16,91,67,14.6,0
Puigpunyent,2025-11-14,-,-,-,-,-,-
Ses   Salines,2025-11-14,22.3,19.5,83,70,43.5,0
Sant   Joan,2025-11-14,21.4,17.1,72,21,14,0
Sant   Llorenç,2025-11-14,,,0,0,2.1,0
Sencelles,2025-11-14,-,-,-,-,-,-
Santa   Eugènia,2025-11-14,22.4,12.8,99,65,14.2,7.62
Santa   Margalida,2025-11-14,21.8,16.8,90,66,16.2,0
Santa   Maria,2025-11-14,-,-,-,-,-,-
Santanyi,2025-11-14,22.2,18.3,92,78,4.7,0
Selva,2025-11-14,-,-,-,-,-,-
Sineu,2025-11-14,21.2,13.8,99,77,14.3,0
Sóller,2025-11-14,-,-,-,-,-,-
Son   Servera,2025-11-14,,,,,,
Valldemossa,2025-11-14,-,-,-,-,-,-
Villafranca,2025-11-14,,,,,0,0
