Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-08-18,37.2,24,65,23,0,0
Alcúdia,2025-08-18,34.2,23.1,80,44,13.3,0
Algaida,2025-08-18,37,23.9,77,25,20.5,0
Andratx,2025-08-18,37.6,24.9,77,25,12.2,0
Ariany,2025-08-18,-,-,-,-,-,-
Artà,2025-08-18,36.1,20.6,74,29,24.1,0
Banyalbufar,2025-08-18,32.4,23.8,92,36,10.5,0
Binissalem,2025-08-18,39.8,21.6,87,23,10.5,0
Búger,2025-08-18,39.9,21.3,86,23,15.4,0
Bunyola,2025-08-18,38.6,23.1,91,21,22.7,0
Calvià,2025-08-18,-,-,-,-,-,-
Campanet,2025-08-18,-,-,-,-,-,-
Campos,2025-08-18,37,22.3,84,29,32.2,0
Capdepera,2025-08-18,33.5,26.5,86,31,16.9,0
Consell,2025-08-18,-,-,-,-,-,-
Costitx,2025-08-18,39,21.6,88,26,10.5,0
Deià,2025-08-18,35,27.3,82,24,16.6,0
Escorca,2025-08-18,33,16.8,81,32,15.1,0
Esporles,2025-08-18,36,21.6,90,35,18.7,0
Estellencs,2025-08-18,-,-,-,-,-,-
Felanitx,2025-08-18,34.2,22.6,85,31,31.5,0
Fornalutx,2025-08-18,35.3,26.5,81,28,16.6,0
Inca,2025-08-18,38.5,25.6,77,28,11.9,0
Lloret,2025-08-18,36.7,22.4,85,29,4.7,0
Lloseta,2025-08-18,37.6,23.1,80,27,27,0
Llubí,2025-08-18,39.4,22.3,79,24,11.9,0
Llucmajor,2025-08-18,35.8,23.7,83,32,18.4,0
Manacor,2025-08-18,35.1,21.6,86,38,17.3,0
Mancor,2025-08-18,-,-,-,-,-,-
Maria,2025-08-18,-,-,-,-,-,-
Marratxí,2025-08-18,38.2,24.2,84,22,15.4,0
Montuïri,2025-08-18,37.1,19.9,89,31,21.9,0
Muro,2025-08-18,37.5,24.8,84,33,0,0
Palma,2025-08-18,35.3,25.5,86,40,14.4,0
Petra,2025-08-18,37.9,22.1,81,25,18.7,0
Pollença,2025-08-18,34.2,24.1,62,16,29.6,0
Porreres,2025-08-18,36.6,23.5,76,25,17.3,0
Sa Pobla,2025-08-18,39.7,24.5,78,27,11.1,0
Puigpunyent,2025-08-18,37.1,20.8,86,28,31.5,0
Ses   Salines,2025-08-18,32.8,22.8,88,53,27.8,0
Sant   Joan,2025-08-18,36.1,23.4,69,27,14.2,0
Sant   Llorenç,2025-08-18,37.5,22.2,73,32,6,0
Sencelles,2025-08-18,37.9,22.6,82,27,20.9,0
Santa   Eugènia,2025-08-18,41,19.9,86,23,14.2,0
Santa   Margalida,2025-08-18,37.5,24,78,30,18,0
Santa   Maria,2025-08-18,-,-,-,-,-,-
Santanyi,2025-08-18,33.9,22.3,92,58,4,0
Selva,2025-08-18,37.6,24.3,79,22,8.5,0
Sineu,2025-08-18,39.6,23.2,88,29,11.6,0
Sóller,2025-08-18,35.1,25.2,79,33,22.5,0
Son   Servera,2025-08-18,,,,,,
Valldemossa,2025-08-18,33.9,24.3,87,24,27.8,0
Villafranca,2025-08-18,,,,,0,0
