Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-03-13,18.1,8.5,77.5,0,0
Alcúdia,2026-03-13,21,7.5,84.6,21.6,0.2
Algaida,2026-03-13,18,10.1,84.8,22,0
Andratx,2026-03-13,19.2,9.9,80,10.1,0
Ariany,2026-03-13,NaN,NaN,NaN,NaN,NaN
Artà,2026-03-13,20.2,6,86.8,16.9,0
Banyalbufar,2026-03-13,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-03-13,19.3,5.4,86.6,9,0
Búger,2026-03-13,20.6,5.6,85.7,15.4,0
Bunyola,2026-03-13,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-03-13,NaN,NaN,NaN,NaN,NaN
Calvià,2026-03-13,NaN,NaN,NaN,NaN,NaN
Campanet,2026-03-13,NaN,NaN,NaN,NaN,NaN
Campos,2026-03-13,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-03-13,18.6,9.4,83.7,19.8,0
Consell,2026-03-13,18.3,5.6,90,19.8,0
Costitx,2026-03-13,19.6,7.9,92.1,11.1,0.3
Deià,2026-03-13,19.5,12.4,60.3,19.4,0
Escorca,2026-03-13,15.8,1.6,77.7,4,0
Esporles,2026-03-13,18.6,7.2,89.6,14.3,0
Estellencs,2026-03-13,21.2,10.3,67.2,23.8,0
Felanitx,2026-03-13,18.3,10.3,89.6,14.6,0.25
Fornalutx,2026-03-13,19.8,10.4,68.9,13.7,0
Inca,2026-03-13,19.3,9,83.3,13.4,0
Lloret de Vistalegre,2026-03-13,19.2,8.1,93.1,6.1,0
Lloseta,2026-03-13,17.5,7.2,87.3,34.9,0
Llubí,2026-03-13,20.2,7.2,85.7,12.2,0.3
Llucmajor,2026-03-13,,,,16.2,0
Manacor,2026-03-13,19.4,6.6,88,16.6,0.3
Mancor,2026-03-13,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-03-13,19.1,8.7,89,17.3,0
Marratxí,2026-03-13,18.3,9.8,86.3,15.4,0
Montuïri,2026-03-13,19,4.5,92.7,22.7,0
Muro,2026-03-13,NaN,NaN,NaN,NaN,NaN
Palma,2026-03-13,18.4,10.1,84.4,13,0
Petra,2026-03-13,19.6,7.7,86.3,15,0.25
Pollença,2026-03-13,19.1,8.5,61.9,19.3,0
Porreres,2026-03-13,17.6,7.9,86,16.9,0
Sa Pobla,2026-03-13,20.8,7.1,83.7,15.4,0
Puigpunyent,2026-03-13,18.4,9.9,84.6,13.7,0
Ses Salines,2026-03-13,18.6,7.3,87.6,6.5,0
Sant Joan,2026-03-13,18.1,7.2,59.1,13.7,0
Sant Llorenç des Cardassar,2026-03-13,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-03-13,19.3,8.8,89.8,16.3,0.25
Santa Eugènia,2026-03-13,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-03-13,20.3,8.6,84.3,14.4,0.3
Santa María del Camí,2026-03-13,17.8,7.2,84,20.5,0
Santanyí,2026-03-13,20.1,8.6,90.9,1.4,0.2
Selva,2026-03-13,NaN,NaN,NaN,NaN,NaN
Sineu,2026-03-13,NaN,NaN,NaN,NaN,NaN
Sóller,2026-03-13,19.7,8.4,75.7,31,0
Son Servera,2026-03-13,18.6,9.2,83.6,21.6,0
Valldemossa,2026-03-13,18.1,10.8,71.5,26.3,0
Vilafranca de Bonany,2026-03-13,17.8,8.3,89.5,24.5,0
