Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-07-23,33.1,21.4,69,30,0,0
Alcúdia,2025-07-23,31.5,21.9,87,52,12.2,0
Algaida,2025-07-23,33.4,21.5,89,29,23.4,0
Andratx,2025-07-23,32.5,22.4,76,34,14,0
Ariany,2025-07-23,-,-,-,-,-,-
Artà,2025-07-23,32.8,18.8,97,43,22.5,0
Banyalbufar,2025-07-23,30.5,21.7,89,65,7.2,0
Binissalem,2025-07-23,35.1,20.2,91,33,13.4,0
Búger,2025-07-23,35.3,20.2,87,32,16.4,0
Bunyola,2025-07-23,34.4,20.4,84,27,17.7,0
Calvià,2025-07-23,30.2,21.2,85,27,17.5,0
Campanet,2025-07-23,-,-,-,-,-,-
Campos,2025-07-23,34,23.2,87,37,37,0
Capdepera,2025-07-23,30.5,22.9,89,61,15.8,0
Consell,2025-07-23,-,-,-,-,-,-
Costitx,2025-07-23,36.5,20.9,96,32,10.8,0
Deià,2025-07-23,30.3,23.1,78,54,14.8,0
Escorca,2025-07-23,29.9,13.7,91,33,16.2,0
Esporles,2025-07-23,32.2,20.3,82,43,15.1,0
Estellencs,2025-07-23,-,-,-,-,-,-
Felanitx,2025-07-23,31.2,22.1,88,47,31.5,0
Fornalutx,2025-07-23,31.4,21.7,77,32,14.8,5.31
Inca,2025-07-23,35.3,23.2,80,34,13.7,0
Lloret,2025-07-23,33,20.6,94,38,5,0.3
Lloseta,2025-07-23,34,20.9,85,32,32.8,0.2
Llubí,2025-07-23,35.1,21,87,27,9.7,0
Llucmajor,2025-07-23,32.8,21.4,90,34,18.7,0
Manacor,2025-07-23,32.6,20.4,93,43,19.8,0
Mancor,2025-07-23,-,-,-,-,-,-
Maria,2025-07-23,-,-,-,-,-,-
Marratxí,2025-07-23,33.4,21.9,86,34,21.9,0
Montuïri,2025-07-23,33.4,18.7,97,37,15.1,0
Muro,2025-07-23,34.3,22.1,89,38,0,0
Palma,2025-07-23,32.3,23.7,79,44,11.9,0
Petra,2025-07-23,34.2,20.3,91,30,15.4,0
Pollença,2025-07-23,31.1,21.7,63,32,29.6,0
Porreres,2025-07-23,33.4,21.3,86,29,20.5,0
Sa Pobla,2025-07-23,36.5,22.7,82,33,11.7,0
Puigpunyent,2025-07-23,33.4,18.4,86,28,0,0
Ses   Salines,2025-07-23,30.4,22.3,90,48,29.6,0
Sant   Joan,2025-07-23,31.5,21.9,68,37,12.7,0
Sant   Llorenç,2025-07-23,34.2,21.6,89,39,8.9,0
Sencelles,2025-07-23,33.9,21.4,85,34,22.5,0
Santa   Eugènia,2025-07-23,37.5,19.1,93,27,17.4,0
Santa   Margalida,2025-07-23,33.4,22.3,84,34,16.9,0
Santa   Maria,2025-07-23,-,-,-,-,-,-
Santanyi,2025-07-23,32.1,22.6,92,61,6.9,0
Selva,2025-07-23,34.4,21.5,83,29,11.1,0
Sineu,2025-07-23,35.7,24.3,90,38,10.5,0
Sóller,2025-07-23,30.1,22.2,81,49,19.3,0
Son   Servera,2025-07-23,,,,,,
Valldemossa,2025-07-23,29.7,20.1,85,30,25.9,0
Villafranca,2025-07-23,,,,,0,0
