Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-06-05,28.9,17.3,75,40,0,0
Alcúdia,2025-06-05,29.7,18.1,94,49,18.7,0
Algaida,2025-06-05,28.7,18.1,96,40,22,0
Andratx,2025-06-05,29,18.4,83,36,12.2,0
Ariany,2025-06-05,-,-,-,-,-,-
Artà,2025-06-05,29.2,15.3,98,47,22.2,0
Banyalbufar,2025-06-05,27.5,18.3,90,58,10.1,0
Binissalem,2025-06-05,32.2,14.6,95,34,10.5,0
Búger,2025-06-05,34.1,14.6,93,28,20.1,0
Bunyola,2025-06-05,31.3,16.2,92,29,15.8,0
Calvià,2025-06-05,27.2,16.8,89,39,13.2,0
Campanet,2025-06-05,-,-,-,-,-,-
Campos,2025-06-05,-,-,-,-,-,-
Capdepera,2025-06-05,27.2,19.1,93,46,19.5,0
Consell,2025-06-05,17.2,17.2,51,51,3.9,0
Costitx,2025-06-05,31.5,17.5,99,42,11.6,0
Deià,2025-06-05,27.2,20.4,86,37,10.4,0
Escorca,2025-06-05,26.6,11.5,81,41,10.4,0
Esporles,2025-06-05,29.3,16,86,45,21.2,0
Estellencs,2025-06-05,27.2,19.3,80,58,16.7,0
Felanitx,2025-06-05,26.8,16.4,71,71,14.8,0
Fornalutx,2025-06-05,28.3,18.7,81,37,13.4,0
Inca,2025-06-05,30.8,18.6,92,35,13,0
Lloret,2025-06-05,31,17,98,41,10.5,0
Lloseta,2025-06-05,29.1,15.3,94,38,33.1,0
Llubí,2025-06-05,31.9,17.7,95,33,13.3,0
Llucmajor,2025-06-05,28,18.1,98,46,19.1,0
Manacor,2025-06-05,28.9,17.7,98,44,20.5,0
Mancor,2025-06-05,-,-,-,-,-,-
Maria,2025-06-05,30.5,17.6,99,40,22.3,0
Marratxí,2025-06-05,30.2,18,94,32,18.3,0
Montuïri,2025-06-05,30.3,13.9,99,44,13.4,0
Muro,2025-06-05,30.7,17.8,99,38,0,0
Palma,2025-06-05,27.9,19.5,90,52,11.9,0
Petra,2025-06-05,31.3,16.4,96,36,19,0
Pollença,2025-06-05,27.5,17.9,70,39,24.1,0
Porreres,2025-06-05,29.2,17.1,93,39,17.3,0
Sa Pobla,2025-06-05,34.2,18.1,91,32,12.6,0
Puigpunyent,2025-06-05,29.1,14.7,87,39,18.5,0
Ses   Salines,2025-06-05,26.7,17.6,97,66,25.9,0
Sant   Joan,2025-06-05,28.6,17.6,69,30,14.6,0
Sant   Llorenç,2025-06-05,30.6,17.5,95,41,9.3,0
Sencelles,2025-06-05,28.9,17.7,94,45,31.5,0
Santa   Eugènia,2025-06-05,32.4,15,99,36,17.7,0
Santa   Margalida,2025-06-05,27.9,17.9,94,53,10.8,0
Santa   Maria,2025-06-05,-,-,-,-,-,-
Santanyi,2025-06-05,30,18,99,56,3.2,0
Selva,2025-06-05,-,-,-,-,-,-
Sineu,2025-06-05,32.3,16.8,99,46,18,0
Sóller,2025-06-05,28.9,17.2,85,34,20.9,0
Son   Servera,2025-06-05,27.6,18,93,46,15,0
Valldemossa,2025-06-05,26.3,16.8,76,36,24.1,0
Villafranca,2025-06-05,,,,,19.5,0
