Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-12-31,12.7,5.1,82.2,0,0
Alcúdia,2025-12-31,13.6,6.2,84.8,15.5,1.3
Algaida,2025-12-31,12,6.3,85.3,17.6,0
Andratx,2025-12-31,16.1,6.4,83.1,9.4,0.2
Ariany,2025-12-31,NaN,NaN,NaN,NaN,NaN
Artà,2025-12-31,13.1,5.4,91.3,16.6,0
Banyalbufar,2025-12-31,,,,9,0.2
Binissalem,2025-12-31,13.4,3.4,89.7,10.1,0
Búger,2025-12-31,13.8,4.2,90.1,15.4,0
Bunyola,2025-12-31,NaN,NaN,NaN,NaN,NaN
Cabrera,2025-12-31,NaN,NaN,NaN,NaN,NaN
Calvià,2025-12-31,16.1,6.2,83.3,9.7,0
Campanet,2025-12-31,NaN,NaN,NaN,NaN,NaN
Campos,2025-12-31,NaN,NaN,NaN,NaN,NaN
Capdepera,2025-12-31,13.1,9.3,81.9,16.3,0.2
Consell,2025-12-31,12.6,3.1,91.4,19.5,0.25
Costitx,2025-12-31,12.8,4.5,93.8,11.6,0
Deià,2025-12-31,13.9,7.6,78.1,6.8,0
Escorca,2025-12-31,7.4,0.5,88.7,17.3,0
Esporles,2025-12-31,14.2,4.8,92.6,11.6,0
Estellencs,2025-12-31,14.6,6.5,83.6,9.4,0
Felanitx,2025-12-31,13,7.3,88.2,17.5,0
Fornalutx,2025-12-31,11.7,6.4,85.9,13,0
Inca,2025-12-31,14.9,6.9,84.2,5,0
Lloret de Vistalegre,2025-12-31,12.1,5.8,90.8,0,0
Lloseta,2025-12-31,12.9,6,85.4,30.2,0
Llubí,2025-12-31,13.4,4,88.1,9.4,0.3
Llucmajor,2025-12-31,12.7,6.5,86.5,21.2,0
Manacor,2025-12-31,14,5.2,87.5,12.6,0.3
Mancor,2025-12-31,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2025-12-31,11.7,6.8,87,20.5,0
Marratxí,2025-12-31,13.3,6,82.2,17.2,0
Montuïri,2025-12-31,11.8,2,95.2,15.1,0
Muro,2025-12-31,NaN,NaN,NaN,NaN,NaN
Palma,2025-12-31,13.7,7.5,84.1,15.8,0
Petra,2025-12-31,12.7,4.5,89.4,14.6,0.25
Pollença,2025-12-31,11.4,7.7,63.6,24.1,0.25
Porreres,2025-12-31,12.4,5.5,86.2,17.3,0
Sa Pobla,2025-12-31,13,5.1,85.8,14,0.2
Puigpunyent,2025-12-31,14.9,6.2,82.1,14.3,0
Ses Salines,2025-12-31,14.5,5.8,87.5,6.5,0.3
Sant Joan,2025-12-31,12.1,6.1,61.4,16.7,0.25
Sant Llorenç des Cardassar,2025-12-31,12.8,-19.6,87.7,199.7,288.29
Sencelles,2025-12-31,12.9,3.3,90.3,11.9,0
Santa Eugènia,2025-12-31,15.5,1.7,91.3,6.4,0
Santa Margalida,2025-12-31,12.2,7.1,84.4,16.9,0.3
Santa María del Camí,2025-12-31,12.6,4.1,85.6,19.1,0
Santanyí,2025-12-31,14,5.6,91.1,0,0
Selva,2025-12-31,13.6,6.1,83.5,11.1,0.76
Sineu,2025-12-31,13.1,4.2,95.4,0,0
Sóller,2025-12-31,14.9,5.2,88.1,10.4,0
Son Servera,2025-12-31,13.2,7.3,81.5,19.4,0
Valldemossa,2025-12-31,11.3,6.3,83.9,7.2,0
Vilafranca de Bonany,2025-12-31,12.3,5.6,85,26.3,0.2
