Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-10-13,23.1,17.1,91,76,0,4.83
Alcúdia,2025-10-13,24.4,16.7,97,79,11.5,11.71
Algaida,2025-10-13,23.3,17.7,98,80,17.3,3
Andratx,2025-10-13,24.6,19.3,86,68,21.2,2.49
Ariany,2025-10-13,-,-,-,-,-,-
Artà,2025-10-13,24.6,16.1,100,83,19.3,3.99
Banyalbufar,2025-10-13,24,17.8,97,74,14.8,0.3
Binissalem,2025-10-13,23.8,17.5,96,78,8.2,4.32
Búger,2025-10-13,26.2,17.4,97,71,10,4.32
Bunyola,2025-10-13,25.1,15.8,96,65,22.4,10.16
Calvià,2025-10-13,24.3,17.9,91,71,21.1,1.02
Campanet,2025-10-13,-,-,-,-,-,-
Campos,2025-10-13,24.6,19.4,95,79,37,11.4
Capdepera,2025-10-13,24.7,20.9,95,80,9.3,3.81
Consell,2025-10-13,-,-,-,-,-,-
Costitx,2025-10-13,23.2,17.6,99,90,6.1,8.41
Deià,2025-10-13,24.3,18.4,83,54,16.9,0.79
Escorca,2025-10-13,19.8,10,99,76,8.3,8.71
Esporles,2025-10-13,23.9,15.9,99,81,13.7,0
Estellencs,2025-10-13,-,-,-,-,-,-
Felanitx,2025-10-13,25.1,18.1,95,76,45.1,6.6
Fornalutx,2025-10-13,23.8,16.2,93,57,14.8,4.6
Inca,2025-10-13,23.8,17.8,98,77,8.7,7.9
Lloret,2025-10-13,22.8,17.2,99,85,6.1,0
Lloseta,2025-10-13,23.4,17.5,96,78,16.6,6.3
Llubí,2025-10-13,25.7,18,97,71,7.2,4.9
Llucmajor,2025-10-13,24.1,19.4,97,81,20.9,2.59
Manacor,2025-10-13,23.9,17.4,98,79,11.5,4.29
Mancor,2025-10-13,-,-,-,-,-,-
Maria,2025-10-13,23.2,18.6,99,84,14.8,6.4
Marratxí,2025-10-13,24.8,18.3,93,76,16.1,4.32
Montuïri,2025-10-13,23.3,17,99,87,18,2.49
Muro,2025-10-13,24.8,18.2,99,81,0,4.39
Palma,2025-10-13,24.5,19.6,92,78,19.1,4.29
Petra,2025-10-13,25.2,16.4,97,74,13.2,10.16
Pollença,2025-10-13,22.3,17.7,77,66,37,5.21
Porreres,2025-10-13,24.6,17.9,96,77,10.4,2.49
Sa Pobla,2025-10-13,25.2,18.2,96,76,7.1,3.81
Puigpunyent,2025-10-13,23.6,16.6,90,77,13,1.8
Ses   Salines,2025-10-13,23.9,18.8,96,83,25.9,2.79
Sant   Joan,2025-10-13,23.2,18.6,65,18,17.9,1.52
Sant   Llorenç,2025-10-13,24.4,16.5,99,82,2.1,2.54
Sencelles,2025-10-13,23.5,17.9,95,83,16.7,3.61
Santa   Eugènia,2025-10-13,26.4,16.5,99,72,6,3.05
Santa   Margalida,2025-10-13,24.9,18.6,96,75,10.4,8.41
Santa   Maria,2025-10-13,-,-,-,-,-,-
Santanyi,2025-10-13,24.4,19.8,99,86,9.3,3
Selva,2025-10-13,24.9,17.3,93,72,11.1,7.37
Sineu,2025-10-13,22,17,99,99,3.2,7.59
Sóller,2025-10-13,25.3,16.7,94,60,33.3,3.61
Son   Servera,2025-10-13,,,,,,
Valldemossa,2025-10-13,22,15.9,91,70,32.2,0.99
Villafranca,2025-10-13,,,,,0,1.5
