Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-11-13,24.9,13.8,71,51,0,0
Alcúdia,2025-11-13,25.8,12.6,92,53,18.7,0
Algaida,2025-11-13,25,13.5,99,44,33.8,0.51
Andratx,2025-11-13,26,20.3,69,36,23,0
Ariany,2025-11-13,-,-,-,-,-,-
Artà,2025-11-13,-,-,-,-,-,-
Banyalbufar,2025-11-13,25.9,18.1,70,27,41,0
Binissalem,2025-11-13,26.1,10.2,91,52,7.9,0
Búger,2025-11-13,28.9,12.7,94,53,11.4,0
Bunyola,2025-11-13,27,14.1,81,46,12.2,0
Calvià,2025-11-13,25.3,17.7,76,43,18.7,0
Campanet,2025-11-13,-,-,-,-,-,-
Campos,2025-11-13,-,-,-,-,-,-
Capdepera,2025-11-13,23.7,18.5,94,76,20.9,0
Consell,2025-11-13,-,-,-,-,-,-
Costitx,2025-11-13,25.8,12.8,99,57,7.2,0.3
Deià,2025-11-13,27,21.9,50,20,31.7,0
Escorca,2025-11-13,20.6,10.3,83,44,15.5,0
Esporles,2025-11-13,24.3,11.2,95,60,18.3,0
Estellencs,2025-11-13,-,-,-,-,-,-
Felanitx,2025-11-13,-,-,-,-,-,-
Fornalutx,2025-11-13,27.1,19.6,60,13,23.8,0
Inca,2025-11-13,27.5,14.5,84,44,6.4,0
Lloret,2025-11-13,25,13.8,99,63,5,0
Lloseta,2025-11-13,25.9,13.5,84,49,28.8,0
Llubí,2025-11-13,26.9,10.9,97,53,7.9,0
Llucmajor,2025-11-13,24.4,16.6,94,62,17.3,0
Manacor,2025-11-13,24.6,15.8,97,66,18,0.51
Mancor,2025-11-13,-,-,-,-,-,-
Maria,2025-11-13,24.5,16.1,98,62,18.7,0
Marratxí,2025-11-13,27.3,16.5,84,46,22.2,0
Montuïri,2025-11-13,25.8,9.1,99,63,11.9,0.3
Muro,2025-11-13,26.8,13.8,98,60,0,0
Palma,2025-11-13,25.8,15.8,81,57,16.2,0
Petra,2025-11-13,25.5,12.4,97,54,14,0.25
Pollença,2025-11-13,24.5,17.4,63,42,19.3,0
Porreres,2025-11-13,25.2,13.4,98,59,14.8,0.51
Sa Pobla,2025-11-13,27.1,14.1,91,55,10.8,0
Puigpunyent,2025-11-13,-,-,-,-,-,-
Ses   Salines,2025-11-13,24.1,16.3,90,69,37,0
Sant   Joan,2025-11-13,24.6,14.4,71,10,12.1,0.51
Sant   Llorenç,2025-11-13,,,0,0,2.1,0
Sencelles,2025-11-13,-,-,-,-,-,-
Santa   Eugènia,2025-11-13,27.7,9,99,49,9.8,0
Santa   Margalida,2025-11-13,25.5,13.7,96,57,13.7,0.2
Santa   Maria,2025-11-13,-,-,-,-,-,-
Santanyi,2025-11-13,26.3,18.6,98,74,1.1,0
Selva,2025-11-13,-,-,-,-,-,-
Sineu,2025-11-13,26.4,11.9,99,69,6.4,0.3
Sóller,2025-11-13,25.4,22.2,35,16,38.9,0
Son   Servera,2025-11-13,,,,,,
Valldemossa,2025-11-13,-,-,-,-,-,-
Villafranca,2025-11-13,,,,,0,0.3
