Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-09-02,29.8,19.1,72,31,0,0
Alcúdia,2025-09-02,29.9,18.8,86,37,22.3,0
Algaida,2025-09-02,28.7,19.2,81,35,23.4,0
Andratx,2025-09-02,29.6,20.7,68,40,14.8,0
Ariany,2025-09-02,-,-,-,-,-,-
Artà,2025-09-02,29.5,16.4,97,49,25.9,0
Banyalbufar,2025-09-02,28.1,19.7,77,49,8.2,0
Binissalem,2025-09-02,31.8,16.9,91,34,7.9,0
Búger,2025-09-02,31.8,18.1,89,32,18.3,0
Bunyola,2025-09-02,30.5,17.9,81,30,23,0
Calvià,2025-09-02,29.9,19.3,73,35,15.8,0
Campanet,2025-09-02,-,-,-,-,-,-
Campos,2025-09-02,29.9,17.9,90,41,42.6,0
Capdepera,2025-09-02,28.8,19,93,51,16.9,0.51
Consell,2025-09-02,-,-,-,-,-,-
Costitx,2025-09-02,30.7,21.1,77,33,10.5,0
Deià,2025-09-02,28.6,21.7,63,43,14,0
Escorca,2025-09-02,24.1,13.3,83,48,13.7,0
Esporles,2025-09-02,27.6,16.9,85,52,19.5,0
Estellencs,2025-09-02,-,-,-,-,-,-
Felanitx,2025-09-02,30.7,18.4,89,32,42.6,0
Fornalutx,2025-09-02,27.5,20,65,40,13.7,0
Inca,2025-09-02,30.4,20.6,80,39,17.2,0
Lloret,2025-09-02,30.6,17.3,92,36,7.2,0
Lloseta,2025-09-02,29.2,17.8,87,36,33.8,0
Llubí,2025-09-02,31.3,17.2,87,32,15.5,0
Llucmajor,2025-09-02,28.9,19,86,41,20.5,0
Manacor,2025-09-02,31.1,17.4,93,34,20.9,0
Mancor,2025-09-02,-,-,-,-,-,-
Maria,2025-09-02,-,-,-,-,-,-
Marratxí,2025-09-02,30.5,19.7,83,36,21.9,0
Montuïri,2025-09-02,29.8,14.8,97,40,30.6,0
Muro,2025-09-02,31.2,19.3,85,39,0,0
Palma,2025-09-02,30.7,21.5,74,38,13,0
Petra,2025-09-02,31.3,17.3,91,31,19,0
Pollença,2025-09-02,24.6,19.6,64,42,33.3,0
Porreres,2025-09-02,29.8,18.1,85,30,17.6,0
Sa Pobla,2025-09-02,31.8,19.6,80,33,15,0
Puigpunyent,2025-09-02,28.4,16.9,80,41,25.9,0
Ses   Salines,2025-09-02,27.8,19.2,87,49,29.6,0
Sant   Joan,2025-09-02,28.6,18.4,68,38,15.9,0
Sant   Llorenç,2025-09-02,33.9,17.5,91,32,5.6,0
Sencelles,2025-09-02,28.3,17.8,82,42,31.5,0
Santa   Eugènia,2025-09-02,32.5,15.1,92,35,20.3,0
Santa   Margalida,2025-09-02,31,19.4,83,35,16.2,0
Santa   Maria,2025-09-02,-,-,-,-,-,-
Santanyi,2025-09-02,32.5,19.2,89,39,5.5,0
Selva,2025-09-02,-,-,-,-,-,-
Sineu,2025-09-02,31.1,16.8,98,39,17.2,0
Sóller,2025-09-02,27.8,19.1,71,42,24.1,0
Son   Servera,2025-09-02,,,,,,
Valldemossa,2025-09-02,25.4,18.3,80,42,24.1,0
Villafranca,2025-09-02,,,,,0,0
