Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-11-11,20.3,10.6,88,64,0,0
Alcúdia,2025-11-11,22.4,9.1,95,55,13.3,0.2
Algaida,2025-11-11,20.6,12.3,95,64,18,0
Andratx,2025-11-11,22.1,12,91,62,10.1,0.2
Ariany,2025-11-11,-,-,-,-,-,-
Artà,2025-11-11,-,-,-,-,-,-
Banyalbufar,2025-11-11,18.7,11.5,93,75,0,0
Binissalem,2025-11-11,21.9,6.9,98,60,6.1,0.25
Búger,2025-11-11,22.5,7.4,95,56,15.4,0
Bunyola,2025-11-11,22.1,9.8,97,60,13,0
Calvià,2025-11-11,23.3,11.6,93,56,14.6,0
Campanet,2025-11-11,-,-,-,-,-,-
Campos,2025-11-11,-,-,-,-,-,-
Capdepera,2025-11-11,22.4,14.2,90,58,20.1,0
Consell,2025-11-11,-,-,-,-,-,-
Costitx,2025-11-11,21.5,9,99,70,9.3,0.3
Deià,2025-11-11,22.5,13.7,73,52,10.8,0
Escorca,2025-11-11,14.9,4.5,96,68,0,0
Esporles,2025-11-11,21.2,9.8,99,67,14,0
Estellencs,2025-11-11,-,-,-,-,-,-
Felanitx,2025-11-11,-,-,-,-,-,-
Fornalutx,2025-11-11,20.5,11.6,89,45,0.3,0
Inca,2025-11-11,21.6,11.2,89,60,18,0
Lloret,2025-11-11,21.8,10,96,67,5.8,0
Lloseta,2025-11-11,20.2,9.9,96,64,27,0
Llubí,2025-11-11,21.9,7.7,97,61,11.5,0.2
Llucmajor,2025-11-11,21,11.2,96,72,14.8,0
Manacor,2025-11-11,21.8,9.9,98,63,13,0.2
Mancor,2025-11-11,-,-,-,-,-,-
Maria,2025-11-11,21.6,11.6,95,66,14.8,0
Marratxí,2025-11-11,23,12,90,56,15,0
Montuïri,2025-11-11,21.7,5.9,99,71,20.1,0
Muro,2025-11-11,21.5,10.8,98,69,0,0
Palma,2025-11-11,21.9,12.1,91,62,10.4,0
Petra,2025-11-11,22.1,8.9,97,62,17.5,0
Pollença,2025-11-11,20.7,12.1,70,45,22.5,0
Porreres,2025-11-11,21.5,10.7,93,63,16.2,0
Sa Pobla,2025-11-11,22.1,9.4,93,59,13.2,0
Puigpunyent,2025-11-11,-,-,-,-,-,-
Ses   Salines,2025-11-11,20.6,10.7,87,73,22.5,0
Sant   Joan,2025-11-11,21.1,10.3,71,33,11.4,0.25
Sant   Llorenç,2025-11-11,,,0,0,3.1,0
Sencelles,2025-11-11,-,-,-,-,-,-
Santa   Eugènia,2025-11-11,32.8,5.6,99,59,10.9,29.21
Santa   Margalida,2025-11-11,22.5,11.8,92,60,12.2,0
Santa   Maria,2025-11-11,-,-,-,-,-,-
Santanyi,2025-11-11,23.3,10.9,98,68,1.1,0
Selva,2025-11-11,-,-,-,-,-,-
Sineu,2025-11-11,21.7,8.2,99,77,11.1,0
Sóller,2025-11-11,21.9,11.1,88,56,11.3,0
Son   Servera,2025-11-11,,,,,,
Valldemossa,2025-11-11,-,-,-,-,-,-
Villafranca,2025-11-11,,,,,0,0.2
