Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-06-06,30.7,18.6,72,33,0,0
Alcúdia,2025-06-06,29.3,17.1,88,44,12.2,0
Algaida,2025-06-06,30.3,19,87,37,20.5,0
Andratx,2025-06-06,29.8,18.6,83,41,13.3,0
Ariany,2025-06-06,-,-,-,-,-,-
Artà,2025-06-06,29.8,13.6,95,45,19.3,0
Banyalbufar,2025-06-06,26.5,18.3,94,53,10.5,0
Binissalem,2025-06-06,34.4,14.4,92,32,11.1,0
Búger,2025-06-06,34.5,14.4,87,25,25.1,0
Bunyola,2025-06-06,31.9,17.8,91,32,16.3,0
Calvià,2025-06-06,28.4,20.9,90,49,15,0
Campanet,2025-06-06,-,-,-,-,-,-
Campos,2025-06-06,-,-,-,-,-,-
Capdepera,2025-06-06,26.9,18.6,93,68,15.1,0
Consell,2025-06-06,17.2,17.2,51,51,3.9,0
Costitx,2025-06-06,33.9,15.5,95,35,16.3,0
Deià,2025-06-06,28.2,19.7,87,46,10.4,0
Escorca,2025-06-06,27.4,9.6,88,39,9.7,0
Esporles,2025-06-06,30.9,16.9,93,43,18.3,0
Estellencs,2025-06-06,27.7,18,90,43,19.3,0
Felanitx,2025-06-06,27,15.8,71,71,13,0.2
Fornalutx,2025-06-06,28.1,18.1,91,37,13.4,0
Inca,2025-06-06,34.7,18.9,88,32,11.9,0
Lloret,2025-06-06,31.6,16.4,90,38,5.5,0
Lloseta,2025-06-06,32.5,16.6,91,34,27.4,0
Llubí,2025-06-06,34.5,15.5,86,30,13,0
Llucmajor,2025-06-06,29.6,17.2,94,39,17.3,0
Manacor,2025-06-06,29.8,16.6,97,51,15.5,0
Mancor,2025-06-06,-,-,-,-,-,-
Maria,2025-06-06,30.1,17.3,98,40,20.5,0
Marratxí,2025-06-06,30.6,18,89,38,17.9,0
Montuïri,2025-06-06,31.8,12.7,95,41,12.2,0
Muro,2025-06-06,31.1,17.2,88,42,0,0
Palma,2025-06-06,28.6,20.1,89,56,9.4,0
Petra,2025-06-06,32.5,15.7,95,32,15.4,0
Pollença,2025-06-06,28.2,18.6,68,24,24.1,0
Porreres,2025-06-06,31.5,17.3,88,37,17.3,0
Sa Pobla,2025-06-06,33.8,17.6,81,29,11.7,0
Puigpunyent,2025-06-06,32.3,14.9,81,27,14.8,0
Ses   Salines,2025-06-06,26.9,17,96,65,25.9,0
Sant   Joan,2025-06-06,30.3,17.1,71,40,15.3,0
Sant   Llorenç,2025-06-06,31,15.9,91,48,1.9,0
Sencelles,2025-06-06,31.4,16.4,86,39,25.9,0
Santa   Eugènia,2025-06-06,34.7,12.9,94,32,15.8,0
Santa   Margalida,2025-06-06,32.9,18,88,34,12.2,0
Santa   Maria,2025-06-06,-,-,-,-,-,-
Santanyi,2025-06-06,29.2,16.8,99,68,4.7,0
Selva,2025-06-06,-,-,-,-,-,-
Sineu,2025-06-06,33.9,15.9,96,40,8.2,0
Sóller,2025-06-06,29,17.3,87,41,18.5,0
Son   Servera,2025-06-06,26.7,18.5,90,65,15.4,0
Valldemossa,2025-06-06,27.9,18.1,92,36,24.1,0
Villafranca,2025-06-06,,,,,17.7,0
