Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-06-06,28.4,15.8,60.2,0,0
Alcúdia,2026-06-06,28.3,15.8,69,11.9,0
Algaida,2026-06-06,28,15.8,64.8,25.2,0
Andratx,2026-06-06,27.6,17.4,62.9,13,0
Ariany,2026-06-06,NaN,NaN,NaN,NaN,NaN
Artà,2026-06-06,26.5,14,73.8,21.2,2.01
Banyalbufar,2026-06-06,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-06-06,30.8,18.9,58.5,9,3.05
Búger,2026-06-06,30,14.4,66.4,16.1,0
Bunyola,2026-06-06,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-06-06,NaN,NaN,NaN,NaN,NaN
Calvià,2026-06-06,NaN,NaN,NaN,NaN,NaN
Campanet,2026-06-06,NaN,NaN,NaN,NaN,NaN
Campos,2026-06-06,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-06-06,25.7,17.2,68.6,18,0
Consell,2026-06-06,29.3,13.7,68.4,19.5,0
Costitx,2026-06-06,30.1,14,71,12.2,0
Deià,2026-06-06,27.8,18,67.3,11.5,0
Escorca,2026-06-06,24.1,10.8,80.5,4.3,0
Esporles,2026-06-06,27.9,14.8,75.4,16.9,0
Estellencs,2026-06-06,26.8,17.3,66.6,11.5,0
Felanitx,2026-06-06,27.5,16.3,64.9,19.8,0
Fornalutx,2026-06-06,26.3,16.8,70.4,14.3,0
Inca,2026-06-06,29.5,16.8,64.8,11.1,1.8
Lloret de Vistalegre,2026-06-06,29.3,14.5,70.9,6.4,0
Lloseta,2026-06-06,28.1,14.8,66.8,31.7,0.71
Llubí,2026-06-06,30.2,14.5,62.1,14.4,0
Llucmajor,2026-06-06,,,,19.4,0
Manacor,2026-06-06,26.9,14.9,69,19.8,0
Mancor,2026-06-06,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-06-06,28.4,15.7,68.5,29.5,0
Marratxí,2026-06-06,29.6,16.3,67.7,19.3,0
Montuïri,2026-06-06,28.6,12.8,73.8,18.7,0
Muro,2026-06-06,NaN,NaN,NaN,NaN,NaN
Palma,2026-06-06,27.6,18.4,70.1,11.5,0
Petra,2026-06-06,30,15,62.9,15.8,0
Pollença,2026-06-06,26.1,16.3,52,19.3,0
Porreres,2026-06-06,29,15.3,63.4,18,0
Sa Pobla,2026-06-06,28.8,15.5,64.9,10.5,0
Puigpunyent,2026-06-06,NaN,NaN,NaN,NaN,NaN
Ses Salines,2026-06-06,27.4,15.6,67.4,7.2,0
Sant Joan,2026-06-06,27.8,15.7,60.5,15,0
Sant Llorenç des Cardassar,2026-06-06,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-06-06,30.6,14.9,68.3,15.1,0
Santa Eugènia,2026-06-06,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-06-06,29.7,16.5,64.7,18,0
Santa María del Camí,2026-06-06,28.2,14.6,66.3,20.5,0
Santanyí,2026-06-06,,,,2.1,0
Selva,2026-06-06,NaN,NaN,NaN,NaN,NaN
Sineu,2026-06-06,NaN,NaN,NaN,NaN,NaN
Sóller,2026-06-06,26.5,17.3,68.6,27.7,0
Son Servera,2026-06-06,25,16.7,66.1,16.6,0
Valldemossa,2026-06-06,26.7,15.9,70.6,14.8,0
Vilafranca de Bonany,2026-06-06,27.6,15.4,69.6,22,0
