Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-11-17,17,11.9,91,72,0,8.89
Alcúdia,2025-11-17,18,11.9,92,70,30.2,0
Algaida,2025-11-17,17.7,12.3,96,72,24.8,3.61
Andratx,2025-11-17,18.6,12.8,94,67,9.7,26.9
Ariany,2025-11-17,-,-,-,-,-,-
Artà,2025-11-17,-,-,-,-,-,-
Banyalbufar,2025-11-17,18.8,10.9,99,76,13,5.31
Binissalem,2025-11-17,16.4,11.2,96,84,6.9,14.22
Búger,2025-11-17,17.9,10.5,95,83,14.6,5.08
Bunyola,2025-11-17,17.7,10.6,97,76,15.4,9.65
Calvià,2025-11-17,17.6,11.6,95,73,12.6,24.89
Campanet,2025-11-17,-,-,-,-,-,-
Campos,2025-11-17,-,-,-,-,-,-
Capdepera,2025-11-17,18.6,13.3,91,73,15.8,4.29
Consell,2025-11-17,-,-,-,-,-,-
Costitx,2025-11-17,16.9,11,99,85,7.9,5.59
Deià,2025-11-17,18.5,12.2,92,65,18.7,11.91
Escorca,2025-11-17,13.2,7.6,97,72,9.4,24.61
Esporles,2025-11-17,17.4,11.6,98,83,14,8.64
Estellencs,2025-11-17,-,-,-,-,-,-
Felanitx,2025-11-17,-,-,-,-,-,-
Fornalutx,2025-11-17,17,9.7,96,75,0,10.39
Inca,2025-11-17,17.3,12.6,97,77,11.9,6.6
Lloret,2025-11-17,17.3,11.3,98,84,13,0
Lloseta,2025-11-17,16.8,11.7,97,77,28.8,32.79
Llubí,2025-11-17,16.8,12.4,96,82,10.4,8.89
Llucmajor,2025-11-17,17,12.4,99,78,16.9,9.4
Manacor,2025-11-17,-,-,-,-,-,-
Mancor,2025-11-17,-,-,-,-,-,-
Maria,2025-11-17,16.6,11.7,99,81,16.2,0
Marratxí,2025-11-17,17.7,11.4,94,76,13.2,5.84
Montuïri,2025-11-17,16.8,11.6,99,87,11.9,5.31
Muro,2025-11-17,16.8,12.6,99,85,1.1,9.4
Palma,2025-11-17,17.6,13.7,94,77,20.2,10.49
Petra,2025-11-17,16.8,12.1,94,78,12.6,2.29
Pollença,2025-11-17,16.7,11.2,76,57,19.3,64.52
Porreres,2025-11-17,16.7,12.4,94,76,14.8,11.1
Sa Pobla,2025-11-17,17.4,12.5,93,82,14,3.56
Puigpunyent,2025-11-17,-,-,-,-,-,-
Ses   Salines,2025-11-17,18.8,12.6,90,72,29.6,4.57
Sant   Joan,2025-11-17,16.9,13.1,71,30,14.3,2.54
Sant   Llorenç,2025-11-17,,,0,0,2.4,0.25
Sencelles,2025-11-17,-,-,-,-,-,-
Santa   Eugènia,2025-11-17,16.7,11.5,99,76,14.6,4.32
Santa   Margalida,2025-11-17,17.5,12.9,94,78,15.1,4.6
Santa   Maria,2025-11-17,-,-,-,-,-,-
Santanyi,2025-11-17,17.4,13.1,99,81,2.9,3.81
Selva,2025-11-17,-,-,-,-,-,-
Sineu,2025-11-17,17.3,11.1,99,90,11.1,5.31
Sóller,2025-11-17,-,-,-,-,-,-
Son   Servera,2025-11-17,,,,,,
Valldemossa,2025-11-17,-,-,-,-,-,-
Villafranca,2025-11-17,,,,,0,2.69
