Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-12-26,12,9.2,91.3,0,5.33
Alcúdia,2025-12-26,13.7,9,92.6,7.2,3.3
Algaida,2025-12-26,13.6,8.2,96,13.7,3
Andratx,2025-12-26,14.8,10.4,83.8,9.4,1.3
Ariany,2025-12-26,NaN,NaN,NaN,NaN,NaN
Artà,2025-12-26,12,8.8,99,10.5,13.69
Banyalbufar,2025-12-26,13.7,9.2,96.1,8.7,2.21
Binissalem,2025-12-26,13.6,8.1,95.2,5.8,2.29
Búger,2025-12-26,14.7,8.9,94.4,10.8,3.56
Bunyola,2025-12-26,13.6,8.6,94.2,13.4,1.27
Cabrera,2025-12-26,NaN,NaN,NaN,NaN,NaN
Calvià,2025-12-26,15.5,9.2,88.8,9.7,1.52
Campanet,2025-12-26,NaN,NaN,NaN,NaN,NaN
Campos,2025-12-26,NaN,NaN,NaN,NaN,NaN
Capdepera,2025-12-26,13.6,10,94.6,19.5,15.01
Consell,2025-12-26,12.3,7.9,98,11.6,5.33
Costitx,2025-12-26,12.8,8,99,5,5.11
Deià,2025-12-26,13.8,10.7,77.3,11.2,1.09
Escorca,2025-12-26,7.7,5.1,96.1,8.6,3.1
Esporles,2025-12-26,12.8,8.4,98,14.3,2.03
Estellencs,2025-12-26,14.4,10.3,80,10.1,2.01
Felanitx,2025-12-26,15.4,9.3,93.4,13.7,12.19
Fornalutx,2025-12-26,12.5,9.4,88.5,13.7,1.8
Inca,2025-12-26,13.3,9.1,96.4,8.2,2.79
Lloret de Vistalegre,2025-12-26,12.7,8.1,99,1.1,0
Lloseta,2025-12-26,12.9,8.6,94.8,21.2,4.39
Llubí,2025-12-26,13.1,8.3,97.7,5.8,5.31
Llucmajor,2025-12-26,13.5,8.2,96,15.1,4.9
Manacor,2025-12-26,13.7,9.1,96.7,11.2,11.71
Mancor,2025-12-26,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2025-12-26,11.4,8.5,99,15.5,0
Marratxí,2025-12-26,13.2,9.1,93.7,14.3,10.67
Montuïri,2025-12-26,12.5,7.3,99,5.5,6.4
Muro,2025-12-26,12.8,9.1,98.8,0,3.3
Palma,2025-12-26,13.8,10.2,92.6,16.2,4.9
Petra,2025-12-26,13.4,8.4,95.2,8.5,4.32
Pollença,2025-12-26,12.9,8.8,73.1,11.3,14.48
Porreres,2025-12-26,14.7,8.7,94.5,7.9,15.01
Sa Pobla,2025-12-26,13.1,9,93.9,9,4.09
Puigpunyent,2025-12-26,13,8.5,92.3,14,2.79
Ses Salines,2025-12-26,13.5,8.9,96.7,4,6.3
Sant Joan,2025-12-26,12.3,8.4,23,9.8,4.32
Sant Llorenç des Cardassar,2025-12-26,13.4,8.6,96.6,0,13.97
Sencelles,2025-12-26,13.3,8.2,97.7,5.5,4.32
Santa Eugènia,2025-12-26,13.6,7.6,98.8,10.5,3.81
Santa Margalida,2025-12-26,13,9,94.4,9,4.8
Santa María del Camí,2025-12-26,12.5,8.7,93.7,14.4,7.11
Santanyí,2025-12-26,14.9,9.4,98.7,0,5.79
Selva,2025-12-26,13.5,9.3,91.2,7.9,1.52
Sineu,2025-12-26,12.1,8.1,99,4,0.79
Sóller,2025-12-26,15.1,10.5,86.2,16.9,0.99
Son Servera,2025-12-26,14.5,10,93.9,11.2,9.91
Valldemossa,2025-12-26,10.9,8,88.5,18.4,2.79
Vilafranca de Bonany,2025-12-26,13.2,8.9,96.4,7.9,4.5
