Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-08-15,37.4,24.7,48.5,0,10.16
Alcúdia,2026-08-15,34.5,24.2,66.7,18,0
Algaida,2026-08-15,35.7,23.5,62.6,23,1.3
Andratx,2026-08-15,36,25,55.5,16.9,0
Ariany,2026-08-15,NaN,NaN,NaN,NaN,NaN
Artà,2026-08-15,35.6,21.3,66.2,16.6,0
Banyalbufar,2026-08-15,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-08-15,38.7,21.2,65.9,15.4,5.59
Búger,2026-08-15,39,22.8,61.1,20.1,0
Bunyola,2026-08-15,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-08-15,NaN,NaN,NaN,NaN,NaN
Calvià,2026-08-15,NaN,NaN,NaN,NaN,NaN
Campanet,2026-08-15,NaN,NaN,NaN,NaN,NaN
Campos,2026-08-15,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-08-15,34.7,25.9,65.2,16.6,0
Consell,2026-08-15,37,21.4,65.9,18.7,9.65
Costitx,2026-08-15,38.6,21.8,71.5,9,7.8
Deià,2026-08-15,33.5,26.6,59.2,13,0
Escorca,2026-08-15,30.5,16.2,71.9,8.6,2.49
Esporles,2026-08-15,34.5,22.9,67.2,21.2,0
Estellencs,2026-08-15,35.6,24.5,53.6,14.8,0
Felanitx,2026-08-15,36.5,23.5,60.2,20.4,0
Fornalutx,2026-08-15,33.7,25.5,52.6,16.9,0
Inca,2026-08-15,38,25.3,59.1,27.7,0.61
Lloret de Vistalegre,2026-08-15,38.3,22.4,69.7,6.1,0
Lloseta,2026-08-15,36,22.7,60.8,36.7,5.31
Llubí,2026-08-15,NaN,NaN,NaN,NaN,NaN
Llucmajor,2026-08-15,,,,28.1,0
Manacor,2026-08-15,36.6,22.3,68,18.7,0
Mancor,2026-08-15,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-08-15,36.6,24.2,64.7,22.3,0
Marratxí,2026-08-15,36.1,24.1,64.5,18.7,0
Montuïri,2026-08-15,36.3,20.3,76.5,13.4,4.29
Muro,2026-08-15,NaN,NaN,NaN,NaN,NaN
Palma,2026-08-15,34.7,26.2,67.5,11.9,0
Petra,2026-08-15,38,23.2,64.8,14.6,0
Pollença,2026-08-15,33.3,24.6,45.3,25.7,0
Porreres,2026-08-15,36.8,23.6,61.2,15.5,0
Sa Pobla,2026-08-15,36.7,23.4,62.5,9.3,0
Puigpunyent,2026-08-15,30.2,25.4,69.4,14,0
Ses Salines,2026-08-15,36.7,23,68.3,0,0
Sant Joan,2026-08-15,36.3,23.4,58.1,12.2,0
Sant Llorenç des Cardassar,2026-08-15,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-08-15,37.8,22.9,68,20.1,1.52
Santa Eugènia,2026-08-15,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-08-15,36,24,63,21.2,0
Santa María del Camí,2026-08-15,36.3,22.9,58.8,19.8,1.3
Santanyí,2026-08-15,NaN,NaN,NaN,NaN,NaN
Selva,2026-08-15,NaN,NaN,NaN,NaN,NaN
Sineu,2026-08-15,NaN,NaN,NaN,NaN,NaN
Sóller,2026-08-15,35.8,24.5,62.2,28.8,0
Son Servera,2026-08-15,33.2,24.8,65.9,17.6,0
Valldemossa,2026-08-15,32.8,25,55.3,13.3,0
Vilafranca de Bonany,2026-08-15,36.5,23.9,67.2,15.1,0
