Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-10-11,21.1,17.4,90,75,0,19.56
Alcúdia,2025-10-11,22.4,17.6,94,76,20.5,29.49
Algaida,2025-10-11,20.8,16.2,97,84,19.1,12.19
Andratx,2025-10-11,22.9,18.6,88,65,20.5,8.1
Ariany,2025-10-11,-,-,-,-,-,-
Artà,2025-10-11,20.8,17.1,100,87,29.6,26.01
Banyalbufar,2025-10-11,21.8,17.1,99,76,19.8,8.71
Binissalem,2025-10-11,21.7,16.7,95,82,15.8,13.72
Búger,2025-10-11,21.3,17.3,96,86,19,43.94
Bunyola,2025-10-11,22.8,16.5,96,70,27.7,6.35
Calvià,2025-10-11,21.9,17.5,93,73,32,6.35
Campanet,2025-10-11,-,-,-,-,-,-
Campos,2025-10-11,23.1,17.7,96,81,42.6,14.81
Capdepera,2025-10-11,21.8,17.4,97,78,13.4,33.3
Consell,2025-10-11,-,-,-,-,-,-
Costitx,2025-10-11,20.1,16.2,99,94,9.7,15.01
Deià,2025-10-11,22.1,17.3,90,67,23,7.9
Escorca,2025-10-11,16.1,13.2,96,90,18,24.1
Esporles,2025-10-11,21.6,17.1,97,80,19.2,0.25
Estellencs,2025-10-11,-,-,-,-,-,-
Felanitx,2025-10-11,22.7,17.3,94,76,38.9,37.08
Fornalutx,2025-10-11,21.3,16.5,95,65,27,16.21
Inca,2025-10-11,22,17.1,98,86,11.1,15.8
Lloret,2025-10-11,20.9,16.5,99,89,7.2,0
Lloseta,2025-10-11,20.5,16.5,97,87,33.1,24.79
Llubí,2025-10-11,21.5,16.9,97,81,9.4,19.3
Llucmajor,2025-10-11,22.4,16.9,98,83,25.6,8.89
Manacor,2025-10-11,21.5,16.2,98,82,21.2,0
Mancor,2025-10-11,-,-,-,-,-,-
Maria,2025-10-11,21,16.4,99,84,19.1,25.91
Marratxí,2025-10-11,21.4,17,94,83,24.8,7.11
Montuïri,2025-10-11,21.3,16.6,99,90,18.3,11.1
Muro,2025-10-11,21.2,17,99,87,0.3,52.81
Palma,2025-10-11,22.1,18.2,94,80,22.3,9.4
Petra,2025-10-11,22.1,16.8,96,82,15.4,19.81
Pollença,2025-10-11,18.4,10.6,79,63,38.9,34.19
Porreres,2025-10-11,22.2,16.8,95,81,19.8,15.29
Sa Pobla,2025-10-11,22.1,17.5,97,81,16.1,43.18
Puigpunyent,2025-10-11,21.3,17.2,90,80,25.9,8.79
Ses   Salines,2025-10-11,22.5,17.4,97,84,44.4,37.34
Sant   Joan,2025-10-11,21.1,17.3,59,13,16.9,10.41
Sant   Llorenç,2025-10-11,23.1,17.6,97,82,8,1107.69
Sencelles,2025-10-11,20.7,17.1,96,88,22.5,10.41
Santa   Eugènia,2025-10-11,22.5,16.9,99,84,5.5,17.78
Santa   Margalida,2025-10-11,21.4,17.1,95,82,15.5,26.7
Santa   Maria,2025-10-11,-,-,-,-,-,-
Santanyi,2025-10-11,22.7,17.4,99,86,9,21.89
Selva,2025-10-11,20.3,16.5,93,87,12.6,18.29
Sineu,2025-10-11,20.3,16.5,99,98,5.5,20.6
Sóller,2025-10-11,22.9,17.4,94,67,62.9,13.72
Son   Servera,2025-10-11,,,,,,
Valldemossa,2025-10-11,19.7,16.3,90,71,45.1,3.99
Villafranca,2025-10-11,,,,,0,11.4
