Station,Date,Max Temperature (°C),Min Temperature (°C),Avg Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2026-03-01,17,9.8,69.2,0,0
Alcúdia,2026-03-01,18.4,10.6,78.3,11.2,0
Algaida,2026-03-01,16.5,9.6,79.5,15.8,0
Andratx,2026-03-01,17.6,11.6,70.5,7.2,0
Ariany,2026-03-01,NaN,NaN,NaN,NaN,NaN
Artà,2026-03-01,16,8.2,86.5,12.2,0
Banyalbufar,2026-03-01,NaN,NaN,NaN,NaN,NaN
Binissalem,2026-03-01,17.8,8.3,81.1,15.4,0
Búger,2026-03-01,17.4,9.9,83.9,15,0
Bunyola,2026-03-01,NaN,NaN,NaN,NaN,NaN
Cabrera,2026-03-01,NaN,NaN,NaN,NaN,NaN
Calvià,2026-03-01,NaN,NaN,NaN,NaN,NaN
Campanet,2026-03-01,NaN,NaN,NaN,NaN,NaN
Campos,2026-03-01,NaN,NaN,NaN,NaN,NaN
Capdepera,2026-03-01,16.1,10.7,83.1,9,0
Consell,2026-03-01,16.9,8.3,83.2,17.7,0
Costitx,2026-03-01,17.2,9.7,87.3,9.3,0
Deià,2026-03-01,15.2,10.2,77.7,5.8,0
Escorca,2026-03-01,10.9,5,87.1,0.4,0
Esporles,2026-03-01,16.6,8.9,84.5,11.9,0
Estellencs,2026-03-01,15.3,10.1,76.1,8.6,0
Felanitx,2026-03-01,16.8,10.4,81.9,20.4,0
Fornalutx,2026-03-01,15.3,8.8,78.3,11.6,0
Inca,2026-03-01,19.7,11.6,76.5,9,0
Lloret de Vistalegre,2026-03-01,15.7,9.5,86.1,5.5,0
Lloseta,2026-03-01,16.6,10.3,80.7,25.6,0.1
Llubí,2026-03-01,18,11,78.3,10.8,0
Llucmajor,2026-03-01,,,,15.8,0
Manacor,2026-03-01,17.3,9.2,78.6,11.2,0
Mancor,2026-03-01,NaN,NaN,NaN,NaN,NaN
Maria de la Salut,2026-03-01,15.4,10.6,86.1,14.8,0
Marratxí,2026-03-01,18.3,9.6,76.3,26.2,0
Montuïri,2026-03-01,16.6,8.2,87.5,20.6,0
Muro,2026-03-01,NaN,NaN,NaN,NaN,NaN
Palma,2026-03-01,18.1,11.6,77.3,14.4,0
Petra,2026-03-01,16.5,9.3,81,12.9,0
Pollença,2026-03-01,13.2,9.9,63.8,19.3,0
Porreres,2026-03-01,18.1,9.8,76.9,14.4,0
Sa Pobla,2026-03-01,17.3,11.4,77.5,14.3,0
Puigpunyent,2026-03-01,15.5,9.1,80.8,12.6,0
Ses Salines,2026-03-01,17.6,10.7,79.1,7.9,0
Sant Joan,2026-03-01,15.7,11.5,69.9,15,0
Sant Llorenç des Cardassar,2026-03-01,NaN,NaN,NaN,NaN,NaN
Sencelles,2026-03-01,17.2,10.3,81.8,12.6,0
Santa Eugènia,2026-03-01,NaN,NaN,NaN,NaN,NaN
Santa Margalida,2026-03-01,17.6,11.1,80,15.8,0
Santa María del Camí,2026-03-01,16.5,8.9,76.1,19.4,0
Santanyí,2026-03-01,17.6,11.9,83.4,4.7,0
Selva,2026-03-01,17.6,9.9,77.6,11.1,0
Sineu,2026-03-01,NaN,NaN,NaN,NaN,NaN
Sóller,2026-03-01,17.3,9.3,79,12.2,0
Son Servera,2026-03-01,16.1,10.3,79,14.8,0
Valldemossa,2026-03-01,12.9,8.5,82.6,11.2,0
Vilafranca de Bonany,2026-03-01,15.9,11.1,82.6,18.4,0
