Station,Date,Max Temperature (°C),Min Temperature (°C),Max Humidity (%),Min Humidity (%),Max Wind (km/h),Total Precipitation (l)
Alaró,2025-05-20,25.8,17.4,59,36,0,0
Alcúdia,2025-05-20,26.2,18.4,77,38,35.6,0
Algaida,2025-05-20,24.7,15.3,84,38,26.6,0
Andratx,2025-05-20,24.3,18.3,65,40,19.4,0
Ariany,2025-05-20,-,-,-,-,-,-
Artà,2025-05-20,26.1,14.6,89,52,25.9,0
Banyalbufar,2025-05-20,24.1,15.8,85,47,10.5,0
Binissalem,2025-05-20,27.7,15.5,84,37,18.3,0
Búger,2025-05-20,28.6,16.4,85,32,19.3,0
Bunyola,2025-05-20,26.4,16.7,78,37,33.5,0
Calvià,2025-05-20,23.1,17.8,69,39,32.7,0
Campanet,2025-05-20,-,-,-,-,-,-
Campos,2025-05-20,-,-,-,-,-,-
Capdepera,2025-05-20,24.7,17.1,85,44,35.2,0
Consell,2025-05-20,17.2,17.2,51,51,3.9,0
Costitx,2025-05-20,27.9,13.5,98,39,12.2,0
Deià,2025-05-20,24.7,16,75,39,14.4,0
Escorca,2025-05-20,20.6,10.9,92,50,20.5,0
Esporles,2025-05-20,22.8,16.2,86,51,32.3,0
Estellencs,2025-05-20,24.2,14.1,86,43,31.5,0
Felanitx,2025-05-20,25.1,16.4,89,39,42.6,0
Fornalutx,2025-05-20,22.1,14.2,84,43,18,0
Inca,2025-05-20,28.7,16.6,76,36,23.3,0
Lloret,2025-05-20,27.9,14.7,92,38,7.2,0
Lloseta,2025-05-20,27.2,16.2,75,35,42.5,0
Llubí,2025-05-20,28.3,14.6,84,32,14.4,0
Llucmajor,2025-05-20,25.9,15.3,85,39,25.6,0
Manacor,2025-05-20,26.4,12.7,94,40,16.9,0
Mancor,2025-05-20,-,-,-,-,-,-
Maria,2025-05-20,23.7,14.8,89,54,21.6,0
Marratxí,2025-05-20,28,16.2,79,33,20.1,0
Montuïri,2025-05-20,26.7,11.1,98,44,19.5,0
Muro,2025-05-20,27.1,17.4,84,42,0,0
Palma,2025-05-20,25.8,18,76,39,32.4,0
Petra,2025-05-20,26.9,13.1,89,36,15,0
Pollença,2025-05-20,24.3,17.4,54,26,46.7,0
Porreres,2025-05-20,27,14.7,81,36,19.1,0
Sa Pobla,2025-05-20,30.8,17.5,75,30,16.1,0
Puigpunyent,2025-05-20,23.7,16.6,77,45,59.5,0
Ses   Salines,2025-05-20,24.2,16.2,94,51,40.7,0
Sant   Joan,2025-05-20,25.6,14.8,71,40,18.8,0
Sant   Llorenç,2025-05-20,27.7,14.4,88,40,1.1,0
Sencelles,2025-05-20,26.8,16.4,86,39,25.9,0
Santa   Eugènia,2025-05-20,28.8,13.2,88,32,239.8,0
Santa   Margalida,2025-05-20,26.9,15.3,81,38,18,0
Santa   Maria,2025-05-20,-,-,-,-,-,-
Santanyi,2025-05-20,28.3,14,98,41,11.9,0
Selva,2025-05-20,-,-,-,-,-,-
Sineu,2025-05-20,27.3,13.4,95,42,13,0
Sóller,2025-05-20,23.4,14.6,83,40,22.2,0
Son   Servera,2025-05-20,24.3,17.6,83,46,18.7,0
Valldemossa,2025-05-20,21.1,15.5,78,47,33.8,0
Villafranca,2025-05-20,,,,,23,0
